season,Rk,Player,Nation,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Matches
2013,15,Ashley Phillips,us USA,GK,Boston Breakers,11,11,945,20,1.9,51.0,31.0,0.608,2,4,5,1,9.1,Matches
2013,16,Cecilia Santiago,mx MEX,GK,Boston Breakers,3,3,270,3,1.0,14.0,11.0,0.786,2,0,1,1,33.3,Matches
2013,17,Hope Solo,us USA,GK,Seattle,14,14,1260,19,1.36,100.0,81.0,0.81,5,2,7,0,0.0,Matches
2013,18,Pamela Tajonar,mx MEX,GK,Western New York Flash,1,0,2,0,0.0,0.0,0.0,,0,0,0,0,,Matches
2013,19,Taylor Vancil,us USA,GK,Chicago Red Stars,6,6,540,8,1.33,31.0,23.0,0.742,3,1,2,1,16.7,Matches
2014,1,Nadine Angerer,de GER,GK,Portland Thorns FC,22,22,1917,30,1.41,104.0,74.0,0.712,8,6,8,4,18.2,
2014,2,Nicole Barnhart,us USA,GK,FC Kansas City,22,22,1935,29,1.35,100.0,71.0,0.71,11,5,6,8,36.4,
2014,3,Michelle Betos,us USA,GK,Portland Thorns FC,3,2,243,5,1.85,14.0,9.0,0.643,2,0,0,1,50.0,
2014,4,Brittany Cameron,us USA,GK,Sky Blue FC,7,7,630,12,1.71,40.0,28.0,0.7,2,2,3,2,28.6,
2014,5,DiDi Haracic,ba BIH,GK,Western New York Flash,1,1,90,3,3.0,10.0,7.0,0.7,0,1,0,0,0.0,
2014,6,Ashlyn Harris,us USA,GK,Washington Spirit,19,19,1710,31,1.63,97.0,66.0,0.68,10,4,5,4,21.1,
2014,7,Bianca Henninger,us USA,GK,Houston Dash,5,5,405,9,2.0,43.0,34.0,0.791,1,0,4,0,0.0,
2014,8,Chantel Jones,us USA,GK,Washington Spirit,5,5,450,12,2.4,34.0,22.0,0.647,0,1,4,0,0.0,
2014,9,Sara Keane,us USA,GK,FC Kansas City,2,2,180,3,1.5,11.0,8.0,0.727,1,0,1,0,0.0,
2014,10,Haley Kopmeyer,us USA,GK,Seattle,4,4,360,2,0.5,19.0,17.0,0.895,3,1,0,2,50.0,
2014,11,Karina LeBlanc,ca CAN,GK,Chicago Red Stars,21,21,1890,21,1.0,97.0,76.0,0.784,9,6,6,6,28.6,
2014,12,Jillian Loyden,us USA,GK,Sky Blue FC,17,17,1530,25,1.47,94.0,69.0,0.734,7,5,5,4,23.5,
2014,13,Erin McLeod,ca CAN,GK,Houston Dash,20,19,1755,35,1.79,120.0,85.0,0.708,4,3,12,2,10.5,
2014,14,Alyssa Naeher,us USA,GK,Boston Breakers,24,24,2160,53,2.21,159.0,106.0,0.667,6,2,16,3,12.5,
2014,15,Hope Solo,us USA,GK,Seattle,20,20,1800,18,0.9,83.0,65.0,0.783,13,5,2,5,25.0,
2014,16,Taylor Vancil,us USA,GK,Chicago Red Stars,3,3,270,5,1.67,18.0,13.0,0.722,0,2,1,0,0.0,
2014,17,Lydia Williams,au AUS,GK,Western New York Flash,14,14,1183,15,1.14,65.0,50.0,0.769,6,1,6,2,14.3,
2014,18,Kelsey Wys,us USA,GK,Western New York Flash,10,9,887,20,2.03,66.0,46.0,0.697,2,2,6,1,11.1,
2015,1,Nadine Angerer,de GER,GK,Portland Thorns FC,6,6,540,11,1.83,34.0,23.0,0.676,1,3,2,1,16.7,
2015,2,Nicole Barnhart,us USA,GK,FC Kansas City,17,17,1530,16,0.94,70.0,54.0,0.771,8,3,6,8,47.1,
2015,3,Michelle Betos,us USA,GK,Portland Thorns FC,14,14,1260,18,1.29,63.0,45.0,0.714,5,2,7,2,14.3,
2015,4,Aubrey Bledsoe,us USA,GK,Sky Blue FC,1,0,8,1,11.25,2.0,1.0,0.5,0,0,0,0,,
2015,5,Brittany Cameron,us USA,GK,Sky Blue FC,20,20,1792,27,1.36,114.0,87.0,0.763,5,7,8,4,20.0,
2015,6,Sabrina D'Angelo,ca CAN,GK,Western New York Flash,7,7,555,11,1.78,35.0,24.0,0.686,1,0,5,0,0.0,
