season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2013,63,Domenica Hodak,us USA,DF,Washington Spirit,21.0,1991.0,11,6,,0.0,0.0,0.0,0.0,0.0,0.0
2013,64,Lauren Holiday,us USA,"FW,MF",FC Kansas City,25.0,1987.0,18,18,1620.0,12.0,9.0,1.0,1.0,0.0,0.0
2013,65,Kate Howarth,us USA,FW,Boston Breakers,21.0,1991.0,4,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,66,Jen Hoy,us USA,"FW,MF",Chicago Red Stars,22.0,1991.0,9,4,471.0,3.0,1.0,0.0,0.0,1.0,0.0
2013,67,Sarah Huffman,us USA,MF,Western New York Flash,28.0,1984.0,14,11,,1.0,,0.0,0.0,1.0,0.0
2013,68,Tori Huster,us USA,MF,Washington Spirit,23.0,1989.0,21,21,,1.0,0.0,0.0,0.0,1.0,0.0
2013,69,Estelle Johnson,cm CMR,DF,Western New York Flash,24.0,1988.0,22,22,,0.0,,0.0,0.0,0.0,0.0
2013,70,Kendall Johnson,us USA,"DF,MF",Sky Blue FC,21.0,1991.0,22,22,,0.0,2.0,0.0,0.0,0.0,0.0
2013,71,Chantel Jones,us USA,GK,Washington Spirit,24.0,1988.0,4,4,350.0,,,0.0,0.0,,
2013,72,Courtney Jones,us USA,"DF,FW",FC Kansas City,22.0,1990.0,22,6,670.0,4.0,1.0,0.0,0.0,0.0,0.0
2013,73,Katie Kelly,us USA,DF,FC Kansas City,25.0,1987.0,7,2,207.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,74,Angie Kerr,us USA,MF,Portland Thorns FC,27.0,1985.0,15,9,762.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,75,Sam Kerr,au AUS,"FW,MF",Western New York Flash,19.0,1993.0,19,17,1440.0,5.0,,0.0,0.0,1.0,0.0
2013,76,Holly King,us USA,MF,Washington Spirit,21.0,1991.0,11,6,,0.0,0.0,0.0,0.0,0.0,0.0
2013,77,Julie King,us USA,DF,Boston Breakers,23.0,1989.0,21,21,1862.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,78,Brittany Kolmel,us USA,DF,Western New York Flash,25.0,1987.0,21,21,3.0,4.0,,0.0,0.0,2.0,0.0
2013,79,Haley Kopmeyer,us USA,GK,Seattle,22.0,1990.0,1,1,90.0,,,0.0,0.0,,
