season,season_id,match_id,provider_id,status,provider_status,phase,match_date_utc,match_date_local,local_time_utc_offset,home_team_id,home_official_name,away_team_id,away_official_name,home_score,away_score,round_name,match_week,stadium_name,city_name,win_reason,win_team_id,stadium_id,round_id,highlights_url,tickets_url,home_provider_id,home_short_name,home_acronym_name,home_media_name,home_country_code,away_provider_id,away_short_name,away_acronym_name,away_media_name,away_country_code
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::cec99cfd37764580acea0b1628ebea8a,opta:Match:2kdz40qu2todtgnskriabdg5w,FINISHED,Played,FULL_TIME,2022-09-17T23:30:00Z,2022-09-17T19:30:00,+00:00,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,1,2,,,First Horizon Stadium at WakeMed Soccer Park,"Cary, North Carolina",RegularTime,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,nwsl::Football_Stadium::140f36b2df204f59acf8ef9bc68d64c0,,,,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,US,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::fef29799653d407780da0cc23341c781,opta:Match:2khpgz9tb5vs1qxvsgopfp1ck,FINISHED,Played,FULL_TIME,2022-09-18T00:00:00Z,2022-09-17T19:00:00,+00:00,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,0,1,,,SeatGeek Stadium,"Bridgeview, Illinois",RegularTime,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,nwsl::Football_Stadium::a70355edf48b469f8e25dcc722030c4b,,,,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars,US,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::4e4493bc22924165ac64167f1d506982,opta:Match:2kme81t21b43fkz6difrueadw,FINISHED,Played,FULL_TIME,2022-09-18T02:00:00Z,2022-09-17T19:00:00,+00:00,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,San Diego Wave,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,Angel City,1,0,,,Snapdragon Stadium,"San Diego, California",RegularTime,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,nwsl::Football_Stadium::113e2825543a4c959d5de11954f48fc5,,,,opta:Team:esvbnzqbyvxp2k570ez7h1a1g,San Diego Wave,SD,San Diego Wave,US,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,LA,Angel City,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::0f2e54ace8c74663a0d623d9cb4f5e33,opta:Match:2kqjfc0cbb0plnqq2q89tukus,FINISHED,Played,FULL_TIME,2022-09-18T21:00:00Z,2022-09-18T16:00:00,+00:00,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,Kansas City Current,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,1,1,,,Children's Mercy Park,"Kansas City, Kansas",Draw,,nwsl::Football_Stadium::9879eebb24a54cdeae4e52c757c0e7e0,,,,opta:Team:agxipc0vk4rtg09amjxv10nx0,KC Current,KC,Kansas City Current,US,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::ed69cd69df9f4d79a313097dfde6060d,opta:Match:2l4u31zh94zng84urems6xz4k,FINISHED,Played,FULL_TIME,2022-09-21T23:00:00Z,2022-09-21T19:00:00,+00:00,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,0,3,,,Inter&Co Stadium,"Orlando, Florida",RegularTime,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,nwsl::Football_Stadium::4ccd0af81c4d409eaf99d63e185eb4f9,,,,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::7a17a49b77be49b08cd9a350c1239b8b,opta:Match:2l1aaafvjduatdaqvuz773384,FINISHED,Played,FULL_TIME,2022-09-21T23:00:00Z,2022-09-21T19:00:00,+00:00,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,0,1,,,Sports Illustrated Stadium,"Harrison, New Jersey",RegularTime,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,nwsl::Football_Stadium::f6fe8f2d966f4150b5e323a34a96d9ed,,,,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::5986924db8104b88b233cea71666005d,opta:Match:2ku7eg3etp1lx929m9ibnuqs4,FINISHED,Played,FULL_TIME,2022-09-22T02:00:00Z,2022-09-21T19:00:00,+00:00,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville,3,0,,,Providence Park,"Portland, Oregon",RegularTime,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,nwsl::Football_Stadium::f1f5cb502e8743f6b186bb5bd7022807,,,,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::e44892f84a8e4d728deeec82f6c27ec2,opta:Match:2kxqxdg27v6bor34fh7p14u1g,FINISHED,Played,FULL_TIME,2022-09-22T02:30:00Z,2022-09-21T19:30:00,+00:00,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,Angel City,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,2,1,,,BMO Stadium,"Los Angeles, California",RegularTime,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,nwsl::Football_Stadium::b2af4f3aa2574314aae0327a7d817c8d,,,,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,LA,Angel City,US,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::f7bbf768b8894193a3bf94f0e29aa49e,opta:Match:2la3loddkw9kh2mx2yj1bsu1g,FINISHED,Played,FULL_TIME,2022-09-24T23:00:00Z,2022-09-24T19:00:00,+00:00,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,3,0,,,First Horizon Stadium at WakeMed Soccer Park,"Cary, North Carolina",RegularTime,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,nwsl::Football_Stadium::140f36b2df204f59acf8ef9bc68d64c0,,,,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,US,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::88acb89794db4e0ea080e47229792785,opta:Match:2ldshjbm3vzodytw5n3m99y50,FINISHED,Played,FULL_TIME,2022-09-25T00:30:00Z,2022-09-24T19:30:00,+00:00,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,0,2,,,Shell Energy Stadium,"Houston, Texas",RegularTime,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,nwsl::Football_Stadium::8712697de6ee44f1bb0cc9269dde0a6e,,,,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US
