season,page,oddsportal_event_id,oddsportal_encoded_event_id,oddsportal_url,match_datetime,match_date,home_team_raw,away_team_raw,home_team,away_team,home_key,away_key,home_result,away_result,result,home_avg_odds,draw_avg_odds,away_avg_odds,home_max_odds,draw_max_odds,away_max_odds
2026,2,9937947,Y5Irofhe,/football/h2h/san-diego-wave-QXU76Jyc/washington-spirit-Iw8EhkKp/#Y5Irofhe,2026-05-16T02:00:00+00:00,2026-05-16,San Diego Wave W,Washington Spirit W,SD Wave,Washington Spirit,sd wave,washington spirit,2,1,2:1,3.25,3.4,1.99,3.3,3.5,2.0
2026,2,9937941,ltN27p9c,/football/h2h/houston-dash-M5AysivR/kansas-city-current-nHE01nbk/#ltN27p9c,2026-05-16T00:00:00+00:00,2026-05-16,Kansas City Current W,Houston Dash W,Current,Houston Dash,current,houston dash,3,0,3:0,1.34,4.8,7.38,1.35,5.0,8.0
2026,2,9937937,2klpk3gT,/football/h2h/boston-legacy-I7e4N6Na/orlando-pride-MqPAFyfb/#2klpk3gT,2026-05-12T23:00:00+00:00,2026-05-12,Boston Legacy W,Orlando Pride W,Boston Legacy,Orlando Pride,boston legacy,orlando pride,2,1,2:1,2.43,3.43,2.5,2.45,3.55,2.55
2026,2,9937935,tz0yiPOG,/football/h2h/seattle-reign-OjKxRp5M/washington-spirit-Iw8EhkKp/#tz0yiPOG,2026-05-10T23:00:00+00:00,2026-05-10,Seattle Reign W,Washington Spirit W,Reign,Washington Spirit,reign,washington spirit,0,1,0:1,5.75,3.88,1.51,6.0,4.0,1.51
2026,2,9937933,zwcThof4,/football/h2h/bay-fc-4QbExvzF/utah-royals-z7PteVfk/#zwcThof4,2026-05-10T20:00:00+00:00,2026-05-10,Bay FC W,Utah Royals W,Bay FC,Royals,bay fc,royals,0,0,0:0,3.43,3.47,1.92,3.55,3.65,1.93
2026,2,9937931,vB3Kf7Pi,/football/h2h/chicago-stars-I9zHnxqt/kansas-city-current-nHE01nbk/#vB3Kf7Pi,2026-05-10T16:25:00+00:00,2026-05-10,Kansas City Current W,Chicago W,Current,Chicago Stars,current,chicago stars,3,0,3:0,1.23,6.0,9.63,1.24,6.5,10.5
2026,2,9937927,SWZ1xQ9N,/football/h2h/angel-city-bRtQszad/san-diego-wave-QXU76Jyc/#SWZ1xQ9N,2026-05-10T00:45:00+00:00,2026-05-10,Angel City W,San Diego Wave W,Angel City FC,SD Wave,angel city fc,sd wave,1,2,1:2,3.3,3.3,1.95,3.3,3.3,1.95
2026,2,9937925,tGyfvnuB,/football/h2h/denver-summit-x2WvVrRL/houston-dash-M5AysivR/#tGyfvnuB,2026-05-10T00:00:00+00:00,2026-05-10,Houston Dash W,Denver Summit W,Houston Dash,Denver Summit FC,houston dash,denver summit fc,1,4,1:4,2.55,3.2,2.4,2.55,3.2,2.4
2026,2,9937923,K0mot8Ab,/football/h2h/boston-legacy-I7e4N6Na/gotham-fc-l8iSqzTb/#K0mot8Ab,2026-05-09T22:30:00+00:00,2026-05-09,Gotham W,Boston Legacy W,Gotham FC,Boston Legacy,gotham fc,boston legacy,1,1,1:1,1.37,4.2,7.0,1.37,4.2,7.0
2026,2,9937919,Y9ESNQfU,/football/h2h/north-carolina-courage-QNeQX1Ir/orlando-pride-MqPAFyfb/#Y9ESNQfU,2026-05-09T00:00:00+00:00,2026-05-09,Orlando Pride W,North Carolina Courage W,Orlando Pride,NC Courage,orlando pride,nc courage,1,0,1:0,2.08,3.53,2.94,2.1,3.65,3.0
2026,2,9937917,0dGKPnQH,/football/h2h/portland-thorns-fc-h6A8LOSq/racing-louisville-08vkTDXh/#0dGKPnQH,2026-05-08T22:30:00+00:00,2026-05-08,Racing Louisville W,Portland Thorns W,Racing Louisville,Portland Thorns,racing louisville,portland thorns,3,1,3:1,3.7,3.58,1.81,3.7,3.75,1.83
2026,2,9937915,Kn8CR8e5,/football/h2h/houston-dash-M5AysivR/utah-royals-z7PteVfk/#Kn8CR8e5,2026-05-07T02:00:00+00:00,2026-05-07,Utah Royals W,Houston Dash W,Royals,Houston Dash,royals,houston dash,2,0,2:0,1.84,3.53,3.63,1.85,3.75,3.65
