season,team,player_name,player_name_key,position,minutes_played,asa_xgoals,asa_xassists,asa_points_added,asa_xpoints_added,asa_xg_plus_xa_per90,asa_gplus_raw_total,asa_gplus_above_avg_total,asa_gplus_above_avg_per90,asa_gplus_shooting_above_avg,asa_gplus_passing_above_avg,asa_gplus_dribbling_above_avg,asa_gplus_receiving_above_avg,asa_gplus_interrupting_above_avg,asa_gplus_fouling_above_avg,asa_gplus_claiming_above_avg
2026,Portland Thorns,Jennie Immethun,jennie immethun,DM,11,0.032100000000000004,0.0,0.0,0.0006000000000000001,0.26263636363636367,0.035600000000000014,0.022500000000000003,0.1840909090909091,-0.0023,-0.0013000000000000002,0.0228,-0.0049,0.0046,0.0036000000000000003,0.0
2026,Portland Thorns,Jessie Fleming,jessie fleming,CM,1195,0.2766,0.9191,0.0,0.2233,0.09005271966527197,0.9677,-0.5297000000000001,-0.039893723849372384,-0.12490000000000001,-0.0238,0.0562,-0.3932,-0.083,0.039,0.0
2026,Portland Thorns,Mackenzie Arnold,mackenzie arnold,GK,898,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2026,Portland Thorns,Maddie Padelski,maddie padelski,W,97,0.1504,0.031900000000000005,0.0,0.15960000000000002,0.16914432989690725,-0.25539999999999996,-0.4584000000000001,-0.42531958762886607,0.0118,-0.47400000000000003,0.018600000000000002,-0.0013000000000000002,0.0031000000000000003,-0.0166,0.0
2026,Portland Thorns,Mallie McKenzie,mallie mckenzie,FB,172,0.4098,0.0,0.06620000000000001,0.027100000000000003,0.21443023255813953,0.23610000000000003,-0.0764,-0.039976744186046506,0.0095,-0.09290000000000001,-0.0059,0.11570000000000001,-0.0965,-0.0063,0.0
2026,Portland Thorns,Marie Muller,marie muller,FB,674,0.2384,0.6899000000000001,0.5126000000000001,0.1409,0.12395697329376856,0.4156000000000001,-0.7343999999999999,-0.09806528189910979,-0.06860000000000001,-0.0955,-0.063,-0.3411,-0.1553,-0.0109,0.0
2026,Portland Thorns,Marie-Yasmine Alidou,marie yasmine alidou,W,741,0.6518,0.3307,0.0,0.5999,0.11933198380566803,0.5648000000000001,-1.1337,-0.13769635627530366,-0.2001,-0.0835,-0.3357,-0.49360000000000004,0.0392,-0.06,0.0
2026,Portland Thorns,Mary Vignola,mary vignola,FB,959,0.46380000000000005,0.5157,0.5283,0.2361,0.09192387904066737,0.8927,-0.32019999999999993,-0.030050052137643373,0.0099,-0.301,-0.0736,-0.146,0.2018,-0.011300000000000001,0.0
2026,Portland Thorns,Morgan Messner,morgan messner,GK,297,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2026,Portland Thorns,Olivia Moultrie,olivia moultrie,CM,922,3.0447,1.5742,1.9541,1.872,0.4508687635574838,3.1402,1.0638999999999998,0.10385140997830802,0.1608,0.3342,1.0706,-0.6539,0.16820000000000002,-0.016,0.0
2026,Portland Thorns,Pietra Tordin,pietra tordin,ST,946,2.8814,2.2427,1.8407,1.6733,0.48749365750528545,2.3887,0.08849999999999998,0.00841966173361522,-0.0664,0.2187,0.013000000000000001,0.3648,-0.36050000000000004,-0.0811,0.0
2026,Portland Thorns,Reilyn Turner,reilyn turner,ST,700,2.1945,0.2434,1.238,1.1636,0.31344428571428573,1.8273000000000001,0.15739999999999998,0.020237142857142856,0.1237,-0.041100000000000005,0.1907,-0.039400000000000004,-0.0656,-0.0109,0.0
2026,Portland Thorns,Renee Lyles,renee lyles,W,49,0.0,0.0291,0.0,0.0,0.05344897959183674,-0.0045,-0.11760000000000001,-0.21600000000000003,-0.026000000000000002,-0.0211,-0.025900000000000003,-0.053200000000000004,0.005200000000000001,0.0034000000000000002,0.0
2026,Portland Thorns,Reyna Reyes,reyna reyes,FB,870,0.0125,0.1637,0.0,0.0106,0.018227586206896556,0.6456000000000001,-0.4548000000000001,-0.04704827586206898,-0.10350000000000001,-0.45330000000000004,-0.1071,-0.0906,0.28200000000000003,0.0177,0.0
2026,Portland Thorns,Sam Hiatt,sam hiatt,CB,1077,0.3451,0.6254000000000001,0.0,0.4233,0.08110027855153204,1.5479000000000003,0.32849999999999996,0.027451253481894148,0.0083,-0.0359,0.028300000000000002,-0.059300000000000005,0.3573,0.0298,0.0
2026,Portland Thorns,Shae Harvey,shae harvey,CM,96,0.0823,0.0,0.0,0.0088,0.07715625,0.1736,0.004300000000000005,0.004031250000000005,-0.0217,-0.0007,0.015600000000000001,-0.020300000000000002,0.033100000000000004,-0.0017000000000000001,0.0
2026,Portland Thorns,Sophia Wilson,sophia wilson,ST,926,4.2348,1.4314,1.2581,2.9107,0.5507105831533476,4.826,2.3135,0.22485421166306693,0.5708,0.2728,1.462,-0.2354,0.129,0.1143,0.0
2026,Racing Louisville,Arin Wright,arin wright,FB,619,0.6165,0.0781,0.967,0.5146000000000001,0.10099192245557352,1.2678,0.5670000000000001,0.0824394184168013,0.056,0.0918,-0.0574,0.21350000000000002,0.2076,0.0555,0.0
