season,match_date,home_team,away_team,home_xg,away_xg,home_xg_players,away_xg_players,home_xpoints,away_xpoints,asa_game_id
2025,2025-08-30,Portland Thorns,Royals,1.8573,1.8069,1.8675,2.0234,1.393,1.366,eVq3bDjD5W
2025,2025-08-30,Orlando Pride,Gotham FC,1.1363,1.3453,1.1363,1.3474,1.168,1.531,Oa5wj2V8M1
2025,2025-08-29,Racing Louisville,Houston Dash,1.6761,1.1332,1.6995,1.1382,1.795,0.982,jYQJmLzPqG
2025,2025-08-25,SD Wave,Racing Louisville,1.801,1.0716,1.8086,1.0716,1.942,0.8290000000000001,Xj5Ypd6AMb
2025,2025-08-24,Houston Dash,Reign,1.3589,0.5938,1.3655,0.5938,1.971,0.747,N6MmbPeZ5E
2025,2025-08-24,Portland Thorns,Current,1.1852,2.1662,1.2114,2.1882,0.729,2.073,e7Mzj2l6Mr
2025,2025-08-23,Gotham FC,Royals,1.5489,0.6414000000000001,1.5521,0.6936,2.07,0.672,ljqEmR2zqx
2025,2025-08-23,Bay FC,Washington Spirit,1.2595,0.9925,1.2595,0.9925,1.578,1.119,p6qbjWOBq0
2025,2025-08-23,Chicago Stars,NC Courage,0.8052,1.4623,0.8052,1.4673,0.798,1.926,XVqKzNWO50
2025,2025-08-22,Angel City FC,Orlando Pride,1.4109,0.6817000000000001,1.4202000000000001,0.6821,1.92,0.801,BLMvj2zOMx
2025,2025-08-19,Reign,Chicago Stars,2.1513,2.3348,2.4093,2.7831,1.209,1.569,zeQZpd715K
2025,2025-08-17,Gotham FC,Houston Dash,1.2056,0.19490000000000002,1.2142,0.19490000000000002,2.277,0.429,4wM4bDapqj
2025,2025-08-17,Bay FC,SD Wave,1.7218,1.2653,1.9004,1.2666,1.695,1.026,4JMAb69k5K
2025,2025-08-16,NC Courage,Portland Thorns,2.0507,1.1823,2.0878,1.1823,1.946,0.836,kRQajB2oMK
2025,2025-08-16,Current,Orlando Pride,1.2733,0.22390000000000002,1.2826,0.22390000000000002,2.4,0.378,xW5pbzrdQg
2025,2025-08-16,Royals,Angel City FC,0.9429000000000001,0.713,0.9429000000000001,0.7267,1.584,1.053,KPqjj97Rq6
2025,2025-08-16,Washington Spirit,Racing Louisville,0.9833000000000001,1.3274,0.984,1.4374,1.014,1.701,aDQ0b2PP5E
2025,2025-08-10,Portland Thorns,Reign,4.1273,0.912,4.1849,0.9132,2.882,0.077,NPqxj2emM9
2025,2025-08-10,Chicago Stars,Bay FC,1.0375,1.3567,1.0404,1.3567,1.072,1.651,9vQ2bD2aQK
2025,2025-08-10,SD Wave,Angel City FC,1.496,1.44,1.4981,1.4429,1.386,1.362,odMXpd8WMY
2025,2025-08-09,Orlando Pride,Racing Louisville,3.8267,0.7645000000000001,3.8304,0.7645000000000001,2.883,0.075,KXMeZ6Or56
2025,2025-08-09,Gotham FC,Washington Spirit,0.4868,0.8808,0.4929,0.8808,0.969,1.662,9YqdjGkLMv
2025,2025-08-09,Royals,Current,0.7944,0.8549,0.7959,0.8583000000000001,1.2530000000000001,1.418,Vj58bpY4Q8
2025,2025-08-09,Houston Dash,NC Courage,1.098,1.5316,1.098,1.5316,1.014,1.695,OlMljVr0qL
2025,2025-08-03,Orlando Pride,Royals,1.3692,0.2868,1.3692,0.2868,2.291,0.443,a35rj2lA5L
2025,2025-08-03,Washington Spirit,Portland Thorns,2.1914,1.0854,2.1931,1.0953,2.172,0.66,2vQ1bDLKMr
2025,2025-08-03,Bay FC,Houston Dash,2.5897,1.5002,2.6084,1.5002,2.129,0.668,eV5Dpo0A5K
2025,2025-08-02,NC Courage,SD Wave,0.3874,1.1173,0.3874,1.1173,0.72,1.944,7vQ7bj32qD
2025,2025-08-02,Reign,Angel City FC,0.9702000000000001,0.2556,1.0086,0.2556,1.98,0.678,raMyj2ZO5d
2025,2025-08-02,Chicago Stars,Gotham FC,1.1469,0.8276,1.1494,0.8547,1.589,1.109,Pk5Lpd1O5O
2025,2025-08-02,Racing Louisville,Current,0.257,1.6509,0.257,1.6517,0.299,2.516,gjMNpdv0qK
2025,2025-06-23,SD Wave,Washington Spirit,0.6950000000000001,0.6184000000000001,0.6950000000000001,0.6184000000000001,1.355,1.25,EGMPadlV5a
2025,2025-06-22,Portland Thorns,Chicago Stars,1.0673,0.38120000000000004,1.0673,0.38120000000000004,1.933,0.745,315VpEe9Q9
2025,2025-06-21,NC Courage,Houston Dash,1.6901,0.3647,1.6908,0.3647,2.375,0.419,9z5kjkajMA
2025,2025-06-21,Gotham FC,Bay FC,0.9763000000000001,2.4102,0.9763000000000001,2.4102,0.459,2.394,wvq9b8pwQW
2025,2025-06-21,Royals,Reign,1.2441,1.919,1.2615,1.9581,0.854,1.904,2lqRpdR0Mr
2025,2025-06-21,Current,Angel City FC,1.701,0.8645,1.8356000000000001,0.8645,2.081,0.656,gOMnAL6XQw
2025,2025-06-21,Racing Louisville,Orlando Pride,2.3162,0.9246000000000001,2.3162,0.9348000000000001,2.347,0.47200000000000003,vzqoKNrkqa
2025,2025-06-15,Portland Thorns,Washington Spirit,1.4223000000000001,1.0467,1.4275,1.0467,1.66,1.069,gpMOpdzE5z
2025,2025-06-15,Angel City FC,NC Courage,1.7128,2.7507,1.7510000000000001,2.957,0.744,2.1,0Oq6bZlAq6
2025,2025-06-14,Current,Racing Louisville,1.4444000000000001,0.9679000000000001,1.4476,0.9685,1.748,0.983,7VqGbYm65v
2025,2025-06-14,Chicago Stars,Reign,0.9709000000000001,1.2488,0.9709000000000001,1.2777,1.101,1.578,0x5gjnPZM7
2025,2025-06-14,Bay FC,Orlando Pride,1.6706,0.42660000000000003,1.6955,0.42660000000000003,2.359,0.436,NWMWp4XK5l
2025,2025-06-14,Royals,Gotham FC,0.6687000000000001,1.1987,0.6687000000000001,1.1987,0.762,1.896,KAqBbOj4qb
2025,2025-06-14,Houston Dash,SD Wave,0.9714,2.0464,0.9714,2.0677,0.656,2.126,eVq3bDaD5W
2025,2025-06-08,Washington Spirit,NC Courage,1.3217,2.5784000000000002,1.3328,2.7989,0.731,2.087,Oa5wj2Y8M1
2025,2025-06-08,Angel City FC,Chicago Stars,1.6165,0.5842,1.6165,0.5842,2.233,0.541,jYQJmL1PqG
2025,2025-06-07,Bay FC,Portland Thorns,1.0837,1.8404,1.0837,1.8448,0.849,1.905,Xj5Ypd8AMb
2025,2025-06-07,Orlando Pride,Houston Dash,1.2468,0.5035000000000001,1.2508,0.5082,1.954,0.73,N6MmbP7Z5E
