2026-03-15 00:00:53 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0887, rho=-0.0740, intercept=0.2450, n_teams=12
2026-03-15 00:00:53 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.640, defense=1.640)
2026-03-15 00:00:56 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0930, rho=-0.1104, intercept=0.2483, n_teams=12
2026-03-15 00:00:57 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.636, defense=1.636)
2026-03-15 00:01:00 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0316, rho=-0.0781, intercept=0.2666, n_teams=12
2026-03-15 00:01:00 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.642, defense=1.642)
2026-03-15 00:01:03 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0499, rho=-0.0695, intercept=0.2515, n_teams=12
2026-03-15 00:01:03 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.639, defense=1.639)
2026-03-15 00:01:06 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0569, rho=-0.0660, intercept=0.2434, n_teams=12
2026-03-15 00:01:06 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.637, defense=1.637)
2026-03-15 00:01:09 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0763, rho=-0.1089, intercept=0.2450, n_teams=12
2026-03-15 00:01:09 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.630, defense=1.630)
2026-03-15 00:01:12 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0723, rho=-0.1061, intercept=0.2394, n_teams=12
2026-03-15 00:01:12 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.626, defense=1.626)
2026-03-15 00:01:15 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0866, rho=-0.0656, intercept=0.2344, n_teams=12
2026-03-15 00:01:15 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.622, defense=1.622)
2026-03-15 00:01:18 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0915, rho=-0.0625, intercept=0.2385, n_teams=12
2026-03-15 00:01:18 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.620, defense=1.620)
2026-03-15 00:01:21 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0860, rho=-0.0289, intercept=0.2542, n_teams=12
2026-03-15 00:01:21 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.615, defense=1.615)
2026-03-15 00:01:24 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.0913, rho=-0.0711, intercept=0.2613, n_teams=12
2026-03-15 00:01:25 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.617, defense=1.617)
2026-03-15 00:01:28 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1033, rho=-0.0717, intercept=0.2492, n_teams=12
2026-03-15 00:01:28 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.608, defense=1.608)
2026-03-15 00:01:31 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1047, rho=-0.0523, intercept=0.2521, n_teams=12
2026-03-15 00:01:32 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.598, defense=1.598)
