ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
16,Olivia Athens,usUSA,"MF,FW",Reign,24,1999,20,8,691.0,7.7,1,0,1,1,0,0,2,0,0.13,0.0,0.13,0.13,0.13,Matches
17,Rosella Ayane,maMAR,FW,Red Stars,27,1996,1,1,45.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
18,Madison Ayson,,DF,Houston Dash,,,1,0,9.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
19,Ramona Bachmann,chSUI,"FW,MF",Houston Dash,33,1990,12,10,834.0,9.3,2,0,2,2,0,0,3,0,0.22,0.0,0.22,0.22,0.22,Matches
20,Jordan Baggett,usUSA,MF,Racing Louisville,27,1996,3,1,85.0,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
21,Elexa Bahr,coCOL,"FW,MF",Racing Louisville,25,1998,16,14,,11.6,1,1,2,1,0,0,0,0,0.09,0.09,0.17,0.09,0.17,Matches
22,Dorian Bailey,usUSA,MF,Bay FC,27,1997,26,18,,18.7,1,2,3,1,0,0,1,0,0.05,0.11,0.16,0.05,0.16,Matches
23,Elizabeth Ball,usUSA,DF,Current,28,1995,19,12,,13.6,1,3,4,1,0,0,0,0,0.07,0.22,0.29,0.07,0.29,Matches
24,Stine Ballisager Pedersen,dkDEN,DF,Current,30,1994,18,11,,11.9,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08,Matches
25,Barbra Banda,zmZAM,FW,Orlando Pride,23,2000,22,20,,19.3,13,6,19,13,0,0,0,0,0.67,0.31,0.98,0.67,0.98,Matches
26,Melanie Barcenas,usUSA,MF,SD Wave,16,2007,10,5,447.0,5.0,1,0,1,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,Matches
27,Lauren Barnes,usUSA,DF,Reign,34,1989,21,17,,16.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
28,Ángela Barón,coCOL,DF,Racing Louisville,20,2003,1,0,13.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
29,Hillary Beall,usUSA,GK,SD Wave,25,1999,2,1,118.0,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
30,Beatriz,brBRA,FW,Current,30,1993,16,11,866.0,9.6,5,4,9,5,0,0,0,0,0.52,0.42,0.94,0.52,0.94,Matches
31,Jennifer Beattie,sctSCO,DF,Bay FC,32,1991,8,6,409.0,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
32,Maycee Bell,usUSA,DF,NC Courage,23,2000,2,0,10.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
33,Maycee Bell,usUSA,DF,Gotham FC,23,2000,8,3,292.0,3.2,1,0,1,1,0,0,0,0,0.31,0.0,0.31,0.31,0.31,Matches
34,Elyse Bennett,usUSA,"MF,FW",SD Wave,24,1999,14,2,272.0,3.0,0,1,1,0,0,0,2,0,0.0,0.33,0.33,0.0,0.33,Matches
35,Ann-Katrin Berger,deGER,GK,Gotham FC,33,1990,22,22,,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
36,Malia Berkely,usUSA,DF,NC Courage,25,1998,25,25,,24.5,1,3,4,0,1,3,0,0,0.04,0.12,0.16,0.0,0.12,Matches
37,Hannah Betfort,usUSA,FW,Royals,25,1999,24,18,,18.6,2,0,2,2,0,0,2,0,0.11,0.0,0.11,0.11,0.11,Matches
38,Croix Bethune,usUSA,MF,Washington Spirit,22,2001,17,16,,15.3,5,10,15,5,0,0,1,0,0.33,0.65,0.98,0.33,0.98,Matches
39,Camryn Biegalski,usUSA,"DF,MF",Red Stars,25,1998,7,3,377.0,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
40,Jenna Bike,usUSA,"MF,FW",Red Stars,25,1998,23,15,,14.8,1,2,3,1,0,0,4,0,0.07,0.14,0.2,0.07,0.2,Matches
41,Lynn Biyendolo,usUSA,"FW,MF",Gotham FC,30,1993,16,10,919.0,10.2,4,2,6,3,1,1,1,0,0.39,0.2,0.59,0.29,0.49,Matches
42,Tess Boade,usUSA,"MF,FW",Bay FC,24,1999,25,23,,22.7,3,2,5,3,0,0,2,0,0.13,0.09,0.22,0.13,0.22,Matches
43,Bethany Bos,usUSA,"FW,MF",Reign,26,1997,15,13,,12.0,5,0,5,3,2,2,2,1,0.42,0.0,0.42,0.25,0.25,Matches
44,Bethany Bos,usUSA,"FW,MF",Racing Louisville,26,1997,10,10,715.0,7.9,3,1,4,2,1,1,0,0,0.38,0.13,0.5,0.25,0.38,Matches
45,Lyza Bosselmann,,GK,Washington Spirit,,,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
46,Jordan Brewster,usUSA,DF,Bay FC,24,1999,1,0,10.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
47,Isabella Briede,usUSA,MF,Houston Dash,25,1998,17,2,371.0,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
48,Messiah Bright,usUSA,FW,Angel City FC,24,2000,21,7,687.0,7.6,1,0,1,1,0,0,2,0,0.13,0.0,0.13,0.13,0.13,Matches
49,Courtney Brown,usUSA,MF,Washington Spirit,23,2000,24,10,947.0,10.5,1,0,1,1,0,0,0,0,0.1,0.0,0.1,0.1,0.1,Matches
50,Ryanne Brown,usUSA,DF,Reign,25,1999,9,3,277.0,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
51,Bruninha,brBRA,DF,Gotham FC,21,2002,20,8,866.0,9.6,0,2,2,0,0,0,3,0,0.0,0.21,0.21,0.0,0.21,Matches
52,Jordyn Bugg,usUSA,DF,Reign,17,2006,6,5,495.0,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
53,Zoe Burns,caCAN,"DF,MF",Royals,22,2002,21,14,,14.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
54,Anaïg Butel,frFRA,DF,Washington Spirit,31,1992,24,21,,21.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
55,Jenna Butler,,DF,Washington Spirit,,,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
56,Scarlett Camberos,mxMEX,"FW,MF",Bay FC,23,2000,10,8,694.0,7.7,1,0,1,1,0,0,2,0,0.13,0.0,0.13,0.13,0.13,Matches
57,Jane Campbell,usUSA,GK,Houston Dash,28,1995,25,25,,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
58,Gabrielle Carle,caCAN,DF,Washington Spirit,25,1998,26,23,,22.5,0,2,2,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,Matches
59,Jess Carter,engENG,DF,Gotham FC,26,1997,10,10,849.0,9.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
60,Kyra Carusa,ieIRL,FW,SD Wave,28,1995,17,7,633.0,7.0,2,0,2,2,0,0,1,0,0.28,0.0,0.28,0.28,0.28,Matches
61,Delphine Cascarino,frFRA,"MF,FW",SD Wave,26,1997,10,7,638.0,7.1,2,3,5,2,0,0,0,0,0.28,0.42,0.71,0.28,0.71,Matches
62,Deyna Castellanos,veVEN,"MF,FW",Bay FC,24,1999,20,12,,11.8,2,1,3,2,0,0,1,0,0.17,0.08,0.25,0.17,0.25,Matches
63,Allysha Chapman,caCAN,DF,Houston Dash,35,1989,8,6,542.0,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
64,Temwa Chaŵinga,mwMWI,"MF,FW",Current,25,1998,25,24,,23.8,20,5,25,20,0,0,1,0,0.84,0.21,1.05,0.84,1.05,Matches
65,Milly Clegg,nzNZL,FW,Racing Louisville,18,2005,1,0,19.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
66,Mikayla Cluff,usUSA,MF,Royals,24,1999,11,5,481.0,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
67,Sam Coffey,usUSA,MF,Portland Thorns,25,1998,24,23,,22.1,2,3,5,2,0,0,0,0,0.09,0.14,0.23,0.09,0.23,Matches
68,Danielle Colaprico,usUSA,MF,SD Wave,30,1993,23,18,,17.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
69,Caroline Conti,usUSA,MF,Bay FC,22,2001,8,1,98.0,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
70,Alana Cook,usUSA,DF,Reign,26,1997,11,9,844.0,9.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
71,Alana Cook,usUSA,DF,Current,26,1997,10,10,855.0,9.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
72,Ally Cook,,FW,Red Stars,,,14,1,217.0,2.4,0,1,1,0,0,0,0,0,0.0,0.41,0.41,0.0,0.41,Matches
73,Ava Cook,usUSA,FW,Red Stars,23,2000,3,0,97.0,1.1,1,0,1,1,0,0,1,0,0.93,0.0,0.93,0.93,0.93,Matches
74,Michelle Cooper,usUSA,"MF,FW",Current,21,2002,21,15,,14.9,3,2,5,3,0,0,2,0,0.2,0.13,0.33,0.2,0.33,Matches
75,Ana-Maria Crnogorčević,chSUI,"FW,MF",Reign,33,1990,10,8,716.0,8.0,0,1,1,0,0,0,0,0,0.0,0.13,0.13,0.0,0.13,Matches
76,Chardonnay Curran,usUSA,FW,Red Stars,24,1999,11,0,241.0,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
77,Madison Curry,usUSA,DF,Angel City FC,23,2001,22,20,,17.7,1,1,2,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,Matches
78,Izzy D'Aquila,usUSA,"MF,FW",Portland Thorns,22,2001,14,4,454.0,5.0,2,0,2,2,0,0,0,0,0.4,0.0,0.4,0.4,0.4,Matches
79,Abby Dahlkemper,usUSA,DF,Bay FC,30,1993,9,9,810.0,9.0,2,0,2,2,0,0,0,0,0.22,0.0,0.22,0.22,0.22,Matches
80,Abby Dahlkemper,usUSA,DF,SD Wave,30,1993,13,12,,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,Matches
81,Tierna Davidson,usUSA,DF,Gotham FC,25,1998,19,16,,15.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
82,Debinha,brBRA,"MF,FW",Current,32,1991,22,17,,16.3,3,6,9,3,0,0,0,0,0.18,0.37,0.55,0.18,0.55,Matches
83,Kate Del Fava,usUSA,DF,Royals,25,1998,26,26,,26.0,2,1,3,2,0,0,3,0,0.08,0.04,0.12,0.08,0.12,Matches
84,Cece Delzer,usUSA,"FW,MF",Gotham FC,26,1997,5,0,65.0,0.7,1,0,1,1,0,0,0,0,1.38,0.0,1.38,1.38,1.38,Matches
85,Cece Delzer,usUSA,"FW,MF",Houston Dash,26,1997,5,3,216.0,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
86,Savannah Demelo,usUSA,MF,Racing Louisville,25,1998,21,20,,19.4,5,2,7,4,1,2,5,0,0.26,0.1,0.36,0.21,0.31,Matches
87,Ana Dias,ptPOR,FW,Portland Thorns,26,1997,10,2,237.0,2.6,1,0,1,1,0,0,3,0,0.38,0.0,0.38,0.38,0.38,Matches
88,Vanessa DiBernardo,usUSA,"MF,FW",Current,31,1992,23,20,,17.0,5,6,11,5,0,0,3,0,0.29,0.35,0.65,0.29,0.65,Matches
89,Claudia Dickey,usUSA,GK,Reign,24,2000,18,18,,17.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
90,Marisa DiGrande,usUSA,MF,Racing Louisville,26,1997,23,20,,19.5,1,2,3,1,0,0,0,0,0.05,0.1,0.15,0.05,0.15,Matches
91,Maya Doms,usUSA,MF,Bay FC,22,2001,1,0,15.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
92,Makenzy Doniak,usUSA,MF,SD Wave,29,1994,24,17,,15.7,3,1,4,3,0,0,0,0,0.19,0.06,0.26,0.19,0.26,Matches
93,Imani Dorsey,usUSA,DF,Royals,27,1996,2,2,134.0,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
94,Meggie Dougherty Howard,usUSA,MF,Angel City FC,28,1995,18,14,,12.9,1,2,3,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,Matches
95,Julie Doyle,usUSA,MF,Orlando Pride,25,1998,24,19,,15.2,2,1,3,2,0,0,2,0,0.13,0.07,0.2,0.13,0.2,Matches
96,Evelina Duljan,seSWE,FW,Orlando Pride,20,2003,8,1,179.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
97,Crystal Dunn,usUSA,"MF,FW",Gotham FC,31,1992,20,12,,11.7,1,2,3,1,0,0,2,0,0.09,0.17,0.26,0.09,0.26,Matches
98,Caprice Dydasco,usUSA,DF,Bay FC,30,1993,25,22,,22.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
99,Cori Dyke,usUSA,DF,Orlando Pride,23,2000,21,11,,12.2,0,1,1,0,0,0,0,0,0.0,0.08,0.08,0.0,0.08,Matches
100,Elizabeth Eddy,usUSA,MF,Angel City FC,32,1991,3,0,32.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
101,Emily van Egmond,auAUS,MF,SD Wave,30,1993,26,19,,21.0,1,0,1,1,0,0,3,0,0.05,0.0,0.05,0.05,0.05,Matches
102,Claire Emslie,sctSCO,"MF,FW",Angel City FC,29,1994,26,24,,21.8,7,2,9,4,3,4,3,0,0.32,0.09,0.41,0.18,0.28,Matches
103,Sierra Enge,usUSA,DF,SD Wave,23,2000,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
104,Abby Erceg,nzNZL,DF,Racing Louisville,34,1989,26,26,,26.0,1,2,3,1,0,0,0,0,0.04,0.08,0.12,0.04,0.12,Matches
105,Sinead Farrelly,ieIRL,MF,Gotham FC,34,1989,1,0,2.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
106,Bayley Feist,usUSA,MF,Current,26,1997,16,6,572.0,6.4,1,0,1,1,0,0,0,0,0.16,0.0,0.16,0.16,0.16,Matches
107,Kayla Fischer,usUSA,"MF,FW",Racing Louisville,24,2000,24,12,,12.6,1,1,2,1,0,0,10,0,0.08,0.08,0.16,0.08,0.16,Matches
108,Jess Fishlock,wlsWAL,"MF,FW",Reign,37,1987,18,17,,15.5,0,3,3,0,0,0,0,0,0.0,0.19,0.19,0.0,0.19,Matches
109,Jessie Fleming,caCAN,MF,Portland Thorns,25,1998,25,21,,18.9,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,Matches
110,Taylor Flint,usUSA,MF,Racing Louisville,25,1998,24,24,,22.8,3,1,4,2,1,1,6,0,0.13,0.04,0.18,0.09,0.13,Matches
111,Lauren Flynn,usUSA,DF,Royals,21,2002,12,10,893.0,9.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
112,Dana Foederer,nlNED,MF,Royals,21,2002,23,17,,17.0,1,2,3,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,Matches
113,Adrianna Franch,usUSA,GK,Current,33,1990,17,17,,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
114,Bea Franklin,usUSA,MF,Red Stars,23,2000,16,12,,12.3,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08,Matches
115,Macey Fraser,nzNZL,MF,Royals,21,2002,4,2,210.0,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
116,Mandy Freeman,usUSA,DF,Gotham FC,28,1995,16,7,751.0,8.3,1,2,3,1,0,0,3,0,0.12,0.24,0.36,0.12,0.36,Matches
117,Kennedy Fuller,usUSA,"MF,FW",Angel City FC,16,2007,19,10,979.0,10.9,1,0,1,1,0,0,1,0,0.09,0.0,0.09,0.09,0.09,Matches
118,Ryan Gareis,usUSA,"MF,FW",Houston Dash,25,1998,7,5,327.0,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
119,Morgan Gautrat,usUSA,MF,Orlando Pride,30,1993,17,11,850.0,9.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
120,Naomi Girma,usUSA,DF,SD Wave,23,2000,20,20,,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
121,Hanna Glas,seSWE,DF,Reign,30,1993,7,6,473.0,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
122,Parker Goins,usUSA,MF,Racing Louisville,25,1998,14,0,173.0,1.9,1,0,1,1,0,0,0,0,0.52,0.0,0.52,0.52,0.52,Matches
123,Nádia Gomes,ptPOR,"MF,FW",Red Stars,27,1996,9,3,234.0,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
124,Esther González,esESP,"FW,MF",Gotham FC,31,1992,21,18,,17.5,9,4,13,9,0,0,1,0,0.51,0.23,0.74,0.51,0.74,Matches
125,Sarah Gorden,usUSA,DF,Angel City FC,31,1992,24,24,,22.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
126,Emily Gray,usUSA,MF,Royals,23,2000,2,0,3.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
127,Sarah Griffith,usUSA,MF,Red Stars,24,1999,7,3,190.0,2.1,0,1,1,0,0,0,0,0,0.0,0.47,0.47,0.0,0.47,Matches
128,Shea Groom,usUSA,"MF,FW",Red Stars,30,1993,17,3,530.0,5.9,0,2,2,0,0,0,1,0,0.0,0.34,0.34,0.0,0.34,Matches
129,Julia Grosso,caCAN,MF,Red Stars,23,2000,10,10,852.0,9.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
130,Kristen Hamilton,usUSA,"FW,MF",Current,31,1992,3,0,87.0,1.0,1,0,1,1,0,0,0,0,1.03,0.0,1.03,1.03,1.03,Matches
131,Madison Hammond,usUSA,MF,Angel City FC,26,1997,23,15,,15.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Matches
132,DiDi Haracic,baBIH,GK,Angel City FC,31,1992,23,23,,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
133,Jyllissa Harris,usUSA,DF,Houston Dash,23,2000,11,9,804.0,8.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
134,Ashley Hatch,usUSA,"FW,MF",Washington Spirit,28,1995,24,16,,15.6,7,3,10,4,3,3,0,0,0.45,0.19,0.64,0.26,0.45,Matches
135,Anna Heilferty,usUSA,DF,Washington Spirit,24,1999,2,0,71.0,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
136,Amandine Henry,frFRA,MF,Angel City FC,34,1989,4,3,263.0,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
137,Amandine Henry,frFRA,MF,Royals,34,1989,10,9,840.0,9.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
138,Hal Hershfelt,usUSA,MF,Washington Spirit,22,2001,25,23,,23.1,2,0,2,2,0,0,6,0,0.09,0.0,0.09,0.09,0.09,Matches
139,Samantha Hiatt,usUSA,DF,Gotham FC,26,1998,17,12,,12.4,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08,Matches
140,Rachel Hill,usUSA,"MF,FW",Bay FC,28,1995,18,12,,12.3,1,2,3,1,0,0,0,0,0.08,0.16,0.24,0.08,0.24,Matches
141,Heather Hinz,usUSA,GK,Houston Dash,22,2001,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
142,Sophie Hirst,usUSA,MF,Portland Thorns,23,2000,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
143,Sophie Hirst,usUSA,MF,Houston Dash,23,2000,7,3,286.0,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
144,Penelope Hocking,usUSA,"FW,MF",Red Stars,24,1999,13,12,982.0,10.9,4,1,5,4,0,0,5,0,0.37,0.09,0.46,0.37,0.46,Matches
145,Penelope Hocking,usUSA,"MF,FW",Bay FC,24,1999,8,3,373.0,4.1,0,1,1,0,0,0,1,0,0.0,0.24,0.24,0.0,0.24,Matches
146,Shelby Hogan,usUSA,GK,Portland Thorns,25,1998,21,21,,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
147,Shae Holmes,usUSA,DF,Reign,23,2000,19,12,,13.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
148,Haley Hopkins,usUSA,"FW,MF",NC Courage,25,1998,23,18,,16.3,3,1,4,3,0,0,2,0,0.18,0.06,0.25,0.18,0.25,Matches
149,Jaelin Howell,usUSA,MF,Reign,24,1999,8,5,477.0,5.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches
150,Jaelin Howell,usUSA,MF,Racing Louisville,24,1999,12,8,701.0,7.8,0,1,1,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,Matches
151,Kelli Hubly,usUSA,DF,Portland Thorns,29,1994,20,19,,19.1,0,2,2,0,0,0,6,0,0.0,0.1,0.1,0.0,0.1,Matches
152,Sofia Huerta,usUSA,DF,Reign,31,1992,19,19,,19.0,2,0,2,0,2,2,4,0,0.11,0.0,0.11,0.0,0.0,Matches
153,Jordyn Huitema,caCAN,"FW,MF",Reign,22,2001,18,17,,16.7,3,1,4,3,0,0,2,0,0.18,0.06,0.24,0.18,0.24,Matches
154,Claire Hutton,usUSA,MF,Current,18,2006,22,19,,18.4,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,Matches
155,Laurel Ivory,usUSA,GK,Reign,24,1999,9,8,751.0,8.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
156,Riley Jackson,usUSA,MF,NC Courage,18,2005,18,3,316.0,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
157,Natalie Jacobs,usUSA,DF,Houston Dash,26,1997,16,14,,13.8,1,1,2,1,0,0,2,0,0.07,0.07,0.15,0.07,0.15,Matches
158,Sofia Jakobsson,seSWE,"MF,FW",SD Wave,33,1990,12,6,559.0,6.2,1,0,1,1,0,0,0,0,0.16,0.0,0.16,0.16,0.16,Matches
159,Angharad James,wlsWAL,MF,Reign,29,1994,15,12,888.0,9.9,1,0,1,1,0,0,3,1,0.1,0.0,0.1,0.1,0.1,Matches
160,Ellie Jean,usUSA,DF,Racing Louisville,27,1997,8,6,592.0,6.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
161,Mwanalima Jereko,keKEN,MF,Current,26,1997,3,0,45.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
162,Celia Jiménez,esESP,DF,Orlando Pride,28,1995,3,1,74.0,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
163,Katie Johnson,mxMEX,"FW,MF",Angel City FC,29,1994,5,0,89.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
164,Mya Jones,caCAN,"MF,FW",SD Wave,22,2001,19,12,852.0,9.5,2,0,2,2,0,0,0,0,0.21,0.0,0.21,0.21,0.21,Matches
165,Jameese Joseph,usUSA,"MF,FW",Red Stars,21,2002,23,9,,11.5,2,2,4,2,0,0,1,0,0.17,0.17,0.35,0.17,0.35,Matches
166,Júlia,brBRA,MF,Red Stars,26,1997,17,9,785.0,8.7,1,0,1,1,0,0,2,0,0.11,0.0,0.11,0.11,0.11,Matches
167,Uchenna Kanu,ngNGA,"MF,FW",Racing Louisville,26,1997,12,10,751.0,8.3,5,0,5,5,0,0,1,0,0.6,0.0,0.6,0.6,0.6,Matches
168,Kerolin,brBRA,FW,NC Courage,24,1999,5,2,235.0,2.6,1,0,1,1,0,0,0,0,0.38,0.0,0.38,0.38,0.38,Matches
