ranker,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,matches
328,Erika Tymrak,usUSA,"MF,FW",Orlando Pride,31,1991,13,801.0,62.0,40.5,8.9,10,74.0,0,3,20.0,8,1.46,9.0,7.0,2.0,0.22,0.45,Matches
329,Olivia Van der Jagt,usUSA,MF,Reign,23,1999,17,,64.0,54.6,12.0,12,80.0,6,5,24.0,1,1.63,8.0,11.0,-3.0,-0.25,-1.05,Matches
330,Michele Vasconcelos,usUSA,FW,Portland Thorns,28,1994,13,344.0,26.0,17.4,3.8,3,54.0,0,10,18.0,5,1.64,5.0,5.0,0.0,0.0,-0.55,Matches
331,Natalie Viggiano,,MF,Reign,,,0,,,,,0,,0,0,,2,,,,,,,Matches
332,Mary Vignola,usUSA,DF,Angel City FC,24,1998,18,,66.0,60.3,13.3,15,76.0,8,3,16.0,0,1.26,15.0,16.0,-1.0,-0.08,-0.3,Matches
333,Viviana Villacorta,usUSA,MF,Orlando Pride,23,1999,16,,69.0,55.9,12.3,13,79.0,8,3,25.0,2,1.56,18.0,15.0,3.0,0.24,0.66,Matches
334,Jenna Walker,usUSA,"MF,DF",Current,23,1999,8,441.0,55.0,22.3,4.9,5,82.0,3,3,11.0,12,1.13,5.0,12.0,-7.0,-1.43,-1.49,Matches
335,Ally Watt,usUSA,"FW,MF",Orlando Pride,25,1997,19,743.0,39.0,37.5,8.3,6,75.0,1,13,23.0,2,1.47,9.0,11.0,-2.0,-0.24,-0.32,Matches
336,Dani Weatherholt,usUSA,MF,Angel City FC,28,1994,21,,69.0,73.3,16.1,15,86.0,12,6,27.0,1,1.43,23.0,22.0,1.0,0.06,0.06,Matches
337,Morgan Weaver,usUSA,"FW,MF",Portland Thorns,25,1997,22,,81.0,89.8,19.8,22,81.0,11,0,,0,1.52,37.0,30.0,7.0,0.35,-0.99,Matches
338,Mallory Weber,usUSA,"DF,FW",Current,28,1994,0,,,,,0,,0,0,,1,,,,,,,Matches
339,McKenzie Weinert,,FW,Reign,,,2,47.0,24.0,2.4,0.5,0,,0,2,24.0,0,0.5,2.0,1.0,1.0,1.91,1.73,Matches
340,Christen Westphal,usUSA,DF,SD Wave,29,1993,22,,89.0,99.3,21.8,22,89.0,20,0,,0,1.61,30.0,21.0,9.0,0.41,0.41,Matches
341,Ryan Williams,usUSA,DF,NC Courage,26,1996,22,,89.0,99.1,21.8,22,89.0,21,0,,0,1.43,29.0,22.0,7.0,0.32,0.32,Matches
342,Sophia Wilson,usUSA,FW,Portland Thorns,22,2000,17,,68.0,58.7,12.9,13,82.0,8,4,24.0,0,1.78,34.0,17.0,17.0,1.32,2.09,Matches
343,Olivia Wingate,usUSA,FW,NC Courage,22,2000,16,431.0,27.0,21.8,4.8,1,59.0,0,15,25.0,1,1.56,4.0,6.0,-2.0,-0.42,-0.94,Matches
344,Mackenzie Wood,usUSA,GK,Red Stars,22,2000,0,,,,,0,,0,0,,6,,,,,,,Matches
345,Arin Wright,usUSA,"DF,MF",Red Stars,30,1992,20,,79.0,80.1,17.6,19,83.0,14,1,9.0,0,1.05,23.0,43.0,-20.0,-1.14,-0.68,Matches
346,Zaneta Wyne,usUSA,MF,Racing Louisville,32,1990,1,12.0,12.0,0.6,0.1,0,,0,1,12.0,17,1.0,0.0,0.0,0.0,0.0,-0.05,Matches
347,Shae Yanez,usUSA,GK,SD Wave,25,1997,4,271.0,68.0,13.7,3.0,3,90.0,3,1,1.0,13,1.0,4.0,4.0,0.0,0.0,-0.47,Matches
348,Summer Yates,usUSA,MF,Orlando Pride,22,2000,10,117.0,12.0,5.9,1.3,0,,0,10,12.0,9,0.7,0.0,4.0,-4.0,-3.08,-3.22,Matches
349,McCall Zerboni,usUSA,MF,Gotham FC,36,1986,16,488.0,31.0,24.6,5.4,5,66.0,0,11,14.0,0,1.56,2.0,6.0,-4.0,-0.74,-1.04,Matches
