ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
49,Mikayla Cluff,usUSA,MF,Orlando Pride,23,1999,22,17,,16.8,2,1,3,2,0,0,2,0,0.12,0.06,0.18,0.12,0.18,Matches
50,Sam Coffey,usUSA,MF,Portland Thorns,24,1998,22,22,,21.8,0,8,8,0,0,0,1,0,0.0,0.37,0.37,0.0,0.37,Matches
51,Danielle Colaprico,usUSA,MF,SD Wave,29,1993,22,21,,19.2,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,Matches
52,Kaylie Collins,usUSA,GK,Orlando Pride,24,1998,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
53,Sydney Collins,caCAN,DF,NC Courage,23,1999,4,2,196.0,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
54,Shea Connors,usUSA,FW,SD Wave,26,1996,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
55,Alana Cook,usUSA,DF,Reign,25,1997,18,18,,17.5,0,2,2,0,0,0,3,1,0.0,0.11,0.11,0.0,0.11,Matches
56,Ava Cook,usUSA,"MF,FW",Red Stars,22,2000,20,10,964.0,10.7,3,0,3,3,0,0,2,0,0.28,0.0,0.28,0.28,0.28,Matches
57,Michelle Cooper,usUSA,"MF,FW",Current,20,2002,21,17,,18.1,3,1,4,1,2,2,5,0,0.17,0.06,0.22,0.06,0.11,Matches
58,Chai Cortez,usUSA,DF,SD Wave,24,1998,2,1,66.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
59,Caitlin Cosme,prPUR,DF,Orlando Pride,24,1999,4,4,360.0,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
60,Chardonnay Curran,usUSA,MF,Current,23,1999,13,3,308.0,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
61,Izzy D'Aquila,usUSA,FW,Portland Thorns,21,2001,15,2,346.0,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
62,Abby Dahlkemper,usUSA,DF,SD Wave,29,1993,5,5,450.0,5.0,1,0,1,1,0,0,1,0,0.2,0.0,0.2,0.2,0.2,Matches
63,Tierna Davidson,usUSA,DF,Red Stars,24,1998,18,18,,17.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
64,Kirsten Davis,usUSA,FW,Racing Louisville,24,1998,21,15,,13.4,4,1,5,4,0,0,1,0,0.3,0.07,0.37,0.3,0.37,Matches
65,Debinha,brBRA,"MF,FW",Current,31,1991,18,17,,16.9,9,2,11,7,2,2,1,0,0.53,0.12,0.65,0.41,0.53,Matches
66,Kate Del Fava,usUSA,"DF,MF",Current,24,1998,22,21,,20.3,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,Matches
67,Cece Delzer,usUSA,"MF,FW",Current,25,1997,20,18,,16.2,6,2,8,6,0,0,0,0,0.37,0.12,0.49,0.37,0.49,Matches
68,Savannah Demelo,usUSA,"MF,FW",Racing Louisville,24,1998,18,18,,17.6,5,2,7,3,2,3,7,1,0.28,0.11,0.4,0.17,0.28,Matches
69,Madelyn Desiano,usUSA,DF,Houston Dash,22,2000,4,0,23.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
70,Vanessa DiBernardo,usUSA,MF,Current,30,1992,11,11,960.0,10.7,0,2,2,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,Matches
71,Claudia Dickey,usUSA,GK,Reign,23,2000,6,6,540.0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
72,Marisa DiGrande,usUSA,MF,Houston Dash,25,1997,20,14,,15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
73,Makenzy Doniak,usUSA,"MF,FW",SD Wave,28,1994,21,11,,12.5,3,2,5,3,0,0,1,0,0.24,0.16,0.4,0.24,0.4,Matches
74,Meggie Dougherty Howard,usUSA,MF,SD Wave,27,1995,12,8,579.0,6.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
75,Nicole Douglas,engENG,MF,Washington Spirit,22,2000,10,1,161.0,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
76,Julie Doyle,usUSA,"MF,FW",Orlando Pride,24,1998,16,11,827.0,9.2,2,3,5,2,0,0,2,0,0.22,0.33,0.54,0.22,0.54,Matches
77,Crystal Dunn,usUSA,MF,Portland Thorns,30,1992,19,17,,14.5,5,2,7,5,0,0,0,0,0.35,0.14,0.48,0.35,0.48,Matches
78,Caprice Dydasco,usUSA,"DF,MF",Houston Dash,29,1993,22,22,,21.9,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,Matches
79,Elizabeth Eddy,usUSA,MF,Angel City FC,31,1991,3,0,55.0,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
80,Kristen Edmonds,usUSA,DF,Gotham FC,35,1987,14,11,,11.5,0,1,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09,Matches
81,Emily van Egmond,auAUS,MF,SD Wave,29,1993,10,9,766.0,8.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
82,Emina Ekic,usUSA,MF,Racing Louisville,23,1999,4,0,5.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
83,Madison Elwell,usUSA,MF,Washington Spirit,23,1999,4,1,136.0,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
84,Claire Emslie,sctSCO,"MF,FW",Angel City FC,28,1994,19,16,,14.1,3,5,8,2,1,2,0,0,0.21,0.35,0.57,0.14,0.5,Matches
85,Jun Endō,jpJPN,"MF,FW",Angel City FC,22,2000,17,10,910.0,10.1,3,2,5,3,0,0,0,0,0.3,0.2,0.49,0.3,0.49,Matches
86,Sierra Enge,usUSA,"MF,DF",SD Wave,22,2000,10,7,698.0,7.8,2,0,2,2,0,0,1,0,0.26,0.0,0.26,0.26,0.26,Matches
87,Abby Erceg,nzNZL,DF,Racing Louisville,33,1989,22,22,,22.0,2,0,2,2,0,0,1,0,0.09,0.0,0.09,0.09,0.09,Matches
88,Julie Ertz,usUSA,MF,Angel City FC,30,1992,7,7,571.0,6.3,1,0,1,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,Matches
89,Sinead Farrelly,ieIRL,MF,Gotham FC,33,1989,18,7,817.0,9.1,0,1,1,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,Matches
90,Millie Farrow,engENG,FW,NC Courage,26,1996,2,1,49.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
91,Bayley Feist,usUSA,"MF,FW",Washington Spirit,25,1997,4,2,176.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
92,Sami Feller,,MF,Red Stars,22,2000,1,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
93,Kayla Fischer,usUSA,MF,Racing Louisville,23,2000,10,5,462.0,5.1,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,Matches
94,Samantha Fisher,svSLV,MF,Red Stars,23,1999,5,1,156.0,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
95,Jess Fishlock,wlsWAL,MF,Reign,36,1987,17,16,,14.4,4,1,5,4,0,0,2,0,0.28,0.07,0.35,0.28,0.35,Matches
96,Taylor Flint,usUSA,"MF,FW",SD Wave,24,1998,16,6,681.0,7.6,1,0,1,1,0,0,4,0,0.13,0.0,0.13,0.13,0.13,Matches
97,Sabrina Flores,usUSA,DF,Gotham FC,27,1996,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
98,Emily Fox,usUSA,DF,NC Courage,24,1998,18,18,,17.2,0,2,2,0,0,0,0,1,0.0,0.12,0.12,0.0,0.12,Matches
99,Adrianna Franch,usUSA,GK,Current,32,1990,12,12,,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
100,Mandy Freeman,usUSA,DF,Gotham FC,27,1995,10,6,516.0,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
101,Ryan Gareis,usUSA,FW,Houston Dash,24,1998,12,2,364.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
102,Morgan Gautrat,usUSA,MF,Current,29,1993,5,4,237.0,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
103,Mille Gejl,dkDEN,"MF,FW",NC Courage,23,1999,14,6,493.0,5.5,2,1,3,2,0,0,2,0,0.37,0.18,0.55,0.37,0.55,Matches
104,Naomi Girma,usUSA,DF,SD Wave,22,2000,19,19,,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
105,Parker Goins,usUSA,MF,Racing Louisville,24,1998,10,0,139.0,1.5,1,0,1,1,0,0,0,0,0.65,0.0,0.65,0.65,0.65,Matches
106,Esther González,esESP,"FW,MF",Gotham FC,30,1992,5,3,341.0,3.8,2,0,2,2,0,0,1,0,0.53,0.0,0.53,0.53,0.53,Matches
107,Sarah Gorden,usUSA,DF,Angel City FC,30,1992,22,22,,22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
108,Sarah Griffith,usUSA,MF,Red Stars,23,1999,6,3,259.0,2.9,0,1,1,0,0,0,0,0,0.0,0.35,0.35,0.0,0.35,Matches
