ranker,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,matches
17,Kimmi Ascanio,usUSA,"FW,MF",SD Wave,17,2008,26,,58.0,64.4,16.7,17,76.0,2,9,24.0,0,1.37,25.0,19.0,6.0,0.36,0.25,Matches
18,Ramona Bachmann,chSUI,"FW,MF",Houston Dash,34,1990,2,37.0,19.0,1.6,0.4,0,,0,2,19.0,1,0.5,0.0,1.0,-1.0,-2.43,-2.0,Matches
19,Jordan Baggett,usUSA,MF,Racing Louisville,28,1996,0,,,,,0,,0,0,,12,,,,,,,Matches
20,Dorian Bailey,usUSA,MF,Bay FC,28,1997,23,,53.0,51.6,13.4,12,76.0,2,11,27.0,1,0.78,14.0,16.0,-2.0,-0.15,0.88,Matches
21,Elizabeth Ball,usUSA,DF,Current,29,1995,19,,70.0,57.2,14.9,14,87.0,13,5,25.0,4,2.6,32.0,8.0,24.0,1.61,0.54,Matches
22,Barbra Banda,zmZAM,FW,Orlando Pride,24,2000,16,,81.0,55.4,14.4,15,83.0,11,1,45.0,0,1.75,22.0,12.0,10.0,0.69,1.04,Matches
23,Melanie Barcenas,usUSA,MF,SD Wave,17,2007,17,468.0,28.0,20.0,5.2,3,66.0,0,14,19.0,1,1.71,9.0,5.0,4.0,0.77,0.63,Matches
24,Lauren Barnes,usUSA,DF,Reign,35,1989,20,,65.0,55.9,14.5,16,79.0,5,4,11.0,4,1.43,11.0,14.0,-3.0,-0.21,-0.73,Matches
25,Ángela Barón,coCOL,DF,Racing Louisville,21,2003,0,,,,,0,,0,0,,17,,,,,,,Matches
26,Catherine Barry,usUSA,FW,Chicago Stars,23,2001,4,49.0,12.0,2.1,0.5,0,,0,4,12.0,3,0.0,0.0,4.0,-4.0,-7.35,-6.64,Matches
27,Hillary Beall,usUSA,GK,SD Wave,26,1999,0,,,,,0,,0,0,,5,,,,,,,Matches
28,Liz Beardsley,usUSA,GK,Houston Dash,21,2003,0,,,,,0,,0,0,,5,,,,,,,Matches
29,Beatriz,brBRA,FW,Current,31,1993,24,,66.0,67.8,17.6,19,77.0,5,5,26.0,0,2.36,28.0,9.0,19.0,1.08,-0.95,Matches
30,Hannah Bebar,usUSA,MF,Bay FC,23,2001,17,,62.0,44.9,11.7,12,78.0,5,5,24.0,2,0.65,9.0,16.0,-7.0,-0.6,-0.04,Matches
31,Maycee Bell,usUSA,DF,NC Courage,24,2000,24,,79.0,80.9,21.0,21,87.0,18,3,22.0,2,1.38,32.0,32.0,0.0,0.0,0.4,Matches
32,Elyse Bennett,usUSA,FW,Orlando Pride,25,1999,0,,,,,0,,0,0,,3,,,,,,,Matches
33,Ann-Katrin Berger,deGER,GK,Gotham FC,34,1990,24,,90.0,92.2,24.0,24,90.0,23,0,,0,1.63,33.0,21.0,12.0,0.5,1.48,Matches
34,Malia Berkely,usUSA,"DF,MF",NC Courage,26,1998,11,804.0,73.0,34.4,8.9,9,80.0,5,2,40.0,2,1.0,10.0,14.0,-4.0,-0.45,-0.56,Matches
35,Malia Berkely,usUSA,DF,Houston Dash,26,1998,6,539.0,90.0,23.0,6.0,6,90.0,5,0,,0,1.17,3.0,9.0,-6.0,-1.0,-0.7,Matches
36,Rebeca Bernal,mxMEX,"DF,MF",Washington Spirit,27,1997,21,,82.0,73.4,19.1,20,84.0,15,1,45.0,1,1.54,32.0,27.0,5.0,0.26,-0.32,Matches
37,Hannah Betfort,usUSA,"FW,MF",NC Courage,26,1999,19,697.0,37.0,29.8,7.7,6,76.0,1,13,19.0,7,1.21,12.0,10.0,2.0,0.26,0.48,Matches
38,Croix Bethune,usUSA,"MF,FW",Washington Spirit,23,2001,20,,67.0,57.2,14.9,16,78.0,6,4,22.0,1,1.57,28.0,19.0,9.0,0.61,0.61,Matches
39,Michelle Betos,usUSA,GK,Gotham FC,36,1988,0,,,,,0,,0,0,,5,,,,,,,Matches
40,Camryn Biegalski,usUSA,DF,Chicago Stars,26,1998,20,,78.0,66.7,17.3,16,85.0,9,4,50.0,4,0.85,24.0,32.0,-8.0,-0.46,1.16,Matches
41,Jenna Bike,usUSA,"MF,FW",Chicago Stars,26,1998,8,428.0,54.0,18.3,4.8,6,64.0,0,2,22.0,1,0.63,4.0,8.0,-4.0,-0.84,0.01,Matches
42,Bella Bixby,usUSA,GK,Portland Thorns,29,1995,7,630.0,90.0,26.9,7.0,7,90.0,7,0,,19,1.86,9.0,4.0,5.0,0.71,0.61,Matches
43,Lynn Biyendolo,usUSA,"FW,MF",Reign,31,1993,13,794.0,61.0,33.9,8.8,7,87.0,3,6,31.0,1,1.46,13.0,10.0,3.0,0.34,0.34,Matches
44,Jordyn Bloomer,usUSA,GK,Racing Louisville,27,1997,20,,90.0,76.9,20.0,20,90.0,20,0,,6,1.57,29.0,26.0,3.0,0.15,1.15,Matches
45,Meg Boade,,MF,Washington Spirit,,,3,107.0,36.0,4.6,1.2,2,53.0,0,1,1.0,9,2.33,4.0,5.0,-1.0,-0.84,-1.24,Matches
46,Meg Boade,,MF,Chicago Stars,,,0,,,,,0,,0,0,,8,,,,,,,Matches
47,Tess Boade,usUSA,MF,Bay FC,25,1999,19,984.0,52.0,42.1,10.9,10,78.0,4,9,23.0,2,0.79,9.0,18.0,-9.0,-0.82,-0.42,Matches
48,Lisa Boattin,itITA,DF,Houston Dash,27,1997,5,261.0,52.0,11.2,2.9,2,86.0,0,3,30.0,2,0.8,1.0,5.0,-4.0,-1.38,-1.03,Matches
49,Carissa Boeckmann,usUSA,MF,Portland Thorns,21,2003,0,,,,,0,,0,0,,6,,,,,,,Matches
50,Bethany Bos,usUSA,"FW,MF",Racing Louisville,27,1997,11,46.0,4.0,2.0,0.5,0,,0,11,4.0,2,1.42,2.0,4.0,-2.0,-3.91,-3.87,Matches
51,Marisa Bova,usUSA,GK,NC Courage,24,2000,5,450.0,90.0,19.2,5.0,5,90.0,5,0,,20,1.4,6.0,7.0,-1.0,-0.2,-0.15,Matches
52,Abby Boyan,,MF,Royals,,,0,,,,,0,,0,0,,4,,,,,,,Matches
53,Jordan Brewster,usUSA,DF,Bay FC,25,1999,1,25.0,25.0,1.1,0.3,1,25.0,0,0,,3,3.0,0.0,0.0,0.0,0.0,0.58,Matches
54,Isabella Briede,usUSA,MF,Houston Dash,26,1998,0,,,,,0,,0,0,,14,,,,,,,Matches
55,Messiah Bright,usUSA,FW,Houston Dash,25,2000,26,,48.0,53.8,14.0,12,65.0,0,14,34.0,0,1.15,13.0,21.0,-8.0,-0.57,-0.24,Matches
56,Courtney Brown,usUSA,"MF,FW",Washington Spirit,24,2000,15,439.0,29.0,18.8,4.9,5,45.0,0,10,21.0,5,1.53,7.0,7.0,0.0,0.0,-0.43,Matches
57,Bruninha,brBRA,"DF,MF",Gotham FC,22,2002,23,,59.0,58.2,15.1,15,75.0,6,8,29.0,2,1.65,24.0,12.0,12.0,0.79,0.98,Matches
58,Jordyn Bugg,usUSA,DF,Reign,18,2006,25,,86.0,91.8,23.9,24,89.0,22,1,25.0,1,1.46,27.0,27.0,0.0,0.0,-1.41,Matches
59,Trinity Byars,usUSA,FW,SD Wave,22,2003,0,,,,,0,,0,0,,1,0.0,,,,,,Matches
60,Jane Campbell,usUSA,GK,Houston Dash,29,1995,18,,86.0,65.9,17.1,18,86.0,17,0,,5,1.39,19.0,22.0,-3.0,-0.18,0.84,Matches
61,Ryan Campbell,usUSA,GK,Gotham FC,22,2002,1,3.0,3.0,0.1,0.0,0,,0,1,3.0,12,3.0,0.0,0.0,0.0,0.0,-0.39,Matches
62,Sofia Cantore,itITA,"FW,MF",Washington Spirit,25,1999,12,738.0,62.0,31.5,8.2,8,77.0,4,4,31.0,0,1.47,12.0,10.0,2.0,0.24,-0.15,Matches
63,Katie Cappelletti,,GK,NC Courage,,,0,,,,,0,,0,0,,3,,,,,,,Matches
64,Gabrielle Carle,caCAN,"DF,MF",Washington Spirit,26,1998,25,,83.0,88.5,23.0,23,87.0,18,2,39.0,1,1.69,35.0,29.0,6.0,0.26,-0.75,Matches
65,Jess Carter,engENG,DF,Gotham FC,27,1997,23,,82.0,81.0,21.1,23,82.0,14,0,,0,1.58,29.0,20.0,9.0,0.43,0.22,Matches
66,Kyra Carusa,ieIRL,FW,SD Wave,29,1995,14,382.0,27.0,16.3,4.2,3,60.0,0,11,18.0,9,1.14,6.0,7.0,-1.0,-0.24,-0.6,Matches
67,Sam Cary,usUSA,DF,Chicago Stars,24,2000,4,200.0,50.0,8.5,2.2,3,64.0,0,1,9.0,8,0.5,2.0,7.0,-5.0,-2.25,-1.54,Matches
68,Delphine Cascarino,frFRA,"MF,FW",SD Wave,27,1997,24,,82.0,84.5,22.0,23,85.0,13,1,34.0,0,1.44,35.0,27.0,8.0,0.36,0.61,Matches
69,Deyna Castellanos,veVEN,"FW,MF",Portland Thorns,25,1999,21,,56.0,50.2,13.1,13,79.0,2,8,18.0,3,1.57,17.0,17.0,0.0,0.0,-0.54,Matches
70,Ivonne Chacón,coCOL,FW,Chicago Stars,27,1997,5,182.0,36.0,7.8,2.0,1,90.0,1,4,23.0,0,1.0,6.0,5.0,1.0,0.49,1.45,Matches
71,Grace Chanda,zmZAM,FW,Orlando Pride,27,1997,4,40.0,10.0,1.7,0.4,0,,0,4,10.0,8,1.0,2.0,0.0,2.0,4.5,4.34,Matches
72,Allysha Chapman,caCAN,DF,Houston Dash,36,1989,11,657.0,60.0,28.1,7.3,8,78.0,3,3,10.0,3,1.73,9.0,12.0,-3.0,-0.41,0.07,Matches
73,Simone Charley,usUSA,FW,Orlando Pride,29,1995,9,226.0,25.0,9.7,2.5,1,45.0,0,8,23.0,2,1.45,4.0,0.0,4.0,1.59,1.51,Matches
74,Zara Chavosi,caCAN,DF,Orlando Pride,22,2002,10,506.0,51.0,21.6,5.6,5,89.0,4,5,13.0,12,1.8,5.0,6.0,-1.0,-0.18,-0.52,Matches
75,Temwa Chaŵinga,mwMWI,"FW,MF",Current,26,1998,23,,79.0,77.3,20.1,21,83.0,11,2,38.0,0,2.52,44.0,6.0,38.0,1.89,2.23,Matches
76,Prisca Chilufya,zmZAM,"FW,MF",Orlando Pride,25,1999,16,512.0,32.0,21.9,5.7,4,59.0,0,12,23.0,2,1.56,7.0,6.0,1.0,0.18,-0.07,Matches
77,Prisca Chilufya,zmZAM,FW,Angel City FC,25,1999,3,36.0,12.0,1.5,0.4,0,,0,3,12.0,0,1.0,0.0,1.0,-1.0,-2.5,-2.15,Matches
78,Mikayla Cluff,usUSA,MF,Reign,25,1999,0,,,,,0,,0,0,,3,,,,,,,Matches
79,Mikayla Cluff,usUSA,MF,Royals,25,1999,7,155.0,22.0,6.6,1.7,1,45.0,0,6,18.0,6,0.0,2.0,3.0,-1.0,-0.58,-0.05,Matches
80,Sam Coffey,usUSA,MF,Portland Thorns,26,1998,25,,89.0,94.9,24.7,25,89.0,23,0,,0,1.56,33.0,25.0,8.0,0.32,1.08,Matches
81,Danielle Colaprico,usUSA,MF,Houston Dash,31,1993,26,,84.0,93.7,24.4,26,84.0,16,0,,0,1.15,22.0,35.0,-13.0,-0.53,-1.14,Matches
82,Kaylie Collins,usUSA,GK,Washington Spirit,26,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
83,Sydney Collins,caCAN,DF,Bay FC,25,1999,9,765.0,85.0,32.7,8.5,8,90.0,8,1,45.0,1,0.33,5.0,15.0,-10.0,-1.18,-0.89,Matches
84,Caroline Conti,usUSA,"MF,FW",Bay FC,23,2001,21,,61.0,54.7,14.2,14,79.0,4,7,26.0,3,0.9,20.0,19.0,1.0,0.07,1.43,Matches
85,Alana Cook,usUSA,DF,Current,27,1997,7,586.0,84.0,25.0,6.5,7,84.0,5,0,,1,2.57,15.0,3.0,12.0,1.84,0.61,Matches
86,Ava Cook,usUSA,FW,Chicago Stars,24,2000,10,90.0,9.0,3.8,1.0,0,,0,10,9.0,11,0.7,2.0,4.0,-2.0,-2.0,-1.2,Matches
87,Sofia Cook,usUSA,MF,Gotham FC,20,2004,10,178.0,18.0,7.6,2.0,0,,0,10,18.0,7,0.9,3.0,1.0,2.0,1.01,0.68,Matches
88,Michelle Cooper,usUSA,"MF,FW",Current,22,2002,20,,61.0,52.4,13.6,17,67.0,0,3,30.0,0,2.65,25.0,4.0,21.0,1.54,0.33,Matches
89,Gia Corley,deGER,MF,SD Wave,22,2002,24,,66.0,67.7,17.6,21,72.0,1,3,23.0,1,1.48,30.0,18.0,12.0,0.68,1.28,Matches
90,Brooklyn Courtnall,caCAN,DF,Bay FC,22,2002,7,541.0,77.0,23.1,6.0,6,90.0,6,1,1.0,2,0.43,4.0,11.0,-7.0,-1.16,-0.76,Matches
91,Brooklyn Courtnall,caCAN,DF,NC Courage,22,2002,2,29.0,15.0,1.2,0.3,0,,0,2,15.0,6,0.5,1.0,0.0,1.0,3.1,3.22,Matches
92,Ana-Maria Crnogorčević,chSUI,"FW,MF",Reign,34,1990,12,391.0,33.0,16.7,4.3,5,67.0,0,7,8.0,3,1.5,4.0,4.0,0.0,0.0,-0.14,Matches
93,McKinley Crone,,GK,Orlando Pride,,,2,130.0,65.0,5.6,1.4,1,90.0,1,1,40.0,24,0.5,1.0,1.0,0.0,0.0,-0.24,Matches
94,Chardonnay Curran,usUSA,FW,Chicago Stars,25,1999,6,79.0,13.0,3.4,0.9,0,,0,6,13.0,5,0.33,0.0,2.0,-2.0,-2.28,-1.48,Matches
95,Madison Curry,usUSA,"MF,DF",Reign,24,2001,26,,80.0,89.1,23.2,24,85.0,18,2,23.0,0,1.44,30.0,25.0,5.0,0.22,0.92,Matches
96,Maddie Dahlien,usUSA,"MF,FW",Reign,20,2004,26,,70.0,78.1,20.3,21,82.0,8,5,21.0,0,1.44,26.0,24.0,2.0,0.1,-0.08,Matches
97,Abby Dahlkemper,usUSA,DF,Bay FC,31,1993,13,,90.0,50.0,13.0,13,90.0,13,0,,0,1.15,14.0,17.0,-3.0,-0.23,0.69,Matches
98,Daiane,brBRA,DF,Portland Thorns,27,1997,7,67.0,10.0,2.9,0.7,1,45.0,0,6,4.0,12,2.0,1.0,1.0,0.0,0.0,-0.28,Matches
99,Kenza Dali,frFRA,MF,SD Wave,33,1991,26,,90.0,99.8,25.9,26,90.0,24,0,,0,1.37,41.0,34.0,7.0,0.27,0.27,Matches
100,Tierna Davidson,usUSA,DF,Gotham FC,26,1998,3,223.0,74.0,9.5,2.5,3,74.0,2,0,,0,0.67,1.0,3.0,-2.0,-0.81,-1.32,Matches
101,Debinha,brBRA,"MF,FW",Current,33,1991,22,,66.0,62.5,16.2,17,76.0,3,5,33.0,0,2.3,29.0,8.0,21.0,1.29,-0.24,Matches
102,Kate Del Fava,usUSA,DF,Royals,26,1998,26,,90.0,100.0,26.0,26,90.0,26,0,,0,0.96,28.0,42.0,-14.0,-0.54,,Matches
103,Cece Delzer,usUSA,"FW,MF",Gotham FC,27,1997,3,38.0,13.0,1.6,0.4,0,,0,3,13.0,1,1.33,0.0,1.0,-1.0,-2.37,-2.8,Matches
104,Cece Delzer,usUSA,"FW,MF",Royals,27,1997,10,414.0,41.0,17.7,4.6,5,62.0,0,5,21.0,3,0.9,5.0,11.0,-6.0,-1.3,-0.93,Matches
105,Savannah Demelo,usUSA,MF,Racing Louisville,26,1998,18,,79.0,60.4,15.7,17,81.0,9,1,34.0,0,1.28,23.0,21.0,2.0,0.13,0.61,Matches
106,Margie Detrizio,,DF,Washington Spirit,,,2,9.0,5.0,0.4,0.1,0,,0,2,5.0,1,3.0,0.0,0.0,0.0,0.0,-0.35,Matches
107,Vanessa DiBernardo,usUSA,"MF,FW",Current,32,1992,13,886.0,68.0,37.9,9.8,11,77.0,1,2,22.0,0,2.54,23.0,7.0,16.0,1.63,0.39,Matches
108,Claudia Dickey,usUSA,GK,Reign,25,2000,26,,90.0,100.0,26.0,26,90.0,26,0,,0,1.44,32.0,29.0,3.0,0.12,,Matches
109,Marisa DiGrande,usUSA,MF,Racing Louisville,27,1997,23,696.0,30.0,29.7,7.7,5,71.0,1,18,19.0,3,1.42,10.0,14.0,-4.0,-0.52,-0.57,Matches
110,Makenzy Doniak,usUSA,"MF,FW",SD Wave,30,1994,21,508.0,24.0,21.7,5.6,4,64.0,0,17,15.0,5,1.5,5.0,9.0,-4.0,-0.71,-1.25,Matches
111,Sara Doorsoun,deGER,DF,Angel City FC,33,1991,8,632.0,79.0,27.0,7.0,7,88.0,5,1,19.0,2,0.5,5.0,10.0,-5.0,-0.71,-0.45,Matches
112,Imani Dorsey,usUSA,DF,Royals,28,1996,17,651.0,38.0,27.8,7.2,5,79.0,2,12,21.0,4,1.18,4.0,6.0,-2.0,-0.28,0.36,Matches
113,Julie Doyle,usUSA,"FW,MF",Orlando Pride,26,1998,11,410.0,37.0,17.5,4.6,5,59.0,0,6,19.0,6,1.62,5.0,10.0,-5.0,-1.1,-1.61,Matches
114,Dudinha,brBRA,"MF,FW",SD Wave,19,2005,10,639.0,64.0,27.3,7.1,7,85.0,1,3,15.0,1,0.91,12.0,11.0,1.0,0.14,-0.18,Matches
115,Julie Dufour,frFRA,"MF,FW",Angel City FC,23,2001,10,370.0,37.0,15.8,4.1,4,71.0,1,6,15.0,6,0.9,5.0,8.0,-3.0,-0.73,-0.41,Matches
116,Julie Dufour,frFRA,FW,Portland Thorns,23,2001,5,158.0,32.0,6.8,1.8,3,45.0,0,2,11.0,0,1.0,3.0,3.0,0.0,0.0,-0.29,Matches
117,Kiley Dulaney,,DF,Washington Spirit,,,1,10.0,10.0,0.4,0.1,0,,0,1,10.0,11,3.0,0.0,0.0,0.0,0.0,-0.35,Matches
118,Evelina Duljan,seSWE,MF,Houston Dash,21,2003,14,455.0,33.0,19.4,5.1,5,52.0,0,9,22.0,6,1.0,6.0,5.0,1.0,0.2,0.82,Matches
119,Kayla Duran,,DF,Gotham FC,,,7,97.0,14.0,4.1,1.1,1,60.0,0,6,6.0,6,1.56,1.0,4.0,-3.0,-2.78,-3.31,Matches
120,Caprice Dydasco,usUSA,DF,Bay FC,31,1993,26,,90.0,100.0,26.0,26,90.0,26,0,,0,0.77,26.0,41.0,-15.0,-0.58,,Matches
121,Cori Dyke,usUSA,DF,Orlando Pride,24,2000,22,,53.0,50.2,13.0,10,79.0,5,12,32.0,4,1.67,19.0,16.0,3.0,0.23,0.0,Matches
122,Elizabeth Eddy,usUSA,MF,Angel City FC,33,1991,0,,,,,0,,0,0,,2,,,,,,,Matches
123,Emerson Elgin,usUSA,DF,Gotham FC,21,2003,0,,,,,0,,0,0,,9,,,,,,,Matches
124,Favour Emmanuel,ngNGA,MF,SD Wave,22,2002,2,69.0,35.0,2.9,0.8,1,68.0,0,1,1.0,6,1.5,0.0,2.0,-2.0,-2.61,-2.97,Matches
125,Claire Emslie,sctSCO,"MF,FW",Angel City FC,30,1994,8,519.0,65.0,22.2,5.8,7,68.0,1,1,45.0,0,1.75,10.0,8.0,2.0,0.35,0.94,Matches
126,Jun Endō,jpJPN,"MF,FW",Angel City FC,24,2000,10,444.0,44.0,19.0,4.9,6,59.0,0,4,23.0,2,0.5,3.0,5.0,-2.0,-0.41,-0.03,Matches
127,Laurina Fazer,frFRA,MF,SD Wave,21,2003,9,504.0,56.0,21.5,5.6,6,75.0,4,3,18.0,2,1.1,11.0,10.0,1.0,0.18,-0.12,Matches
128,Bayley Feist,usUSA,MF,Current,27,1997,9,172.0,19.0,7.4,1.9,1,90.0,1,8,10.0,15,2.7,6.0,3.0,3.0,1.57,0.2,Matches
129,Kayla Fischer,usUSA,FW,Racing Louisville,25,2000,21,,58.0,52.3,13.6,16,69.0,4,5,23.0,1,1.45,16.0,20.0,-4.0,-0.29,-0.37,Matches
130,Mia Fishel,usUSA,"FW,MF",Reign,23,2001,11,340.0,31.0,14.5,3.8,4,59.0,0,7,15.0,2,1.17,4.0,5.0,-1.0,-0.26,-0.44,Matches
131,Jess Fishlock,wlsWAL,"MF,FW",Reign,38,1987,17,804.0,47.0,34.4,8.9,8,76.0,1,9,22.0,0,1.39,13.0,13.0,0.0,0.0,-0.18,Matches
132,Jessie Fleming,caCAN,MF,Portland Thorns,26,1998,25,,68.0,72.7,18.9,19,81.0,9,6,28.0,0,1.56,26.0,24.0,2.0,0.11,-0.6,Matches
133,Taylor Flint,usUSA,MF,Racing Louisville,26,1998,23,,90.0,88.2,22.9,23,90.0,22,0,,0,1.54,32.0,31.0,1.0,0.04,1.35,Matches
134,Lauren Flynn,usUSA,DF,Royals,22,2002,9,654.0,73.0,27.9,7.3,6,86.0,5,3,47.0,14,0.56,6.0,18.0,-12.0,-1.65,-1.54,Matches
135,Dana Foederer,nlNED,MF,Royals,22,2002,24,,44.0,44.9,11.7,10,74.0,3,14,22.0,2,0.88,5.0,21.0,-16.0,-1.37,-1.51,Matches
136,Bea Franklin,usUSA,"MF,DF",Chicago Stars,24,2000,23,,76.0,74.4,19.4,18,88.0,14,5,33.0,2,0.78,23.0,41.0,-18.0,-0.93,-0.33,Matches
137,Macey Fraser,nzNZL,"MF,FW",Royals,22,2002,5,190.0,38.0,8.1,2.1,2,67.0,0,3,19.0,2,0.2,3.0,6.0,-3.0,-1.42,-0.96,Matches
138,Leah Freeman,usUSA,GK,Bay FC,22,2002,0,,,,,0,,0,0,,3,,,,,,,Matches
139,Mandy Freeman,usUSA,DF,Gotham FC,29,1995,22,,58.0,54.3,14.1,13,81.0,6,9,24.0,0,1.5,15.0,14.0,1.0,0.07,-0.69,Matches
140,Kennedy Fuller,usUSA,MF,Angel City FC,17,2007,26,,71.0,79.1,20.6,21,81.0,6,5,32.0,0,1.04,22.0,33.0,-11.0,-0.54,-0.72,Matches
141,Jordan Fusco,usUSA,MF,SD Wave,21,2003,7,106.0,15.0,4.5,1.2,0,,0,7,15.0,16,1.25,3.0,4.0,-1.0,-0.85,-1.17,Matches
142,Clare Gagne,usUSA,GK,Current,24,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
143,Ryan Gareis,usUSA,MF,Houston Dash,26,1998,19,986.0,52.0,42.1,11.0,11,76.0,4,8,19.0,3,1.0,13.0,15.0,-2.0,-0.18,0.48,Matches
144,Morgan Gautrat,usUSA,MF,Orlando Pride,31,1993,11,667.0,61.0,28.5,7.4,10,65.0,0,1,20.0,3,1.64,8.0,8.0,0.0,0.0,-0.32,Matches
145,Justina Gaynor,usUSA,DF,Chicago Stars,23,2001,2,72.0,36.0,3.1,0.8,1,45.0,0,1,27.0,6,0.0,0.0,4.0,-4.0,-5.0,-4.29,Matches
146,Allie George,usUSA,DF,Racing Louisville,21,2003,0,,,,,0,,0,0,,15,,,,,,,Matches
147,Geyse,brBRA,"MF,FW",Gotham FC,26,1998,17,899.0,53.0,38.4,10.0,12,63.0,1,5,28.0,0,1.71,20.0,10.0,10.0,1.0,1.0,Matches
148,Hanna Glas,seSWE,DF,Reign,31,1993,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,11,3.0,0.0,0.0,0.0,0.0,-0.12,Matches
149,Lauren Gogal,,DF,Royals,,,0,,,,,0,,0,0,,3,,,,,,,Matches
150,Lauren Gogal,,DF,Washington Spirit,,,0,,,,,0,,0,0,,1,,,,,,,Matches
151,Nádia Gomes,ptPOR,"FW,MF",Chicago Stars,28,1996,19,653.0,34.0,27.9,7.3,7,65.0,0,12,16.0,6,0.79,5.0,20.0,-15.0,-2.07,-1.69,Matches
152,Esther González,esESP,"FW,MF",Gotham FC,32,1992,23,,83.0,81.7,21.2,22,86.0,13,1,30.0,0,1.6,28.0,18.0,10.0,0.47,0.47,Matches
153,Sarah Gorden,usUSA,DF,Angel City FC,32,1992,26,,87.0,97.1,25.3,26,87.0,24,0,,0,1.04,30.0,40.0,-10.0,-0.4,-0.4,Matches
154,Grace Gordon,usUSA,GK,Current,24,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
155,Maggie Graham,usUSA,"MF,FW",Houston Dash,22,2002,20,,76.0,65.0,16.9,16,87.0,13,4,30.0,0,1.15,20.0,26.0,-6.0,-0.36,0.3,Matches
156,Sarah Griffith,usUSA,FW,Chicago Stars,25,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
157,Shea Groom,usUSA,"MF,FW",Chicago Stars,31,1993,14,789.0,56.0,33.7,8.8,9,75.0,2,5,23.0,2,0.64,8.0,18.0,-10.0,-1.14,-0.44,Matches
