round,gameweek,dayofweek,date,start_time,home_team,score,away_team,attendance,venue,referee,match_report,notes
Regular Season,4.0,Sun,2024-04-14,17:00,Bay FC,3–2,Reign,,PayPal Park,,Match Report,
Regular Season,5.0,Sat,2024-04-20,13:00(10:00),Washington Spirit,2–0,Gotham FC,,Audi Field,,Match Report,
Regular Season,5.0,Sat,2024-04-20,17:00(14:00),Racing Louisville,5–1,Royals,,Lynn Family Stadium,,Match Report,
Regular Season,5.0,Sat,2024-04-20,18:30(16:30),Current,5–2,Bay FC,,CPKC Stadium,Rebecca Pagan,Match Report,
Regular Season,5.0,Fri,2024-04-19,20:00(17:00),Orlando Pride,1–0,SD Wave,,Inter&Co Stadium,,Match Report,
Regular Season,5.0,Sun,2024-04-21,15:00,Reign,1–2,Red Stars,,Lumen Field,,Match Report,
Regular Season,5.0,Sun,2024-04-21,16:30,Angel City FC,2–1,NC Courage,,BMO Stadium,,Match Report,
Regular Season,5.0,Sat,2024-04-20,19:00,Portland Thorns,4–1,Houston Dash,,Providence Park,,Match Report,
Regular Season,6.0,Fri,2024-04-26,19:30(16:30),Washington Spirit,2–3,Orlando Pride,,Audi Field,,Match Report,
Regular Season,6.0,Sat,2024-04-27,17:30(16:30),Royals,0–0,Houston Dash,,America First Field,,Match Report,
Regular Season,6.0,Sat,2024-04-27,18:30(16:30),Red Stars,0–2,Portland Thorns,,SeatGeek Stadium,,Match Report,
Regular Season,6.0,Sat,2024-04-27,19:00(16:00),NC Courage,1–0,Reign,,Sahlen's Stadium at WakeMed Soccer Park,,Match Report,
Regular Season,6.0,Fri,2024-04-26,19:00,Angel City FC,1–3,Current,,BMO Stadium,,Match Report,
Regular Season,6.0,Sun,2024-04-28,17:00(14:00),Gotham FC,1–1,Racing Louisville,,Red Bull Arena,,Match Report,
Regular Season,6.0,Sat,2024-04-27,19:00,SD Wave,2–1,Bay FC,,Snapdragon Stadium,,Match Report,
Regular Season,7.0,Wed,2024-05-01,19:00(16:00),Orlando Pride,4–1,NC Courage,,Inter&Co Stadium,,Match Report,
Regular Season,7.0,Wed,2024-05-01,19:00(17:00),Red Stars,2–4,Washington Spirit,,SeatGeek Stadium,,Match Report,
Regular Season,7.0,Wed,2024-05-01,19:00,Bay FC,2–3,Portland Thorns,,PayPal Park,,Match Report,
Regular Season,8.0,Fri,2024-05-03,19:00,Reign,2–1,SD Wave,,Lumen Field,,Match Report,
Regular Season,8.0,Sat,2024-05-04,19:30(16:30),Gotham FC,1–0,NC Courage,,Red Bull Arena,,Match Report,
Regular Season,8.0,Fri,2024-05-03,19:30(18:30),Royals,1–2,Angel City FC,,America First Field,,Match Report,
Regular Season,8.0,Sun,2024-05-05,12:00(10:00),Houston Dash,1–1,Current,,Shell Energy Stadium,,Match Report,
Regular Season,8.0,Sun,2024-05-05,18:00(15:00),Orlando Pride,1–0,Racing Louisville,,Inter&Co Stadium,,Match Report,
Regular Season,8.0,Sat,2024-05-04,19:00,Portland Thorns,2–1,Washington Spirit,,Providence Park,,Match Report,
Regular Season,8.0,Sun,2024-05-05,17:00,Bay FC,1–2,Red Stars,,PayPal Park,,Match Report,
Regular Season,7.0,Wed,2024-05-08,19:00,Reign,0–0,Current,,Lumen Field,,Match Report,
Regular Season,7.0,Wed,2024-05-08,19:00,SD Wave,2–0,Royals,,Snapdragon Stadium,,Match Report,
Regular Season,7.0,Wed,2024-05-08,19:00(17:00),Houston Dash,0–1,Gotham FC,,Shell Energy Stadium,,Match Report,
Regular Season,9.0,Sat,2024-05-11,19:30(16:30),Orlando Pride,1–0,Bay FC,,Inter&Co Stadium,,Match Report,
Regular Season,9.0,Fri,2024-05-10,20:00(17:00),Racing Louisville,1–2,Washington Spirit,,Lynn Family Stadium,Shawn Tehini,Match Report,
Regular Season,9.0,Sun,2024-05-12,16:30(14:30),Red Stars,3–1,Royals,,SeatGeek Stadium,,Match Report,
Regular Season,9.0,Sun,2024-05-12,16:30,Angel City FC,0–1,Houston Dash,,BMO Stadium,,Match Report,
Regular Season,9.0,Sun,2024-05-12,16:30,SD Wave,1–1,Gotham FC,,Snapdragon Stadium,,Match Report,
Regular Season,9.0,Sun,2024-05-12,17:00(15:00),Current,1–0,NC Courage,,CPKC Stadium,Adam Kilpatrick,Match Report,
Regular Season,9.0,Sat,2024-05-11,19:00,Portland Thorns,4–0,Reign,,Providence Park,,Match Report,
Regular Season,10.0,Fri,2024-05-17,19:00(17:00),Houston Dash,0–2,Portland Thorns,,Shell Energy Stadium,,Match Report,
Regular Season,10.0,Fri,2024-05-17,19:30,Bay FC,2–1,SD Wave,,PayPal Park,,Match Report,
Regular Season,10.0,Sat,2024-05-18,19:30(16:30),Washington Spirit,4–2,Angel City FC,,Audi Field,,Match Report,
Regular Season,10.0,Fri,2024-05-17,20:00(17:00),NC Courage,1–0,Royals,,Sahlen's Stadium at WakeMed Soccer Park,,Match Report,
Regular Season,10.0,Sun,2024-05-19,15:00,Reign,2–3,Orlando Pride,,Lumen Field,,Match Report,
Regular Season,10.0,Sun,2024-05-19,17:00(14:00),Gotham FC,2–1,Red Stars,,Red Bull Arena,,Match Report,
Regular Season,10.0,Sat,2024-05-18,20:30(18:30),Current,3–3,Racing Louisville,,CPKC Stadium,Nabil Bensalah,Match Report,
Regular Season,11.0,Fri,2024-05-24,19:00(16:00),Orlando Pride,2–1,Portland Thorns,,Inter&Co Stadium,,Match Report,
Regular Season,11.0,Thu,2024-05-23,19:00,Angel City FC,0–0,SD Wave,,BMO Stadium,Elton Garcia,Match Report,
Regular Season,11.0,Fri,2024-05-24,19:30(16:30),Washington Spirit,3–2,Reign,,Audi Field,,Match Report,
Regular Season,11.0,Sat,2024-05-25,18:30(16:30),Red Stars,0–1,Racing Louisville,,SeatGeek Stadium,,Match Report,
Regular Season,11.0,Fri,2024-05-24,19:00,Bay FC,0–2,Gotham FC,,PayPal Park,,Match Report,
Regular Season,11.0,Fri,2024-05-24,19:00(17:00),Houston Dash,3–0,NC Courage,,Shell Energy Stadium,,Match Report,
Regular Season,11.0,Sat,2024-05-25,20:00(19:00),Royals,0–1,Current,,America First Field,,Match Report,
Regular Season,12.0,Sat,2024-06-08,12:30(09:30),Gotham FC,2–1,Angel City FC,,Red Bull Arena,,Match Report,
Regular Season,12.0,Sat,2024-06-08,17:30(16:30),Royals,0–1,Washington Spirit,,America First Field,,Match Report,
Regular Season,12.0,Sat,2024-06-08,18:30(16:30),Red Stars,1–2,Bay FC,,Wrigley Field,,Match Report,
Regular Season,12.0,Fri,2024-06-07,19:00,SD Wave,1–1,Orlando Pride,,Snapdragon Stadium,,Match Report,
Regular Season,12.0,Fri,2024-06-07,20:00(17:00),Racing Louisville,2–0,Houston Dash,,Lynn Family Stadium,,Match Report,
Regular Season,12.0,Sun,2024-06-09,17:00(15:00),Current,5–2,Reign,,CPKC Stadium,Brad Jensen,Match Report,
Regular Season,12.0,Sat,2024-06-08,19:00,Portland Thorns,1–0,NC Courage,,Providence Park,,Match Report,
Regular Season,13.0,Sat,2024-06-15,12:00(09:00),Racing Louisville,0–2,Gotham FC,,Lynn Family Stadium,,Match Report,
Regular Season,13.0,Fri,2024-06-14,19:00(17:00),Current,2–2,Red Stars,,CPKC Stadium,Gerald Flores,Match Report,
Regular Season,13.0,Sat,2024-06-15,19:30(16:30),Washington Spirit,1–1,SD Wave,,Audi Field,,Match Report,
Regular Season,13.0,Sat,2024-06-15,19:30(16:30),NC Courage,0–0,Orlando Pride,,Sahlen's Stadium at WakeMed Soccer Park,,Match Report,
Regular Season,13.0,Sun,2024-06-16,13:00,Reign,0–0,Portland Thorns,,Lumen Field,,Match Report,
Regular Season,13.0,Sat,2024-06-15,20:30(18:30),Houston Dash,0–0,Angel City FC,,Shell Energy Stadium,,Match Report,
Regular Season,13.0,Sun,2024-06-16,19:00,Bay FC,0–1,Royals,,PayPal Park,,Match Report,
Regular Season,1.0,Wed,2024-06-19,19:00(16:00),Gotham FC,2–1,SD Wave,,Red Bull Arena,,Match Report,
Regular Season,7.0,Wed,2024-06-19,19:00,Angel City FC,3–2,Racing Louisville,,BMO Stadium,,Match Report,
Regular Season,14.0,Sat,2024-06-22,18:30(16:30),Houston Dash,0–0,SD Wave,,Shell Energy Stadium,,Match Report,
Regular Season,14.0,Fri,2024-06-21,20:00(17:00),Orlando Pride,6–0,Royals,,Inter&Co Stadium,,Match Report,
Regular Season,14.0,Sun,2024-06-23,13:00,Portland Thorns,1–4,Current,,Providence Park,,Match Report,
Regular Season,14.0,Sun,2024-06-23,15:00,Reign,1–1,Racing Louisville,,Lumen Field,,Match Report,
Regular Season,14.0,Sun,2024-06-23,18:00(15:00),Gotham FC,0–2,Washington Spirit,,Red Bull Arena,,Match Report,
Regular Season,14.0,Sun,2024-06-23,18:00(15:00),NC Courage,3–1,Red Stars,,Sahlen's Stadium at WakeMed Soccer Park,,Match Report,
Regular Season,14.0,Sat,2024-06-22,19:00,Bay FC,1–0,Angel City FC,,PayPal Park,,Match Report,
Regular Season,15.0,Sat,2024-06-29,16:00(13:00),Racing Louisville,0–1,Bay FC,,Lynn Family Stadium,,Match Report,
Regular Season,15.0,Fri,2024-06-28,19:00,SD Wave,0–3,Red Stars,,Snapdragon Stadium,,Match Report,
Regular Season,15.0,Fri,2024-06-28,19:00(17:00),Current,2–0,Houston Dash,,CPKC Stadium,Greg Dopka,Match Report,
Regular Season,15.0,Sat,2024-06-29,19:30(16:30),Washington Spirit,0–1,NC Courage,,Audi Field,,Match Report,
Regular Season,15.0,Sun,2024-06-30,13:00(10:00),Gotham FC,1–1,Reign,,Red Bull Arena,,Match Report,
Regular Season,15.0,Sun,2024-06-30,16:30,Angel City FC,0–3,Orlando Pride,,BMO Stadium,,Match Report,
Regular Season,15.0,Sat,2024-06-29,20:00(19:00),Royals,0–0,Portland Thorns,,America First Field,,Match Report,
Regular Season,16.0,Sat,2024-07-06,12:00(10:00),Red Stars,1–0,Houston Dash,,SeatGeek Stadium,,Match Report,
Regular Season,16.0,Sat,2024-07-06,18:30(16:30),Current,1–2,Orlando Pride,,CPKC Stadium,Joshua Encarnacion,Match Report,
Regular Season,16.0,Fri,2024-07-05,19:00,Portland Thorns,1–0,SD Wave,,Providence Park,,Match Report,
Regular Season,16.0,Sun,2024-07-07,15:00,Reign,1–1,Royals,,Lumen Field,,Match Report,
Regular Season,16.0,Sun,2024-07-07,16:30(13:30),NC Courage,3–1,Racing Louisville,,Sahlen's Stadium at WakeMed Soccer Park,,Match Report,
Regular Season,16.0,Sat,2024-07-06,19:00,Angel City FC,1–2,Gotham FC,,BMO Stadium,Katja Koroleva,Match Report,
Regular Season,16.0,Sat,2024-07-06,19:00,Bay FC,0–3,Washington Spirit,,PayPal Park,,Match Report,
Regular Season,17.0,Sat,2024-08-24,13:30,SD Wave,1–2,Angel City FC,,Snapdragon Stadium,Eric Tattersall,Match Report,
Regular Season,17.0,Sat,2024-08-24,14:30(11:30),Gotham FC,2–0,Portland Thorns,,Red Bull Arena,,Match Report,
Regular Season,17.0,Fri,2024-08-23,19:00(17:00),Houston Dash,0–1,Orlando Pride,,Shell Energy Stadium,,Match Report,
Regular Season,17.0,Sat,2024-08-24,19:30(16:30),Racing Louisville,3–1,Red Stars,,Lynn Family Stadium,,Match Report,
Regular Season,17.0,Fri,2024-08-23,19:30(18:30),Royals,2–1,Bay FC,,America First Field,,Match Report,
Regular Season,17.0,Sun,2024-08-25,12:00(09:00),Washington Spirit,4–1,Current,,Audi Field,Brad Jensen,Match Report,
Regular Season,17.0,Sun,2024-08-25,19:00,Reign,1–0,NC Courage,,Lumen Field,,Match Report,
Regular Season,18.0,Fri,2024-08-30,19:00,Portland Thorns,1–3,Bay FC,,Providence Park,Shawn Tehini,Match Report,
Regular Season,18.0,Sat,2024-08-31,19:30(16:30),Racing Louisville,2–3,Reign,,Lynn Family Stadium,Laura Rodriguez,Match Report,
Regular Season,18.0,Sun,2024-09-01,13:00,Angel City FC,2–1,Red Stars,,BMO Stadium,John Griggs,Match Report,
Regular Season,18.0,Sun,2024-09-01,14:00(11:00),NC Courage,2–1,Current,,Sahlen's Stadium at WakeMed Soccer Park,Elvis Osmanovic,Match Report,
Regular Season,18.0,Sun,2024-09-01,18:00(15:00),Orlando Pride,2–0,Gotham FC,,Inter&Co Stadium,Thomas Snyder,Match Report,
Regular Season,18.0,Sat,2024-08-31,20:30(18:30),Houston Dash,1–3,Royals,,Shell Energy Stadium,Gerald Flores,Match Report,
Regular Season,18.0,Sun,2024-09-01,17:00,SD Wave,1–1,Washington Spirit,,Snapdragon Stadium,Anya Voigt,Match Report,
Regular Season,19.0,Sat,2024-09-07,12:30(09:30),Washington Spirit,2–1,Portland Thorns,,Audi Field,Greg Dopka,Match Report,
Regular Season,19.0,Sat,2024-09-07,18:30(16:30),Current,1–0,Royals,,CPKC Stadium,Calin Radosav,Match Report,
Regular Season,19.0,Fri,2024-09-06,19:00,Angel City FC,2–3,Reign,,BMO Stadium,Trevor Wiseman,Match Report,
Regular Season,19.0,Sun,2024-09-08,13:00(10:00),Gotham FC,2–1,Houston Dash,,Red Bull Arena,Joshua Encarnacion,Match Report,
Regular Season,19.0,Sun,2024-09-08,17:00(15:00),Red Stars,0–1,Orlando Pride,,SeatGeek Stadium,Eric Tattersall,Match Report,
Regular Season,19.0,Sat,2024-09-07,19:00,Bay FC,1–0,Racing Louisville,,PayPal Park,Rebecca Pagan,Match Report,
Regular Season,19.0,Sun,2024-09-08,17:00,SD Wave,1–4,NC Courage,,Snapdragon Stadium,Brad Jensen,Match Report,
Regular Season,20.0,Fri,2024-09-13,19:00(16:00),NC Courage,1–1,Bay FC,,Sahlen's Stadium at WakeMed Soccer Park,John Griggs,Match Report,
Regular Season,20.0,Fri,2024-09-13,19:00,Portland Thorns,0–1,Red Stars,,Providence Park,Elton Garcia,Match Report,
Regular Season,20.0,Sat,2024-09-14,19:30(16:30),Racing Louisville,2–1,Angel City FC,,Lynn Family Stadium,Danielle Chesky,Match Report,
Regular Season,20.0,Fri,2024-09-13,20:00(17:00),Orlando Pride,0–0,Current,,Inter&Co Stadium,Alyssa Nichols,Match Report,
Regular Season,20.0,Sun,2024-09-15,13:00(10:00),Washington Spirit,3–0,Houston Dash,,Audi Field,Mathew Corrigan,Match Report,
Regular Season,20.0,Sat,2024-09-14,20:00(19:00),Royals,1–2,SD Wave,,America First Field,Laura Rodriguez,Match Report,
Regular Season,20.0,Mon,2024-09-16,19:00,Reign,0–2,Gotham FC,,Lumen Field,Shawn Tehini,Match Report,
Regular Season,21.0,Fri,2024-09-20,19:00(17:00),Current,3–0,Washington Spirit,,CPKC Stadium,Matthew Thompson,Match Report,
Regular Season,21.0,Sat,2024-09-21,19:30(16:30),Racing Louisville,2–1,NC Courage,,Lynn Family Stadium,Adorae Monroy,Match Report,
Regular Season,21.0,Fri,2024-09-20,19:30,Bay FC,0–1,Orlando Pride,,PayPal Park,Brad Jensen,Match Report,
Regular Season,21.0,Sun,2024-09-22,13:00(10:00),Gotham FC,1–0,Royals,,Red Bull Arena,Eric Tattersall,Match Report,
Regular Season,21.0,Sat,2024-09-21,19:30(17:30),Houston Dash,1–0,Reign,,Shell Energy Stadium,Jamie Padilla,Match Report,
Regular Season,21.0,Sat,2024-09-21,20:30(18:30),Red Stars,1–0,SD Wave,,SeatGeek Stadium,Danielle Chesky,Match Report,
Regular Season,21.0,Mon,2024-09-23,19:00,Angel City FC,2–2,Portland Thorns,,BMO Stadium,Joshua Encarnacion,Match Report,
Regular Season,22.0,Sat,2024-09-28,12:00(10:00),Current,1–1,Gotham FC,,CPKC Stadium,Katja Koroleva,Match Report,
Regular Season,22.0,Sat,2024-09-28,17:00(16:00),Royals,1–0,Racing Louisville,,America First Field,Alex Billeter,Match Report,
Regular Season,22.0,Fri,2024-09-27,19:00,Angel City FC,1–2,Washington Spirit,,BMO Stadium,Alyssa Nichols,Match Report,
Regular Season,22.0,Sat,2024-09-28,19:30(16:30),Orlando Pride,3–1,Houston Dash,,Inter&Co Stadium,Iryna Petrunok,Match Report,
Regular Season,22.0,Sun,2024-09-29,15:00,Reign,0–1,Bay FC,,Lumen Field,Elton Garcia,Match Report,
Regular Season,22.0,Sun,2024-09-29,17:00(15:00),Red Stars,1–3,NC Courage,,SeatGeek Stadium,Ricardo Fierro,Match Report,
Regular Season,22.0,Sat,2024-09-28,19:00,SD Wave,2–0,Portland Thorns,,Snapdragon Stadium,Elijio Arreguin,Match Report,
Regular Season,23.0,Sat,2024-10-05,19:00(16:00),NC Courage,2–1,SD Wave,,Sahlen's Stadium at WakeMed Soccer Park,Melinda Sopka,Match Report,
Regular Season,23.0,Fri,2024-10-04,19:00,Reign,0–1,Angel City FC,,Lumen Field,Matthew Thompson,Match Report,
Regular Season,23.0,Fri,2024-10-04,19:00(17:00),Houston Dash,0–2,Red Stars,,Shell Energy Stadium,Katja Koroleva,Match Report,
Regular Season,23.0,Sat,2024-10-05,19:30(16:30),Gotham FC,5–1,Bay FC,,Red Bull Arena,Sergii Demianchuk,Match Report,
Regular Season,23.0,Sat,2024-10-05,19:30(16:30),Racing Louisville,0–2,Current,,Lynn Family Stadium,Mathew Corrigan,Match Report,
Regular Season,23.0,Sun,2024-10-06,17:00(14:00),Orlando Pride,2–0,Washington Spirit,,Inter&Co Stadium,Danielle Chesky,Match Report,
Regular Season,23.0,Sat,2024-10-05,19:00,Portland Thorns,1–2,Royals,,Providence Park,Rebecca Pagan,Match Report,
Regular Season,24.0,Sat,2024-10-12,15:00(13:00),Red Stars,0–2,Gotham FC,,SeatGeek Stadium,Greg Dopka,Match Report,
Regular Season,24.0,Fri,2024-10-11,19:00,Portland Thorns,2–0,Orlando Pride,,Providence Park,John Griggs,Match Report,
Regular Season,24.0,Sat,2024-10-12,19:30(16:30),NC Courage,1–1,Angel City FC,,Sahlen's Stadium at WakeMed Soccer Park,Eric Tattersall,Match Report,
Regular Season,24.0,Sun,2024-10-13,15:00(14:00),Royals,3–0,Reign,,America First Field,Elvis Osmanovic,Match Report,
Regular Season,24.0,Sun,2024-10-13,17:00(14:00),Washington Spirit,4–1,Racing Louisville,,Audi Field,Abdou Ndiaye,Match Report,
Regular Season,24.0,Sat,2024-10-12,19:00,Bay FC,0–1,Current,,PayPal Park,Danielle Chesky,Match Report,
Regular Season,24.0,Sun,2024-10-13,17:00,SD Wave,0–2,Houston Dash,,Snapdragon Stadium,Jaclyn Metz,Match Report,
Regular Season,25.0,Sat,2024-10-19,12:00(10:00),Current,4–1,SD Wave,,CPKC Stadium,Iryna Petrunok,Match Report,
Regular Season,25.0,Fri,2024-10-18,19:00,Reign,2–1,Houston Dash,,Lumen Field,Brad Jensen,Match Report,
Regular Season,25.0,Sat,2024-10-19,19:30(16:30),Racing Louisville,1–0,Portland Thorns,,Lynn Family Stadium,Calin Radosav,Match Report,
Regular Season,25.0,Sun,2024-10-20,16:30,Angel City FC,1–1,Royals,,BMO Stadium,Sergii Demianchuk,Match Report,
Regular Season,25.0,Sun,2024-10-20,17:00(14:00),Washington Spirit,2–0,Red Stars,,Audi Field,Adam Kilpatrick,Match Report,
Regular Season,25.0,Sun,2024-10-20,17:00(14:00),Gotham FC,3–1,Orlando Pride,,Red Bull Arena,Ricardo Fierro,Match Report,
Regular Season,25.0,Sat,2024-10-19,19:00,Bay FC,1–0,NC Courage,,PayPal Park,Elijio Arreguin,Match Report,
Regular Season,26.0,Sat,2024-11-02,17:00(14:00),Orlando Pride,3–2,Reign,,Inter&Co Stadium,Melinda Sopka,Match Report,
Regular Season,26.0,Fri,2024-11-01,19:00,Portland Thorns,3–0,Angel City FC,,Providence Park,Brad Jensen,Match Report,
Regular Season,26.0,Fri,2024-11-01,19:30(18:30),Royals,1–4,Gotham FC,,America First Field,Adorae Monroy,Match Report,
Regular Season,26.0,Sat,2024-11-02,19:30(16:30),NC Courage,0–1,Washington Spirit,,Sahlen's Stadium at WakeMed Soccer Park,Elvis Osmanovic,Match Report,
Regular Season,26.0,Sun,2024-11-03,14:00(12:00),Red Stars,1–3,Current,,SeatGeek Stadium,Jaclyn Metz,Match Report,
Regular Season,26.0,Sun,2024-11-03,14:30,SD Wave,3–1,Racing Louisville,,Snapdragon Stadium,Greg Dopka,Match Report,
Regular Season,26.0,Sat,2024-11-02,20:30(18:30),Houston Dash,2–3,Bay FC,,Shell Energy Stadium,Matthew Thompson,Match Report,
Quarterfinals,,Sat,2024-11-09,11:00(09:00),Current,1–0,NC Courage,,CPKC Stadium,Brad Jensen,Match Report,
Quarterfinals,,Fri,2024-11-08,20:00(17:00),Orlando Pride,4–1,Red Stars,,Inter&Co Stadium,Alyssa Nichols,Match Report,
Quarterfinals,,Sun,2024-11-10,12:30(09:30),Washington Spirit,2–1,Bay FC,,Audi Field,Katja Koroleva,Match Report,Required Extra Time
Quarterfinals,,Sun,2024-11-10,15:00(12:00),Gotham FC,2–1,Portland Thorns,,Red Bull Arena,Danielle Chesky,Match Report,
Semifinals,,Sat,2024-11-16,12:00(09:00),Washington Spirit,(3)1–1(0),Gotham FC,,Audi Field,Matthew Thompson,Match Report,Washington Spirit won on penalty kicks following extra time
Semifinals,,Sun,2024-11-17,15:00(12:00),Orlando Pride,3–2,Current,,Inter&Co Stadium,Danielle Chesky,Match Report,
Final,,Sat,2024-11-23,19:00(17:00),Orlando Pride,1–0,Washington Spirit,,CPKC Stadium (Neutral Site),Alyssa Nichols,Match Report,
