ranker,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,matches
33,Jordyn Bloomer,usUSA,GK,Racing Louisville,28-175,1997,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,0.25,7.0,10.0,-3.0,-0.75,,Matches
34,Meg Boade,,MF,Denver Summit,,,0,,,,,0,,0,0,,3,,,,,,,Matches
35,Tess Boade,usUSA,"FW,MF",Bay FC,27-063,1999,1,12.0,12.0,3.3,0.1,0,,0,1,12.0,3,3.0,0.0,0.0,0.0,0.0,0.26,Matches
36,Lisa Boattin,itITA,DF,Houston Dash,28-339,1997,1,5.0,5.0,1.4,0.1,0,,0,1,5.0,1,3.0,1.0,0.0,1.0,18.0,17.24,Matches
37,Cassandra Bogere,noNOR,MF,Portland Thorns,20-286,2005,4,226.0,57.0,50.2,2.5,4,57.0,1,0,,0,2.5,5.0,2.0,3.0,1.19,1.19,Matches
38,Lourdes Bosch,mxMEX,MF,Denver Summit,24-233,2001,0,,,,,0,,0,0,,5,,,,,,,Matches
39,Marisa Bova,usUSA,GK,Current,25-244,2000,0,,,,,0,,0,0,,5,,,,,,,Matches
40,Kesley Branson,,MF,Current,,,1,57.0,57.0,12.7,0.6,1,57.0,0,0,,2,0.0,0.0,3.0,-3.0,-4.74,-4.51,Matches
41,Messiah Bright,usUSA,FW,Houston Dash,26-085,2000,3,108.0,36.0,30.0,1.2,1,74.0,0,2,17.0,0,2.0,3.0,2.0,1.0,0.83,-0.24,Matches
42,Cameron Brooks,usUSA,DF,NC Courage,25-355,2000,0,,,,,0,,0,0,,3,,,,,,,Matches
43,Courtney Brown,usUSA,MF,Royals,25-133,2000,4,96.0,24.0,21.3,1.1,0,,0,4,24.0,0,1.75,2.0,2.0,0.0,0.0,0.0,Matches
44,Ryanne Brown,usUSA,FW,Reign,27-076,1999,3,9.0,3.0,2.0,0.1,0,,0,3,3.0,2,3.0,0.0,1.0,-1.0,-10.0,-10.82,Matches
45,Jordyn Bugg,usUSA,DF,Reign,19-239,2006,0,,,,,0,,0,0,,1,,,,,,,Matches
46,Trinity Byars,usUSA,FW,SD Wave,23-068,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
47,Carolyn Calzada,usUSA,DF,Portland Thorns,23-032,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
48,Jane Campbell,usUSA,GK,Houston Dash,31-049,1995,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,2.25,9.0,5.0,4.0,1.0,,Matches
49,Ryan Campbell,usUSA,GK,Gotham FC,24-020,2002,0,,,,,0,,0,0,,1,,,,,,,Matches
50,Alba Caño,esESP,MF,Boston Legacy,22-189,2003,4,323.0,81.0,89.7,3.6,4,81.0,1,0,,0,0.0,0.0,7.0,-7.0,-1.95,-4.38,Matches
51,Sofia Cantore,itITA,FW,Washington Spirit,26-189,1999,5,293.0,59.0,65.1,3.3,4,67.0,0,1,27.0,0,1.2,2.0,2.0,0.0,0.0,-0.57,Matches
52,Jorelyn Carabalí,coCOL,DF,Boston Legacy,28-324,1997,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,0.0,1.0,7.0,-6.0,-1.5,,Matches
53,Gabrielle Carle,caCAN,DF,Washington Spirit,27-177,1998,2,173.0,87.0,38.4,1.9,2,87.0,1,0,,2,0.5,2.0,3.0,-1.0,-0.52,-1.17,Matches
54,Jess Carter,engENG,DF,Gotham FC,28-162,1997,5,423.0,85.0,94.0,4.7,5,85.0,4,0,,0,1.0,2.0,3.0,-1.0,-0.21,3.12,Matches
55,Kyra Carusa,ieIRL,FW,Current,30-144,1995,2,26.0,13.0,5.8,0.3,0,,0,2,13.0,3,0.0,0.0,0.0,0.0,0.0,0.85,Matches
56,Sam Cary,usUSA,DF,Chicago Stars,25-163,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
57,Seven Castain,usUSA,MF,Orlando Pride,21-346,2004,3,155.0,52.0,34.4,1.7,2,68.0,1,1,20.0,2,1.33,1.0,3.0,-2.0,-1.16,-2.69,Matches
58,Deyna Castellanos,veVEN,"FW,MF",Portland Thorns,26-354,1999,2,67.0,34.0,14.9,0.7,0,,0,2,34.0,2,0.5,0.0,1.0,-1.0,-1.34,-2.28,Matches
59,Sofía Cedeño,usUSA,MF,Reign,19-240,2006,1,13.0,13.0,2.9,0.1,0,,0,1,13.0,4,0.0,0.0,0.0,0.0,0.0,-0.62,Matches
60,Ivonne Chacón,coCOL,FW,Chicago Stars,28-177,1997,3,130.0,43.0,28.9,1.4,1,59.0,0,2,36.0,2,0.0,0.0,2.0,-2.0,-1.38,0.58,Matches
61,Allysha Chapman,caCAN,DF,Houston Dash,37-072,1989,2,14.0,7.0,3.9,0.2,0,,0,2,7.0,2,3.0,0.0,0.0,0.0,0.0,-1.04,Matches
62,Temwa Chaŵinga,mwMWI,MF,Current,27-199,1998,1,40.0,40.0,8.9,0.4,1,40.0,0,0,,0,3.0,1.0,1.0,0.0,0.0,0.88,Matches
63,Prisca Chilufya,zmZAM,FW,Angel City FC,26-303,1999,4,13.0,3.0,3.6,0.1,0,,0,4,3.0,0,2.25,1.0,1.0,0.0,0.0,-1.56,Matches
64,Danielle Colaprico,usUSA,MF,Houston Dash,32-336,1993,4,289.0,72.0,80.3,3.2,4,72.0,0,0,,0,2.25,8.0,4.0,4.0,1.25,1.25,Matches
65,Kaylie Collins,usUSA,GK,Washington Spirit,27-325,1998,0,,,,,0,,0,0,,5,,,,,,,Matches
66,Sydney Collins,caCAN,DF,Bay FC,26-211,1999,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.5,6.0,7.0,-1.0,-0.25,,Matches
67,Aldana Cometti,arARG,DF,Bay FC,30-035,1996,2,180.0,90.0,50.0,2.0,2,90.0,2,0,,0,1.5,3.0,3.0,0.0,0.0,0.5,Matches
68,Caroline Conti,usUSA,FW,Bay FC,25-010,2001,3,86.0,29.0,23.9,1.0,0,,0,3,29.0,1,1.0,0.0,1.0,-1.0,-1.05,-1.05,Matches
69,Sofia Cook,usUSA,FW,Gotham FC,21-243,2004,4,82.0,21.0,18.2,0.9,1,45.0,0,3,12.0,1,0.5,0.0,0.0,0.0,0.0,0.49,Matches
70,Michelle Cooper,usUSA,"MF,FW",Current,23-124,2002,5,254.0,51.0,56.4,2.8,4,57.0,0,1,27.0,0,1.2,2.0,5.0,-3.0,-1.06,-0.6,Matches
71,Gia Corley,deGER,MF,SD Wave,23-322,2002,3,237.0,79.0,52.7,2.6,3,79.0,1,0,,1,2.0,4.0,2.0,2.0,0.76,-0.51,Matches
72,Brooklyn Courtnall,caCAN,DF,Bay FC,23-100,2002,4,325.0,81.0,90.3,3.6,3,81.0,2,1,81.0,0,1.5,6.0,7.0,-1.0,-0.28,-0.28,Matches
73,McKinley Crone,,GK,Orlando Pride,,,0,,,,,0,,0,0,,2,,,,,,,Matches
74,Madison Curry,usUSA,DF,Reign,25-074,2001,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,2.0,7.0,4.0,3.0,0.6,,Matches
75,Maddie Dahlien,usUSA,MF,Reign,21-256,2004,3,190.0,63.0,42.2,2.1,2,84.0,1,1,23.0,0,2.0,1.0,3.0,-2.0,-0.95,-2.68,Matches
76,Kenza Dali,frFRA,MF,SD Wave,34-250,1991,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,2.4,8.0,3.0,5.0,1.0,,Matches
77,Tierna Davidson,usUSA,DF,Gotham FC,27-201,1998,4,117.0,29.0,26.0,1.3,0,,0,4,29.0,1,0.5,1.0,3.0,-2.0,-1.54,-1.54,Matches
78,Debinha,brBRA,MF,Current,34-169,1991,5,393.0,79.0,87.3,4.4,4,90.0,4,1,33.0,0,1.2,5.0,6.0,-1.0,-0.23,4.51,Matches
79,Kate Del Fava,usUSA,DF,Royals,27-258,1998,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,1.4,6.0,6.0,0.0,0.0,,Matches
80,Caroline DeLisle,usUSA,GK,Houston Dash,26-016,2000,0,,,,,0,,0,0,,4,,,,,,,Matches
81,Tessa Dellarose,usUSA,DF,Chicago Stars,22-005,2004,5,379.0,76.0,84.2,4.2,4,90.0,4,1,19.0,0,0.6,2.0,7.0,-5.0,-1.19,3.88,Matches
82,Cece Delzer,usUSA,MF,Royals,28-243,1997,5,416.0,83.0,92.4,4.6,5,83.0,3,0,,0,1.4,6.0,5.0,1.0,0.22,2.86,Matches
83,Anouk Denton,engENG,DF,Bay FC,22-333,2003,4,181.0,45.0,50.3,2.0,2,74.0,0,2,17.0,0,1.5,3.0,2.0,1.0,0.5,1.5,Matches
84,Lucia Di Guglielmo,itITA,DF,Washington Spirit,28-285,1997,5,386.0,77.0,85.8,4.3,5,77.0,3,0,,0,1.2,3.0,4.0,-1.0,-0.23,-3.05,Matches
85,Claudia Dickey,usUSA,GK,Reign,26-091,2000,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,2.0,7.0,4.0,3.0,0.6,,Matches
86,Keeley Dockter,usUSA,MF,Reign,23-159,2002,0,,,,,0,,0,0,,3,,,,,,,Matches
87,Makenzy Doniak,usUSA,FW,Houston Dash,32-041,1994,3,243.0,81.0,67.5,2.7,3,81.0,1,0,,0,2.0,5.0,2.0,3.0,1.11,0.34,Matches
88,Julie Doyle,usUSA,MF,Orlando Pride,27-220,1998,5,68.0,14.0,15.1,0.8,0,,0,5,14.0,0,1.6,1.0,1.0,0.0,0.0,-0.71,Matches
89,Dudinha,brBRA,"FW,MF",SD Wave,20-277,2005,5,404.0,81.0,89.8,4.5,5,81.0,1,0,,0,2.4,7.0,3.0,4.0,0.89,-1.07,Matches
90,Jordynn Dudley,usUSA,FW,Gotham FC,21-137,2004,5,214.0,43.0,47.6,2.4,1,60.0,0,4,39.0,0,1.0,1.0,2.0,-1.0,-0.42,-0.04,Matches
91,Evelina Duljan,seSWE,FW,Houston Dash,22-330,2003,0,,,,,0,,0,0,,3,,,,,,,Matches
92,Kayla Duran,,DF,Gotham FC,,,5,244.0,49.0,54.2,2.7,4,60.0,1,1,4.0,0,1.0,0.0,2.0,-2.0,-0.74,-0.74,Matches
93,Cori Dyke,usUSA,DF,Orlando Pride,25-199,2000,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,1.6,7.0,4.0,3.0,0.6,,Matches
94,Emma Egizii,usUSA,MF,Chicago Stars,23-032,2003,3,71.0,24.0,15.8,0.8,0,,0,3,24.0,2,0.0,0.0,1.0,-1.0,-1.27,0.63,Matches
95,Kalea Eichenberger,,MF,Royals,,,1,8.0,8.0,1.8,0.1,0,,0,1,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Matches
96,Emerson Elgin,usUSA,DF,Boston Legacy,23-017,2003,0,,,,,0,,0,0,,3,,,,,,,Matches
97,Elise Evans,usUSA,DF,Chicago Stars,21-112,2004,0,,,,,0,,0,0,,2,,,,,,,Matches
98,Kate Faasse,usUSA,FW,Houston Dash,21-307,2004,1,56.0,56.0,15.6,0.6,1,56.0,0,0,,0,3.0,1.0,0.0,1.0,1.61,0.72,Matches
99,Aaliyah Farmer,mxMEX,DF,Chicago Stars,22-162,2003,4,89.0,22.0,19.8,1.0,0,,0,4,22.0,1,0.75,0.0,0.0,0.0,0.0,2.24,Matches
100,Laurina Fazer,frFRA,MF,SD Wave,22-176,2003,4,288.0,72.0,64.0,3.2,4,72.0,2,0,,1,2.25,4.0,2.0,2.0,0.62,-1.04,Matches
101,Bayley Feist,usUSA,MF,Current,29-024,1997,2,92.0,46.0,20.4,1.0,1,90.0,1,1,2.0,0,3.0,2.0,1.0,1.0,0.98,2.24,Matches
102,Kayla Fischer,usUSA,MF,Racing Louisville,26-092,2000,4,351.0,88.0,97.5,3.9,4,88.0,1,0,,0,0.25,6.0,10.0,-4.0,-1.03,-11.03,Matches
103,Mia Fishel,usUSA,FW,Reign,24-342,2001,1,77.0,77.0,17.1,0.9,1,77.0,0,0,,0,3.0,1.0,1.0,0.0,0.0,-0.72,Matches
104,Jess Fishlock,wlsWAL,MF,Reign,39-083,1987,4,274.0,69.0,60.9,3.0,4,69.0,0,0,,1,1.75,4.0,3.0,1.0,0.33,-0.69,Matches
105,Jessie Fleming,caCAN,MF,Portland Thorns,28-027,1998,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,2.0,8.0,5.0,3.0,0.6,,Matches
106,Natasha Flint,engENG,MF,Denver Summit,29-248,1996,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,1.2,4.0,3.0,1.0,0.2,,Matches
107,Taylor Flint,usUSA,"MF,DF",Racing Louisville,27-136,1998,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,0.25,7.0,10.0,-3.0,-0.75,,Matches
108,Erynn Floyd,,GK,Racing Louisville,,,0,,,,,0,,0,0,,2,,,,,,,Matches
109,Bea Franklin,usUSA,DF,Chicago Stars,25-185,2000,5,341.0,68.0,75.8,3.8,4,79.0,3,1,26.0,0,0.6,2.0,11.0,-9.0,-2.38,-2.38,Matches
110,Leah Freeman,usUSA,GK,SD Wave,24-060,2002,4,360.0,90.0,80.0,4.0,4,90.0,4,0,,1,3.0,8.0,2.0,6.0,1.5,2.5,Matches
111,Kennedy Fuller,usUSA,MF,Angel City FC,19-029,2007,4,347.0,87.0,96.4,3.9,4,87.0,1,0,,0,2.25,9.0,3.0,6.0,1.56,1.56,Matches
112,Jordan Fusco,usUSA,MF,SD Wave,22-208,2003,3,29.0,10.0,6.4,0.3,0,,0,3,10.0,2,3.0,0.0,0.0,0.0,0.0,-1.07,Matches
113,Mirann Gacioch,usUSA,DF,Racing Louisville,22-159,2003,1,90.0,90.0,25.0,1.0,1,90.0,1,0,,1,1.0,2.0,2.0,0.0,0.0,1.0,Matches
114,Eva Gaetino,usUSA,DF,Denver Summit,23-111,2002,3,203.0,68.0,45.1,2.3,2,90.0,2,1,23.0,0,1.33,3.0,3.0,0.0,0.0,-0.36,Matches
115,Emma Gaines-Ramos,usUSA,FW,Washington Spirit,24-020,2002,0,,,,,0,,0,0,,2,,,,,,,Matches
116,Aleigh Gambone,usUSA,"MF,FW",Boston Legacy,25-180,2000,4,164.0,41.0,45.6,1.8,2,62.0,0,2,20.0,0,0.0,1.0,2.0,-1.0,-0.55,1.75,Matches
117,Onyeka Gamero,usUSA,FW,Bay FC,20-043,2006,1,35.0,35.0,9.7,0.4,0,,0,1,35.0,3,3.0,0.0,1.0,-1.0,-2.57,-2.57,Matches
118,Nahikari García,esESP,FW,Denver Summit,29-028,1997,1,7.0,7.0,1.6,0.1,0,,0,1,7.0,3,1.0,0.0,0.0,0.0,0.0,-0.2,Matches
119,Ryan Gareis,usUSA,"MF,DF",Chicago Stars,27-145,1998,5,417.0,83.0,92.7,4.6,5,83.0,3,0,,0,0.6,2.0,11.0,-9.0,-1.94,-1.94,Matches
120,Ivy Garner,usUSA,FW,NC Courage,22-335,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
121,Cristiana Girelli,itITA,FW,Bay FC,35-349,1990,3,250.0,83.0,69.4,2.8,3,83.0,2,0,,0,1.0,4.0,5.0,-1.0,-0.36,-0.36,Matches
122,Lia Godfrey,usUSA,"MF,FW",SD Wave,24-150,2001,5,262.0,52.0,58.2,2.9,3,68.0,0,2,30.0,0,2.4,5.0,2.0,3.0,1.03,0.07,Matches
123,Nádia Gomes,ptPOR,FW,Chicago Stars,29-149,1996,2,116.0,58.0,25.8,1.3,1,85.0,0,1,31.0,3,0.0,0.0,2.0,-2.0,-1.55,0.33,Matches
124,Esther González,esESP,FW,Gotham FC,33-120,1992,5,345.0,69.0,76.7,3.8,3,85.0,2,2,45.0,0,1.0,2.0,4.0,-2.0,-0.52,-0.52,Matches
125,Sarah Gorden,usUSA,DF,Angel City FC,33-206,1992,3,189.0,63.0,52.5,2.1,2,90.0,2,1,9.0,1,2.0,5.0,2.0,3.0,1.43,-0.15,Matches
126,Maggie Graham,usUSA,MF,Houston Dash,23-271,2002,4,355.0,89.0,98.6,3.9,4,89.0,3,0,,0,2.25,9.0,5.0,4.0,1.01,1.01,Matches
127,Julia Grosso,caCAN,MF,Chicago Stars,25-221,2000,5,417.0,83.0,92.7,4.6,5,83.0,3,0,,0,0.6,2.0,10.0,-8.0,-1.73,1.0,Matches
128,Amanda Gutierres,brBRA,"MF,FW",Boston Legacy,22-216,2003,4,221.0,55.0,61.4,2.5,2,82.0,0,2,29.0,0,0.0,1.0,4.0,-3.0,-1.22,0.72,Matches
129,Madison Hammond,usUSA,MF,Royals,28-143,1997,2,108.0,54.0,24.0,1.2,1,90.0,1,1,18.0,0,1.5,1.0,2.0,-1.0,-0.83,-1.1,Matches
130,DiDi Haracic,baBIH,GK,SD Wave,33-360,1992,1,90.0,90.0,20.0,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,-2.5,Matches
131,Cate Hardin,,DF,Houston Dash,,,1,5.0,5.0,1.4,0.1,0,,0,1,5.0,3,3.0,0.0,0.0,0.0,0.0,-1.01,Matches
132,Khyah Harper,usUSA,FW,Gotham FC,23-235,2002,1,15.0,15.0,3.3,0.2,0,,0,1,15.0,4,1.0,0.0,0.0,0.0,0.0,0.41,Matches
133,Nya Harrison,usUSA,DF,SD Wave,23-149,2002,2,6.0,3.0,1.3,0.1,0,,0,2,3.0,3,3.0,0.0,0.0,0.0,0.0,-1.01,Matches
134,Shae Harvey,usUSA,MF,Portland Thorns,21-037,2005,2,75.0,38.0,16.7,0.8,1,45.0,0,1,30.0,3,1.5,1.0,2.0,-1.0,-1.2,-2.16,Matches
135,Josefine Hasbo,dkDEN,MF,Boston Legacy,24-138,2001,4,103.0,26.0,28.6,1.1,1,66.0,0,3,12.0,0,0.0,1.0,3.0,-2.0,-1.75,-0.35,Matches
136,Ella Hase,usUSA,"MF,FW",Racing Louisville,23-269,2002,4,285.0,71.0,79.2,3.2,4,71.0,0,0,,0,0.25,5.0,7.0,-2.0,-0.63,0.57,Matches
137,Madison Haugen,usUSA,DF,Washington Spirit,24-128,2001,0,,,,,0,,0,0,,4,,,,,,,Matches
138,Manaka Hayashi,jpJPN,MF,Chicago Stars,21-234,2004,5,383.0,77.0,85.1,4.3,5,77.0,2,0,,0,0.6,2.0,11.0,-9.0,-2.11,-2.11,Matches
139,Kathrin Hendrich,deGER,DF,Chicago Stars,34-001,1992,2,114.0,57.0,25.3,1.3,1,83.0,0,1,31.0,0,0.0,0.0,2.0,-2.0,-1.58,0.3,Matches
140,Nicolette Hernández,mxMEX,DF,Boston Legacy,27-049,1999,1,90.0,90.0,25.0,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,0.67,Matches
141,Oihane Hernández,esESP,DF,Orlando Pride,25-338,2000,5,421.0,84.0,93.6,4.7,5,84.0,3,0,,0,1.6,5.0,2.0,3.0,0.64,0.64,Matches
142,Hal Hershfelt,usUSA,MF,Washington Spirit,24-186,2001,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,1.2,5.0,4.0,1.0,0.2,,Matches
143,Samantha Hiatt,usUSA,DF,Portland Thorns,28-091,1998,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,2.0,8.0,5.0,3.0,0.6,,Matches
144,Rachel Hill,usUSA,"FW,MF",Racing Louisville,30-355,1995,2,34.0,17.0,9.4,0.4,0,,0,2,17.0,1,0.0,2.0,1.0,1.0,2.65,3.75,Matches
145,Ruby Hladek,,MF,Reign,,,0,,,,,0,,0,0,,4,,,,,,,Matches
146,Penelope Hocking,usUSA,MF,Current,26-099,1999,4,124.0,31.0,27.6,1.4,1,57.0,0,3,22.0,0,0.75,1.0,3.0,-2.0,-1.45,-0.9,Matches
147,Macey Hodge,usUSA,MF,Racing Louisville,24-338,2001,4,213.0,53.0,59.2,2.4,2,83.0,0,2,24.0,0,0.25,3.0,7.0,-4.0,-1.69,-2.3,Matches
148,Shelby Hogan,usUSA,GK,Gotham FC,27-332,1998,0,,,,,0,,0,0,,5,,,,,,,Matches
149,Shae Holmes,usUSA,DF,Reign,26-030,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
150,Haley Hopkins,usUSA,MF,Current,27-107,1998,5,251.0,50.0,55.8,2.8,1,90.0,1,4,40.0,0,1.2,4.0,4.0,0.0,0.0,1.81,Matches
151,Jaelin Howell,usUSA,MF,Gotham FC,26-137,1999,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,1.0,2.0,4.0,-2.0,-0.4,,Matches
152,Kelli Hubly,usUSA,DF,Bay FC,31-241,1994,1,13.0,13.0,3.6,0.1,0,,0,1,13.0,3,0.0,0.0,0.0,0.0,0.0,0.26,Matches
153,Sofia Huerta,usUSA,DF,Reign,33-114,1992,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,2.0,7.0,4.0,3.0,0.6,,Matches
154,Taylor Huff,usUSA,MF,Bay FC,23-234,2002,3,269.0,90.0,74.7,3.0,3,90.0,2,0,,0,1.0,3.0,6.0,-3.0,-1.0,-2.98,Matches
155,Jordyn Huitema,caCAN,FW,Chicago Stars,24-334,2001,2,150.0,75.0,33.3,1.7,2,75.0,1,0,,0,1.5,2.0,5.0,-3.0,-1.8,0.0,Matches
156,Claire Hutton,usUSA,MF,Bay FC,20-086,2006,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.5,6.0,7.0,-1.0,-0.25,,Matches
157,Evelyn Ijeh,seSWE,FW,NC Courage,24-238,2001,3,98.0,33.0,27.2,1.1,1,55.0,0,2,22.0,0,0.67,0.0,3.0,-3.0,-2.76,-3.44,Matches
158,Jennie Immethun,,DF,Portland Thorns,,,0,,,,,0,,0,0,,3,,,,,,,Matches
