ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
45,Courtney Brown,usUSA,"MF,FW",Washington Spirit,24,2000,15,5,439.0,4.9,1,0,1,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,Matches
46,Bruninha,brBRA,"DF,MF",Gotham FC,22,2002,23,15,,15.1,0,1,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,Matches
47,Jordyn Bugg,usUSA,DF,Reign,18,2006,25,24,,23.9,3,0,3,3,0,0,4,0,0.13,0.0,0.13,0.13,0.13,Matches
48,Jane Campbell,usUSA,GK,Houston Dash,29,1995,18,18,,17.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
49,Ryan Campbell,usUSA,GK,Gotham FC,22,2002,1,0,3.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
50,Sofia Cantore,itITA,"FW,MF",Washington Spirit,25,1999,12,8,738.0,8.2,4,1,5,4,0,0,1,0,0.49,0.12,0.61,0.49,0.61,Matches
51,Gabrielle Carle,caCAN,"DF,MF",Washington Spirit,26,1998,25,23,,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
52,Jess Carter,engENG,DF,Gotham FC,27,1997,23,23,,21.1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,Matches
53,Kyra Carusa,ieIRL,FW,SD Wave,29,1995,14,3,382.0,4.2,0,1,1,0,0,0,0,0,0.0,0.24,0.24,0.0,0.24,Matches
54,Sam Cary,usUSA,DF,Chicago Stars,24,2000,4,3,200.0,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
55,Delphine Cascarino,frFRA,"MF,FW",SD Wave,27,1997,24,23,,22.0,5,6,11,5,0,0,2,0,0.23,0.27,0.5,0.23,0.5,Matches
56,Deyna Castellanos,veVEN,"FW,MF",Portland Thorns,25,1999,21,13,,13.1,2,0,2,2,0,0,2,0,0.15,0.0,0.15,0.15,0.15,Matches
57,Ivonne Chacón,coCOL,FW,Chicago Stars,27,1997,5,1,182.0,2.0,1,1,2,1,0,0,0,0,0.49,0.49,0.99,0.49,0.99,Matches
58,Grace Chanda,zmZAM,FW,Orlando Pride,27,1997,4,0,40.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
59,Allysha Chapman,caCAN,DF,Houston Dash,36,1989,11,8,657.0,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
60,Simone Charley,usUSA,FW,Orlando Pride,29,1995,9,1,226.0,2.5,1,0,1,1,0,0,1,0,0.4,0.0,0.4,0.4,0.4,Matches
61,Zara Chavosi,caCAN,DF,Orlando Pride,22,2002,10,5,506.0,5.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
62,Temwa Chaŵinga,mwMWI,"FW,MF",Current,26,1998,23,21,,20.1,15,3,18,15,0,0,0,0,0.75,0.15,0.9,0.75,0.9,Matches
63,Prisca Chilufya,zmZAM,"FW,MF",Orlando Pride,25,1999,16,4,512.0,5.7,2,0,2,2,0,0,2,0,0.35,0.0,0.35,0.35,0.35,Matches
64,Prisca Chilufya,zmZAM,FW,Angel City FC,25,1999,3,0,36.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
65,Mikayla Cluff,usUSA,MF,Royals,25,1999,7,1,155.0,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
66,Sam Coffey,usUSA,MF,Portland Thorns,26,1998,25,25,,24.7,2,4,6,0,2,3,3,0,0.08,0.16,0.24,0.0,0.16,Matches
67,Danielle Colaprico,usUSA,MF,Houston Dash,31,1993,26,26,,24.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
68,Sydney Collins,caCAN,DF,Bay FC,25,1999,9,8,765.0,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
69,Caroline Conti,usUSA,"MF,FW",Bay FC,23,2001,21,14,,14.2,3,3,6,0,3,3,4,0,0.21,0.21,0.42,0.0,0.21,Matches
70,Alana Cook,usUSA,DF,Current,27,1997,7,7,586.0,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
71,Ava Cook,usUSA,FW,Chicago Stars,24,2000,10,0,90.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
72,Sofia Cook,usUSA,MF,Gotham FC,20,2004,10,0,178.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
73,Michelle Cooper,usUSA,"MF,FW",Current,22,2002,20,17,,13.6,6,3,9,6,0,0,3,0,0.44,0.22,0.66,0.44,0.66,Matches
74,Gia Corley,deGER,MF,SD Wave,22,2002,24,21,,17.6,2,3,5,2,0,0,5,0,0.11,0.17,0.28,0.11,0.28,Matches
75,Brooklyn Courtnall,caCAN,DF,Bay FC,22,2002,7,6,541.0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
76,Brooklyn Courtnall,caCAN,DF,NC Courage,22,2002,2,0,29.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
77,Ana-Maria Crnogorčević,chSUI,"FW,MF",Reign,34,1990,12,5,391.0,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
78,McKinley Crone,,GK,Orlando Pride,,,2,1,130.0,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
79,Chardonnay Curran,usUSA,FW,Chicago Stars,25,1999,6,0,79.0,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
80,Madison Curry,usUSA,"MF,DF",Reign,24,2001,26,24,,23.2,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04,Matches
81,Maddie Dahlien,usUSA,"MF,FW",Reign,20,2004,26,21,,20.3,4,4,8,4,0,0,3,0,0.2,0.2,0.39,0.2,0.39,Matches
82,Abby Dahlkemper,usUSA,DF,Bay FC,31,1993,13,13,,13.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
83,Daiane,brBRA,DF,Portland Thorns,27,1997,7,1,67.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
84,Kenza Dali,frFRA,MF,SD Wave,33,1991,26,26,,25.9,5,3,8,5,0,0,2,0,0.19,0.12,0.31,0.19,0.31,Matches
85,Tierna Davidson,usUSA,DF,Gotham FC,26,1998,3,3,223.0,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
86,Debinha,brBRA,"MF,FW",Current,33,1991,22,17,,16.2,8,1,9,7,1,1,0,0,0.49,0.06,0.55,0.43,0.49,Matches
87,Kate Del Fava,usUSA,DF,Royals,26,1998,26,26,,26.0,0,1,1,0,0,0,5,0,0.0,0.04,0.04,0.0,0.04,Matches
88,Cece Delzer,usUSA,"FW,MF",Gotham FC,27,1997,3,0,38.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
89,Cece Delzer,usUSA,"FW,MF",Royals,27,1997,10,5,414.0,4.6,1,0,1,1,0,0,0,0,0.22,0.0,0.22,0.22,0.22,Matches
90,Savannah Demelo,usUSA,MF,Racing Louisville,26,1998,18,17,,15.7,3,2,5,2,1,1,4,0,0.19,0.13,0.32,0.13,0.25,Matches
91,Margie Detrizio,,DF,Washington Spirit,,,2,0,9.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
92,Vanessa DiBernardo,usUSA,"MF,FW",Current,32,1992,13,11,886.0,9.8,0,1,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,Matches
93,Claudia Dickey,usUSA,GK,Reign,25,2000,26,26,,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
94,Marisa DiGrande,usUSA,MF,Racing Louisville,27,1997,23,5,696.0,7.7,1,0,1,1,0,0,2,0,0.13,0.0,0.13,0.13,0.13,Matches
95,Makenzy Doniak,usUSA,"MF,FW",SD Wave,30,1994,21,4,508.0,5.6,1,0,1,1,0,0,1,0,0.18,0.0,0.18,0.18,0.18,Matches
96,Sara Doorsoun,deGER,DF,Angel City FC,33,1991,8,7,632.0,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
97,Imani Dorsey,usUSA,DF,Royals,28,1996,17,5,651.0,7.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
98,Julie Doyle,usUSA,"FW,MF",Orlando Pride,26,1998,11,5,410.0,4.6,1,1,2,1,0,1,0,0,0.22,0.22,0.44,0.22,0.44,Matches
99,Dudinha,brBRA,"MF,FW",SD Wave,19,2005,10,7,639.0,7.1,5,0,5,5,0,0,0,0,0.7,0.0,0.7,0.7,0.7,Matches
100,Julie Dufour,frFRA,"MF,FW",Angel City FC,23,2001,10,4,370.0,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
101,Julie Dufour,frFRA,FW,Portland Thorns,23,2001,5,3,158.0,1.8,2,0,2,2,0,0,1,0,1.14,0.0,1.14,1.14,1.14,Matches
102,Kiley Dulaney,,DF,Washington Spirit,,,1,0,10.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
103,Evelina Duljan,seSWE,MF,Houston Dash,21,2003,14,5,455.0,5.1,1,0,1,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,Matches
104,Kayla Duran,,DF,Gotham FC,,,7,1,97.0,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
105,Caprice Dydasco,usUSA,DF,Bay FC,31,1993,26,26,,26.0,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04,Matches
106,Cori Dyke,usUSA,DF,Orlando Pride,24,2000,22,10,,13.0,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,Matches
107,Favour Emmanuel,ngNGA,MF,SD Wave,22,2002,2,1,69.0,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
108,Claire Emslie,sctSCO,"MF,FW",Angel City FC,30,1994,8,7,519.0,5.8,0,1,1,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17,Matches
109,Jun Endō,jpJPN,"MF,FW",Angel City FC,24,2000,10,6,444.0,4.9,0,1,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2,Matches
110,Laurina Fazer,frFRA,MF,SD Wave,21,2003,9,6,504.0,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
111,Bayley Feist,usUSA,MF,Current,27,1997,9,1,172.0,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
112,Kayla Fischer,usUSA,FW,Racing Louisville,25,2000,21,16,,13.6,3,3,6,3,0,0,6,1,0.22,0.22,0.44,0.22,0.44,Matches
113,Mia Fishel,usUSA,"FW,MF",Reign,23,2001,11,4,340.0,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
114,Jess Fishlock,wlsWAL,"MF,FW",Reign,38,1987,17,8,804.0,8.9,6,2,8,6,0,0,0,0,0.67,0.22,0.9,0.67,0.9,Matches
115,Jessie Fleming,caCAN,MF,Portland Thorns,26,1998,25,19,,18.9,2,5,7,1,1,1,1,0,0.11,0.26,0.37,0.05,0.32,Matches
116,Taylor Flint,usUSA,MF,Racing Louisville,26,1998,23,23,,22.9,4,1,5,2,2,2,10,0,0.17,0.04,0.22,0.09,0.13,Matches
117,Lauren Flynn,usUSA,DF,Royals,22,2002,9,6,654.0,7.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
118,Dana Foederer,nlNED,MF,Royals,22,2002,24,10,,11.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches
119,Bea Franklin,usUSA,"MF,DF",Chicago Stars,24,2000,23,18,,19.4,3,1,4,3,0,0,4,0,0.15,0.05,0.21,0.15,0.21,Matches
120,Macey Fraser,nzNZL,"MF,FW",Royals,22,2002,5,2,190.0,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
121,Mandy Freeman,usUSA,DF,Gotham FC,29,1995,22,13,,14.1,0,1,1,0,0,0,0,1,0.0,0.07,0.07,0.0,0.07,Matches
122,Kennedy Fuller,usUSA,MF,Angel City FC,17,2007,26,21,,20.6,4,3,7,4,0,0,1,0,0.19,0.15,0.34,0.19,0.34,Matches
123,Jordan Fusco,usUSA,MF,SD Wave,21,2003,7,0,106.0,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
124,Ryan Gareis,usUSA,MF,Houston Dash,26,1998,19,11,986.0,11.0,1,3,4,1,0,0,1,0,0.09,0.27,0.37,0.09,0.37,Matches
125,Morgan Gautrat,usUSA,MF,Orlando Pride,31,1993,11,10,667.0,7.4,0,1,1,0,0,0,0,0,0.0,0.13,0.13,0.0,0.13,Matches
126,Justina Gaynor,usUSA,DF,Chicago Stars,23,2001,2,1,72.0,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
127,Geyse,brBRA,"MF,FW",Gotham FC,26,1998,17,12,899.0,10.0,2,2,4,2,0,0,3,1,0.2,0.2,0.4,0.2,0.4,Matches
128,Hanna Glas,seSWE,DF,Reign,31,1993,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
129,Nádia Gomes,ptPOR,"FW,MF",Chicago Stars,28,1996,19,7,653.0,7.3,2,2,4,2,0,0,1,0,0.28,0.28,0.55,0.28,0.55,Matches
130,Esther González,esESP,"FW,MF",Gotham FC,32,1992,23,22,,21.2,13,1,14,11,2,2,2,0,0.61,0.05,0.66,0.52,0.57,Matches
131,Sarah Gorden,usUSA,DF,Angel City FC,32,1992,26,26,,25.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
132,Maggie Graham,usUSA,"MF,FW",Houston Dash,22,2002,20,16,,16.9,3,3,6,3,0,0,3,0,0.18,0.18,0.36,0.18,0.36,Matches
133,Shea Groom,usUSA,"MF,FW",Chicago Stars,31,1993,14,9,789.0,8.8,2,0,2,2,0,0,1,0,0.23,0.0,0.23,0.23,0.23,Matches
134,Julia Grosso,caCAN,"MF,FW",Chicago Stars,24,2000,24,23,,22.1,2,3,5,2,0,0,1,0,0.09,0.14,0.23,0.09,0.23,Matches
135,Ana María Guzmán,coCOL,DF,Royals,19,2005,5,0,78.0,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
136,Madison Hammond,usUSA,MF,Angel City FC,27,1997,21,9,927.0,10.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
137,Caiya Hanks,usUSA,"MF,FW",Portland Thorns,20,2004,11,7,636.0,7.1,2,1,3,2,0,0,1,0,0.28,0.14,0.42,0.28,0.42,Matches
138,DiDi Haracic,baBIH,GK,SD Wave,32,1992,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
139,Laila Harbert,engENG,MF,Portland Thorns,18,2007,4,0,62.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
140,Khyah Harper,usUSA,FW,Gotham FC,22,2002,12,2,212.0,2.4,1,0,1,1,0,0,1,0,0.42,0.0,0.42,0.42,0.42,Matches
141,Nya Harrison,usUSA,DF,SD Wave,22,2002,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
142,Josefine Hasbo,dkDEN,MF,Gotham FC,23,2001,9,7,595.0,6.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
143,Ella Hase,usUSA,"FW,MF",Racing Louisville,22,2002,23,17,,16.6,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches
144,Ashley Hatch,usUSA,"FW,MF",Washington Spirit,29,1995,10,9,823.0,9.1,6,1,7,6,0,1,1,0,0.66,0.11,0.77,0.66,0.77,Matches
145,Manaka Hayashi,jpJPN,MF,Chicago Stars,20,2004,17,7,655.0,7.3,0,1,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14,Matches
146,Anna Heilferty,usUSA,DF,Houston Dash,25,1999,5,0,66.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
147,Kathrin Hendrich,deGER,DF,Chicago Stars,32,1992,13,12,,12.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
148,Oihane Hernández,esESP,"DF,MF",Orlando Pride,24,2000,20,15,,12.3,0,2,2,0,0,0,0,0,0.0,0.16,0.16,0.0,0.16,Matches
149,Hal Hershfelt,usUSA,MF,Washington Spirit,23,2001,18,15,,14.2,0,2,2,0,0,0,6,1,0.0,0.14,0.14,0.0,0.14,Matches
150,Samantha Hiatt,usUSA,DF,Portland Thorns,27,1998,21,20,,20.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
151,Rachel Hill,usUSA,MF,Bay FC,29,1995,23,14,,13.7,2,0,2,2,0,0,3,0,0.15,0.0,0.15,0.15,0.15,Matches
152,Sophie Hirst,usUSA,MF,Portland Thorns,24,2000,3,0,39.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
153,Penelope Hocking,usUSA,"MF,FW",Bay FC,25,1999,18,10,864.0,9.6,6,1,7,6,0,0,1,0,0.62,0.1,0.73,0.62,0.73,Matches
154,Macey Hodge,usUSA,MF,Angel City FC,23,2001,16,9,755.0,8.4,1,0,1,1,0,0,6,0,0.12,0.0,0.12,0.12,0.12,Matches
155,Shelby Hogan,usUSA,GK,Gotham FC,26,1998,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
156,Shae Holmes,usUSA,"DF,MF",Reign,24,2000,16,8,835.0,9.3,1,0,1,1,0,0,1,0,0.11,0.0,0.11,0.11,0.11,Matches
157,Haley Hopkins,usUSA,"MF,FW",Current,26,1998,20,3,440.0,4.9,1,3,4,1,0,0,1,0,0.2,0.61,0.82,0.2,0.82,Matches
158,Jaelin Howell,usUSA,MF,Gotham FC,25,1999,25,25,,24.9,4,1,5,4,0,0,7,1,0.16,0.04,0.2,0.16,0.2,Matches
159,Kelli Hubly,usUSA,DF,Bay FC,30,1994,9,7,653.0,7.3,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,Matches
160,Sofia Huerta,usUSA,"DF,MF",Reign,32,1992,13,13,,13.0,1,1,2,0,1,1,1,0,0.08,0.08,0.15,0.0,0.08,Matches
161,Taylor Huff,usUSA,MF,Bay FC,22,2002,26,26,,24.7,4,1,5,4,0,0,3,0,0.16,0.04,0.2,0.16,0.2,Matches
162,Jordyn Huitema,caCAN,FW,Reign,23,2001,22,18,,17.1,3,2,5,3,0,0,2,0,0.18,0.12,0.29,0.18,0.29,Matches
163,Claire Hutton,usUSA,MF,Current,19,2006,25,22,,20.2,0,2,2,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1,Matches
164,Laurel Ivory,usUSA,GK,Current,25,1999,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
165,Riley Jackson,usUSA,MF,NC Courage,19,2005,25,23,,21.8,2,1,3,1,1,2,3,0,0.09,0.05,0.14,0.05,0.09,Matches
166,Simone Jackson,usUSA,MF,Orlando Pride,22,2003,8,1,213.0,2.4,0,1,1,0,0,0,0,0,0.0,0.42,0.42,0.0,0.42,Matches
167,Natalie Jacobs,usUSA,"DF,MF",NC Courage,27,1997,6,4,361.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
