ranker,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
330,Samantha Staab,usUSA,DF,Red Stars,26,1997,16.0,3,0,0,13,5,1,46,20,10,,,0,Matches
331,Heather Stainbrook,usUSA,MF,Washington Spirit,22,2001,4.9,2,0,0,10,1,0,16,10,6,,,0,Matches
332,Nikki Stanton,usUSA,MF,Reign,33,1990,1.3,0,0,0,2,2,0,0,3,1,,,0,Matches
333,Regan Steigleder,noNOR,DF,Current,25,1998,0.8,0,0,0,0,0,0,2,1,1,,,0,Matches
334,Katie Stengel,usUSA,"MF,FW",Gotham FC,31,1992,9.2,2,0,0,7,5,6,12,8,14,,,0,Matches
335,Ella Stevens,usUSA,"FW,MF",Gotham FC,26,1997,12.9,1,0,0,28,23,4,7,2,19,,,0,Matches
336,Kylie Strom,usUSA,DF,Orlando Pride,31,1992,24.0,4,1,1,16,22,1,2,41,22,,,0,Matches
337,Hina Sugita,jpJPN,MF,Portland Thorns,27,1997,18.5,2,0,0,22,40,2,9,39,29,,,0,Matches
338,Andi Sullivan,usUSA,MF,Washington Spirit,28,1995,19.0,2,0,0,24,13,0,56,28,33,,,0,Matches
339,Mallory Swanson,usUSA,"MF,FW",Red Stars,25,1998,22.5,0,0,0,28,35,19,86,6,27,,,0,Matches
340,Frankie Tagliaferri,usUSA,MF,Royals,25,1999,2.9,0,0,0,2,1,0,2,2,2,,,0,Matches
341,Mina Tanaka,jpJPN,"MF,FW",Royals,29,1994,5.6,2,0,0,12,12,2,1,1,8,,,0,Matches
342,Tarciane,brBRA,DF,Houston Dash,20,2003,10.1,1,0,0,6,26,1,1,13,16,,,0,Matches
343,Ana Tejada,esESP,"MF,DF",Royals,21,2002,14.6,5,0,0,25,12,0,3,16,8,,,0,Matches
344,Alyssa Thompson,usUSA,"MF,FW",Angel City FC,19,2004,23.8,2,0,0,20,31,8,33,10,37,,,0,Matches
345,Gisele Thompson,usUSA,"DF,MF",Angel City FC,18,2005,9.8,1,0,0,9,10,0,12,14,24,,,0,Matches
346,Kaitlyn Torpey,auAUS,DF,SD Wave,23,2000,5.8,2,0,0,5,6,1,11,9,13,,,0,Matches
347,Taryn Torres,usUSA,DF,Gotham FC,24,1999,1.8,1,0,0,3,3,0,3,3,5,,,0,Matches
348,Cameron Tucker,usUSA,"FW,MF",Royals,24,1999,6.3,2,0,0,11,6,6,7,4,6,,,0,Matches
349,Reilyn Turner,usUSA,FW,Racing Louisville,21,2002,8.1,1,0,0,4,8,4,2,2,1,,,0,Matches
350,Reilyn Turner,usUSA,MF,Portland Thorns,21,2002,2.1,0,0,0,2,1,0,3,0,0,,,0,Matches
351,Olivia Van der Jagt,usUSA,MF,Reign,24,1999,8.5,1,0,0,11,7,0,1,11,10,,,0,Matches
352,Kiki Van Zanten,jmJAM,MF,Houston Dash,22,2001,1.3,1,0,0,1,2,0,2,0,2,,,0,Matches
353,Michele Vasconcelos,usUSA,"MF,FW",Royals,29,1994,2.9,0,0,0,3,6,0,1,4,7,,,0,Matches
354,Mary Vignola,usUSA,"DF,FW",Angel City FC,25,1998,9.2,0,0,0,12,4,1,24,20,19,,,0,Matches
