round,gameweek,dayofweek,date,start_time,home_team,score,away_team,attendance,venue,referee,match_report,notes
Regular Season,7.0,Fri,2023-05-12,19:30(17:30),Houston Dash,2–1,Portland Thorns,,Shell Energy Stadium,Katja Koroleva,Match Report,
Regular Season,7.0,Sun,2023-05-14,15:00(12:00),NC Courage,1–0,Reign,,Sahlen's Stadium at WakeMed Soccer Park,Alex Billeter,Match Report,
Regular Season,7.0,Sun,2023-05-14,17:00(15:00),Current,0–2,SD Wave,,Children's Mercy Park,Danielle Chesky,Match Report,
Regular Season,7.0,Sun,2023-05-14,17:30(14:30),Gotham FC,0–0,Orlando Pride,,Red Bull Arena,Anya Voigt,Match Report,
Regular Season,7.0,Sat,2023-05-13,19:00,Angel City FC,0–1,Washington Spirit,,BMO Stadium,John Griggs,Match Report,
Regular Season,8.0,Sat,2023-05-20,19:00(16:00),NC Courage,0–0,Angel City FC,,Sahlen's Stadium at WakeMed Soccer Park,Sergii Demianchuk,Match Report,
Regular Season,8.0,Sat,2023-05-20,19:00(16:00),Orlando Pride,2–1,Washington Spirit,,Exploria Stadium,Thomas Snyder,Match Report,
Regular Season,8.0,Sun,2023-05-21,14:00,Portland Thorns,4–0,Red Stars,,Providence Park,Tori Penso,Match Report,
Regular Season,8.0,Sun,2023-05-21,15:00,Reign,1–4,Gotham FC,,Lumen Field,Katja Koroleva,Match Report,
Regular Season,8.0,Sat,2023-05-20,19:00(17:00),Current,0–2,Racing Louisville,,Children's Mercy Park,Brad Jensen,Match Report,
Regular Season,8.0,Sat,2023-05-20,19:30(17:30),Houston Dash,0–3,SD Wave,,Shell Energy Stadium,Elijio Arreguin,Match Report,
Regular Season,9.0,Sat,2023-05-27,12:30,Reign,4–1,Angel City FC,,Lumen Field,Thomas Snyder,Match Report,
Regular Season,9.0,Fri,2023-05-26,19:00,SD Wave,1–1,Portland Thorns,,Snapdragon Stadium,Elton Garcia,Match Report,
Regular Season,9.0,Fri,2023-05-26,19:00(17:00),Current,0–2,Houston Dash,,Children's Mercy Park,Alyssa Nichols,Match Report,
Regular Season,9.0,Sun,2023-05-28,17:00(14:00),Washington Spirit,1–1,Gotham FC,,Audi Field,Karen Callado,Match Report,
Regular Season,9.0,Sat,2023-05-27,19:00(17:00),Red Stars,1–0,Orlando Pride,,SeatGeek Stadium,Rebecca Pagan,Match Report,
Regular Season,9.0,Sat,2023-05-27,20:00(17:00),Racing Louisville,1–2,NC Courage,,Lynn Family Stadium,Danielle Chesky,Match Report,
Regular Season,10.0,Sat,2023-06-03,17:00,Reign,0–2,Portland Thorns,,Lumen Field,Brad Jensen,Match Report,
Regular Season,10.0,Sun,2023-06-04,18:00(15:00),Gotham FC,0–1,SD Wave,,Red Bull Arena,Eric Tattersall,Match Report,
Regular Season,10.0,Sat,2023-06-03,19:30(17:30),Houston Dash,2–0,Orlando Pride,,Shell Energy Stadium,Adam Kilpatrick,Match Report,
Regular Season,10.0,Sat,2023-06-03,19:30(17:30),Current,1–0,NC Courage,,Children's Mercy Park,John Griggs,Match Report,
Regular Season,10.0,Sat,2023-06-03,20:00(17:00),Washington Spirit,1–1,Racing Louisville,,Audi Field,Rebecca Pagan,Match Report,
Regular Season,10.0,Mon,2023-06-05,19:00,Angel City FC,1–2,Red Stars,,BMO Stadium,Alex Billeter,Match Report,
Regular Season,11.0,Sat,2023-06-10,19:00(16:00),Washington Spirit,2–1,Angel City FC,,Audi Field,Alyssa Nichols,Match Report,
Regular Season,11.0,Fri,2023-06-09,20:00(17:00),Racing Louisville,0–0,SD Wave,,Lynn Family Stadium,Adorae Monroy,Match Report,
Regular Season,11.0,Sun,2023-06-11,18:00(16:00),Houston Dash,1–1,Gotham FC,,Shell Energy Stadium,Alex Billeter,Match Report,
Regular Season,11.0,Sun,2023-06-11,19:00(16:00),Orlando Pride,3–1,Portland Thorns,,Exploria Stadium,Danielle Chesky,Match Report,
Regular Season,11.0,Sat,2023-06-10,19:00(17:00),Red Stars,0–5,NC Courage,,SeatGeek Stadium,Karen Callado,Match Report,
Regular Season,11.0,Sat,2023-06-10,19:00,Reign,2–1,Current,,Lumen Field,Elijio Arreguin,Match Report,
Regular Season,12.0,Sat,2023-06-17,13:00,SD Wave,1–2,Angel City FC,,Snapdragon Stadium,Matthew Thompson,Match Report,
Regular Season,12.0,Sat,2023-06-17,19:00(16:00),NC Courage,3–0,Orlando Pride,,Sahlen's Stadium at WakeMed Soccer Park,Calin Radosav,Match Report,
Regular Season,12.0,Sun,2023-06-18,16:00(13:00),Racing Louisville,2–0,Gotham FC,,Lynn Family Stadium,Rebecca Pagan,Match Report,
Regular Season,12.0,Sun,2023-06-18,17:00(15:00),Red Stars,2–3,Portland Thorns,,SeatGeek Stadium,Anya Voigt,Match Report,
Regular Season,12.0,Sun,2023-06-18,18:00(16:00),Current,2–3,Washington Spirit,,Children's Mercy Park,Natalie Simon,Match Report,
Regular Season,12.0,Sat,2023-06-17,19:30(17:30),Houston Dash,0–0,Reign,,Shell Energy Stadium,Danielle Chesky,Match Report,
Regular Season,13.0,Sat,2023-06-24,19:00(16:00),Orlando Pride,1–2,Current,,Exploria Stadium,Eric Tattersall,Match Report,
Regular Season,13.0,Sat,2023-06-24,19:00(16:00),NC Courage,1–0,Racing Louisville,,Sahlen's Stadium at WakeMed Soccer Park,Elton Garcia,Match Report,
Regular Season,13.0,Fri,2023-06-23,19:30,Portland Thorns,4–2,Washington Spirit,,Providence Park,Katja Koroleva,Match Report,
Regular Season,13.0,Sun,2023-06-25,17:30(14:30),Gotham FC,2–1,Red Stars,,Red Bull Arena,Mathew Corrigan,Match Report,
Regular Season,13.0,Sat,2023-06-24,19:00,SD Wave,1–2,Reign,,Snapdragon Stadium,Natalie Simon,Match Report,
Regular Season,13.0,Sun,2023-06-25,17:00,Angel City FC,0–0,Houston Dash,,BMO Stadium,Sergii Demianchuk,Match Report,
Regular Season,14.0,Sat,2023-07-01,12:30,Reign,2–2,Racing Louisville,,Lumen Field,Alex Billeter,Match Report,
Regular Season,14.0,Sat,2023-07-01,19:00(16:00),Washington Spirit,0–3,Orlando Pride,,Audi Field,Anya Voigt,Match Report,
Regular Season,14.0,Sat,2023-07-01,19:30(16:30),NC Courage,1–0,Houston Dash,,Sahlen's Stadium at WakeMed Soccer Park,Rebecca Pagan,Match Report,
Regular Season,14.0,Sun,2023-07-02,17:30(14:30),Gotham FC,0–0,Angel City FC,,Red Bull Arena,Calin Radosav,Match Report,
Regular Season,14.0,Sat,2023-07-01,19:00,Portland Thorns,0–1,Current,,Providence Park,Tori Penso,Match Report,
Regular Season,14.0,Sat,2023-07-01,19:00(17:00),Red Stars,1–0,SD Wave,,SeatGeek Stadium,Thomas Snyder,Match Report,
Regular Season,15.0,Fri,2023-07-07,19:00(16:00),Orlando Pride,1–0,Reign,,Exploria Stadium,John Griggs,Match Report,
Regular Season,15.0,Fri,2023-07-07,19:30(17:30),Houston Dash,0–1,Red Stars,,Shell Energy Stadium,Alyssa Nichols,Match Report,
Regular Season,15.0,Fri,2023-07-07,20:00(17:00),Racing Louisville,2–1,Current,,Lynn Family Stadium,Anya Voigt,Match Report,
Regular Season,15.0,Sun,2023-07-09,17:30(14:30),Gotham FC,2–1,Portland Thorns,,Red Bull Arena,Greg Dopka,Match Report,
Regular Season,15.0,Sat,2023-07-08,19:00,SD Wave,2–2,Washington Spirit,,Snapdragon Stadium,Adam Kilpatrick,Match Report,
Regular Season,15.0,Sun,2023-07-09,17:00,Angel City FC,2–1,NC Courage,,BMO Stadium,Jeremy Scheer,Match Report,
Regular Season,16.0,Fri,2023-08-18,19:00(17:00),Current,1–0,Reign,,Children's Mercy Park,Karen Callado,Match Report,
Regular Season,16.0,Sat,2023-08-19,19:30(16:30),Racing Louisville,1–1,Angel City FC,,Lynn Family Stadium,Danielle Chesky,Match Report,
Regular Season,16.0,Sat,2023-08-19,17:00,SD Wave,2–1,Gotham FC,,Snapdragon Stadium,Elton Garcia,Match Report,
Regular Season,16.0,Sun,2023-08-20,19:00(16:00),Orlando Pride,5–0,Red Stars,,Exploria Stadium,Anya Voigt,Match Report,
Regular Season,16.0,Sat,2023-08-19,19:30(17:30),Houston Dash,1–1,Washington Spirit,,Shell Energy Stadium,Eric Tattersall,Match Report,
Regular Season,16.0,Sun,2023-08-20,19:30,Portland Thorns,2–1,NC Courage,,Providence Park,Matthew Thompson,Match Report,
Regular Season,17.0,Fri,2023-08-25,19:00(16:00),Orlando Pride,1–2,SD Wave,,Exploria Stadium,Matthew Thompson,Match Report,
Regular Season,17.0,Sun,2023-08-27,14:00(11:00),NC Courage,1–1,Red Stars,,Sahlen's Stadium at WakeMed Soccer Park,Kevin Broadley,Match Report,
Regular Season,17.0,Sun,2023-08-27,17:00(14:00),Washington Spirit,1–1,Portland Thorns,,Audi Field,Jeremy Scheer,Match Report,
Regular Season,17.0,Sun,2023-08-27,17:30(14:30),Gotham FC,0–0,Racing Louisville,,Red Bull Arena,Anya Voigt,Match Report,
Regular Season,17.0,Sat,2023-08-26,19:30(17:30),Houston Dash,1–1,Current,,Shell Energy Stadium,Shawn Tehini,Match Report,
Regular Season,17.0,Sun,2023-08-27,17:00,Angel City FC,2–1,Reign,,BMO Stadium,Brad Jensen,Match Report,
Regular Season,18.0,Fri,2023-09-01,19:00(17:00),Current,0–1,Angel City FC,,Children's Mercy Park,Calin Radosav,Match Report,
Regular Season,18.0,Sat,2023-09-02,19:30(16:30),NC Courage,3–3,Gotham FC,,Sahlen's Stadium at WakeMed Soccer Park,Abdou Ndiaye,Match Report,
Regular Season,18.0,Sat,2023-09-02,19:30(16:30),Racing Louisville,2–1,Portland Thorns,,Lynn Family Stadium,Karen Callado,Match Report,
Regular Season,18.0,Sun,2023-09-03,15:00,Reign,1–0,Orlando Pride,,Lumen Field,Ricardo Fierro,Match Report,
Regular Season,18.0,Sun,2023-09-03,17:00(14:00),Washington Spirit,0–2,Red Stars,,Audi Field,Brandon Stevis,Match Report,
Regular Season,18.0,Sun,2023-09-03,17:00,SD Wave,1–0,Houston Dash,,Snapdragon Stadium,Katja Koroleva,Match Report,
Regular Season,19.0,Fri,2023-09-15,19:30(16:30),Racing Louisville,0–1,Houston Dash,,Lynn Family Stadium,Elvis Osmanovic,Match Report,
Regular Season,19.0,Sat,2023-09-16,19:30(16:30),Gotham FC,2–0,Washington Spirit,,Red Bull Arena,Adorae Monroy,Match Report,
Regular Season,19.0,Sun,2023-09-17,17:00(15:00),Red Stars,2–2,Angel City FC,,SeatGeek Stadium,Alyssa Nichols,Match Report,
Regular Season,19.0,Sat,2023-09-16,19:00,SD Wave,1–2,Current,,Snapdragon Stadium,Mathew Corrigan,Match Report,
Regular Season,19.0,Sun,2023-09-17,19:00(16:00),Orlando Pride,2–1,NC Courage,,Exploria Stadium,Danielle Chesky,Match Report,
Regular Season,19.0,Sat,2023-09-16,19:30,Portland Thorns,2–0,Reign,,Providence Park,Katja Koroleva,Match Report,
Regular Season,20.0,Sat,2023-09-30,19:00(16:00),Washington Spirit,2–1,Current,,Audi Field,Eric Tattersall,Match Report,
Regular Season,20.0,Sun,2023-10-01,18:30(15:30),Gotham FC,0–2,Houston Dash,,Red Bull Arena,Elijio Arreguin,Match Report,
Regular Season,20.0,Sat,2023-09-30,19:00(17:00),Red Stars,1–0,Racing Louisville,,SeatGeek Stadium,Sergii Demianchuk,Match Report,
Regular Season,20.0,Sat,2023-09-30,19:30,Portland Thorns,0–2,SD Wave,,Providence Park,Calin Radosav,Match Report,
Regular Season,20.0,Sun,2023-10-01,17:00,Reign,1–1,NC Courage,,Lumen Field,Elton Garcia,Match Report,
Regular Season,20.0,Mon,2023-10-02,19:00,Angel City FC,0–1,Orlando Pride,,BMO Stadium,Brandon Stevis,Match Report,
Regular Season,21.0,Fri,2023-10-06,19:30(16:30),Racing Louisville,3–2,Orlando Pride,,Lynn Family Stadium,Kevin Broadley,Match Report,
Regular Season,21.0,Sat,2023-10-07,14:00,Portland Thorns,1–0,Gotham FC,,Providence Park,Danielle Chesky,Match Report,
Regular Season,21.0,Fri,2023-10-06,17:00,Reign,0–0,Washington Spirit,,Lumen Field,Thomas Snyder,Match Report,
Regular Season,21.0,Sat,2023-10-07,19:00(16:00),NC Courage,0–0,SD Wave,,Sahlen's Stadium at WakeMed Soccer Park,Anya Voigt,Match Report,
Regular Season,21.0,Sun,2023-10-08,18:00(16:00),Houston Dash,1–2,Angel City FC,,Shell Energy Stadium,Katja Koroleva,Match Report,
Regular Season,21.0,Sat,2023-10-07,19:00(17:00),Current,6–3,Red Stars,,Children's Mercy Park,Laura Rodriguez,Match Report,
Regular Season,22.0,Sun,2023-10-15,14:00,SD Wave,2–0,Racing Louisville,,Snapdragon Stadium,Jeremy Scheer,Match Report,
Regular Season,22.0,Sun,2023-10-15,14:00,Angel City FC,5–1,Portland Thorns,,BMO Stadium,Elvis Osmanovic,Match Report,
Regular Season,22.0,Sun,2023-10-15,16:00(14:00),Red Stars,0–3,Reign,,SeatGeek Stadium,Anya Voigt,Match Report,
Regular Season,22.0,Sun,2023-10-15,17:00(14:00),Orlando Pride,1–0,Houston Dash,,Exploria Stadium,Natalie Simon,Match Report,
Regular Season,22.0,Sun,2023-10-15,17:00(14:00),Washington Spirit,0–1,NC Courage,,Audi Field,Ricardo Fierro,Match Report,
Regular Season,22.0,Sun,2023-10-15,17:00(14:00),Gotham FC,2–2,Current,,Red Bull Arena,Alyssa Nichols,Match Report,
First Round,,Fri,2023-10-20,19:00,Reign,1–0,Angel City FC,,Lumen Field,Brad Jensen,Match Report,
First Round,,Sun,2023-10-22,19:00(16:00),NC Courage,0–2,Gotham FC,,Sahlen's Stadium at WakeMed Soccer Park,Katja Koroleva,Match Report,
Semifinals,,Sun,2023-11-05,16:00,Portland Thorns,0–1,Gotham FC,,Providence Park,Danielle Chesky,Match Report,Required Extra Time
Semifinals,,Sun,2023-11-05,18:30,SD Wave,0–1,Reign,,Snapdragon Stadium,Natalie Simon,Match Report,
Final,,Sat,2023-11-11,17:00,Reign,1–2,Gotham FC,,Snapdragon Stadium,Katja Koroleva,Match Report,
