ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
81,Emily van Egmond,auAUS,MF,SD Wave,29,1993,8.5,,11,,,,,,,,,,,8,,,,Matches
82,Emina Ekic,usUSA,MF,Racing Louisville,23,1999,0.1,,0,,,,,,,,,,,0,,,,Matches
83,Madison Elwell,usUSA,MF,Washington Spirit,23,1999,1.5,,5,,,,,,,,,,,2,,,,Matches
84,Claire Emslie,sctSCO,"MF,FW",Angel City FC,28,1994,14.1,,15,,,,,,,,,,,3,,,,Matches
85,Jun Endō,jpJPN,"MF,FW",Angel City FC,22,2000,10.1,,12,,,,,,,,,,,9,,,,Matches
86,Sierra Enge,usUSA,"MF,DF",SD Wave,22,2000,7.8,,6,,,,,,,,,,,7,,,,Matches
87,Abby Erceg,nzNZL,DF,Racing Louisville,33,1989,22.0,,11,,,,,,,,,,,35,,,,Matches
88,Julie Ertz,usUSA,MF,Angel City FC,30,1992,6.3,,5,,,,,,,,,,,9,,,,Matches
89,Sinead Farrelly,ieIRL,MF,Gotham FC,33,1989,9.1,,19,,,,,,,,,,,8,,,,Matches
90,Millie Farrow,engENG,FW,NC Courage,26,1996,0.5,,1,,,,,,,,,,,0,,,,Matches
91,Bayley Feist,usUSA,"MF,FW",Washington Spirit,25,1997,2.0,,7,,,,,,,,,,,0,,,,Matches
92,Sami Feller,,MF,Red Stars,22,2000,0.1,,0,,,,,,,,,,,0,,,,Matches
93,Kayla Fischer,usUSA,MF,Racing Louisville,23,2000,5.1,,12,,,,,,,,,,,5,,,,Matches
94,Samantha Fisher,svSLV,MF,Red Stars,23,1999,1.7,,2,,,,,,,,,,,4,,,,Matches
95,Jess Fishlock,wlsWAL,MF,Reign,36,1987,14.4,,10,,,,,,,,,,,7,,,,Matches
96,Taylor Flint,usUSA,"MF,FW",SD Wave,24,1998,7.6,,14,,,,,,,,,,,14,,,,Matches
97,Sabrina Flores,usUSA,DF,Gotham FC,27,1996,0.0,,0,,,,,,,,,,,0,,,,Matches
98,Emily Fox,usUSA,DF,NC Courage,24,1998,17.2,,13,,,,,,,,,,,25,,,,Matches
99,Adrianna Franch,usUSA,GK,Current,32,1990,12.0,,1,,,,,,,,,,,0,,,,Matches
100,Mandy Freeman,usUSA,DF,Gotham FC,27,1995,5.7,,4,,,,,,,,,,,8,,,,Matches
101,Ryan Gareis,usUSA,FW,Houston Dash,24,1998,4.0,,2,,,,,,,,,,,1,,,,Matches
102,Morgan Gautrat,usUSA,MF,Current,29,1993,2.6,,3,,,,,,,,,,,5,,,,Matches
103,Mille Gejl,dkDEN,"MF,FW",NC Courage,23,1999,5.5,,6,,,,,,,,,,,7,,,,Matches
104,Naomi Girma,usUSA,DF,SD Wave,22,2000,19.0,,16,,,,,,,,,,,22,,,,Matches
105,Parker Goins,usUSA,MF,Racing Louisville,24,1998,1.5,,1,,,,,,,,,,,0,,,,Matches
106,Esther González,esESP,"FW,MF",Gotham FC,30,1992,3.8,,4,,,,,,,,,,,0,,,,Matches
107,Sarah Gorden,usUSA,DF,Angel City FC,30,1992,22.0,,13,,,,,,,,,,,24,,,,Matches
108,Sarah Griffith,usUSA,MF,Red Stars,23,1999,2.9,,4,,,,,,,,,,,1,,,,Matches
109,Shea Groom,usUSA,"FW,MF",Houston Dash,29,1993,0.1,,0,,,,,,,,,,,0,,,,Matches
110,Mia Gyau,usUSA,DF,SD Wave,24,1998,0.0,,0,,,,,,,,,,,0,,,,Matches
111,Kristen Hamilton,usUSA,FW,Current,30,1992,9.5,,1,,,,,,,,,,,1,,,,Matches
112,Madison Hammond,usUSA,"MF,DF",Angel City FC,25,1997,13.3,,19,,,,,,,,,,,14,,,,Matches
113,DiDi Haracic,baBIH,GK,Angel City FC,30,1992,18.0,,0,,,,,,,,,,,0,,,,Matches
114,Jyllissa Harris,usUSA,DF,Houston Dash,22,2000,0.1,,0,,,,,,,,,,,0,,,,Matches
115,Ashley Hatch,usUSA,"FW,MF",Washington Spirit,27,1995,20.3,,7,,,,,,,,,,,2,,,,Matches
116,Kelcie Hedge,usUSA,MF,Houston Dash,25,1997,0.0,,0,,,,,,,,,,,0,,,,Matches
117,Amandine Henry,frFRA,MF,Angel City FC,33,1989,3.5,,7,,,,,,,,,,,8,,,,Matches
118,Samantha Hiatt,usUSA,DF,Reign,25,1998,15.4,,16,,,,,,,,,,,15,,,,Matches
119,Rachel Hill,usUSA,"MF,FW",SD Wave,27,1995,11.9,,22,,,,,,,,,,,10,,,,Matches
120,Sophie Hirst,usUSA,MF,Houston Dash,22,2000,7.0,,9,,,,,,,,,,,11,,,,Matches
121,Penelope Hocking,usUSA,MF,Red Stars,23,1999,13.1,,10,,,,,,,,,,,2,,,,Matches
122,Shelby Hogan,usUSA,GK,Portland Thorns,24,1998,1.0,,0,,,,,,,,,,,0,,,,Matches
123,Rebecca Holloway,nirNIR,DF,Racing Louisville,27,1995,6.4,,7,,,,,,,,,,,8,,,,Matches
124,Shae Holmes,usUSA,DF,Reign,22,2000,2.5,,2,,,,,,,,,,,2,,,,Matches
125,Haley Hopkins,usUSA,"MF,FW",NC Courage,24,1998,4.8,,4,,,,,,,,,,,1,,,,Matches
126,Jaelin Howell,usUSA,MF,Racing Louisville,23,1999,14.5,,40,,,,,,,,,,,34,,,,Matches
127,Kelli Hubly,usUSA,DF,Portland Thorns,28,1994,17.3,,24,,,,,,,,,,,17,,,,Matches
128,Sofia Huerta,usUSA,DF,Reign,30,1992,16.2,,18,,,,,,,,,,,17,,,,Matches
129,Jordyn Huitema,caCAN,"FW,MF",Reign,21,2001,15.7,,7,,,,,,,,,,,4,,,,Matches
130,Tori Huster,usUSA,"DF,MF",Washington Spirit,33,1989,0.2,,0,,,,,,,,,,,2,,,,Matches
131,Natalie Jacobs,usUSA,DF,Houston Dash,25,1997,19.2,,6,,,,,,,,,,,25,,,,Matches
132,Sofia Jakobsson,seSWE,MF,SD Wave,32,1990,9.4,,10,,,,,,,,,,,8,,,,Matches
133,Inès Jaurena,frFRA,MF,Washington Spirit,31,1991,10.1,,13,,,,,,,,,,,13,,,,Matches
134,Ellie Jean,usUSA,DF,Gotham FC,26,1997,10.6,,9,,,,,,,,,,,8,,,,Matches
135,Lindsi Jennings,,DF,Houston Dash,,,0.3,,0,,,,,,,,,,,0,,,,Matches
136,Celia Jiménez,esESP,DF,Orlando Pride,27,1995,2.2,,3,,,,,,,,,,,4,,,,Matches
137,Katie Johnson,mxMEX,FW,Angel City FC,28,1994,8.0,,7,,,,,,,,,,,1,,,,Matches
138,Júlia,brBRA,MF,Red Stars,25,1997,14.8,,28,,,,,,,,,,,21,,,,Matches
139,Uchenna Kanu,ngNGA,FW,Racing Louisville,25,1997,5.5,,7,,,,,,,,,,,4,,,,Matches
140,Nahomi Kawasumi,jpJPN,"FW,MF",Gotham FC,37,1985,0.3,,0,,,,,,,,,,,0,,,,Matches
141,Kerolin,brBRA,"MF,FW",NC Courage,23,1999,18.4,,10,,,,,,,,,,,8,,,,Matches
142,Thembi Kgatlana,zaRSA,"FW,MF",Racing Louisville,26,1996,8.2,,7,,,,,,,,,,,6,,,,Matches
143,Tziarra King,usUSA,"MF,FW",Reign,24,1998,7.3,,12,,,,,,,,,,,10,,,,Matches
144,Aubrey Kingsbury,usUSA,GK,Washington Spirit,31,1991,20.0,,1,,,,,,,,,,,0,,,,Matches
145,Meghan Klingenberg,usUSA,DF,Portland Thorns,34,1988,18.3,,15,,,,,,,,,,,19,,,,Matches
146,Amanda Kowalski,usUSA,DF,Red Stars,24,1998,0.6,,5,,,,,,,,,,,1,,,,Matches
147,Ali Krieger,usUSA,DF,Gotham FC,38,1984,14.8,,11,,,,,,,,,,,28,,,,Matches
148,Casey Krueger,usUSA,DF,Red Stars,32,1990,19.0,,20,,,,,,,,,,,13,,,,Matches
149,Civana Kuhlmann,usUSA,FW,Washington Spirit,23,1999,0.8,,4,,,,,,,,,,,0,,,,Matches
150,Natalia Kuikka,fiFIN,DF,Portland Thorns,27,1995,19.9,,36,,,,,,,,,,,28,,,,Matches
151,Kaleigh Kurtz,usUSA,DF,NC Courage,25,1997,22.0,,23,,,,,,,,,,,11,,,,Matches
152,Lo'eau LaBonta,usUSA,MF,Current,29,1993,16.1,,21,,,,,,,,,,,15,,,,Matches
153,Mariana Larroquette,arARG,FW,Orlando Pride,30,1992,1.0,,1,,,,,,,,,,,0,,,,Matches
154,Mimmi Larsson,seSWE,"FW,MF",Current,28,1994,6.6,,3,,,,,,,,,,,1,,,,Matches
155,Veronica Latsko,usUSA,MF,Reign,27,1995,11.7,,17,,,,,,,,,,,12,,,,Matches
156,Lauren,brBRA,DF,Current,20,2002,1.0,,0,,,,,,,,,,,0,,,,Matches
157,Rose Lavelle,usUSA,MF,Reign,27,1995,3.9,,2,,,,,,,,,,,6,,,,Matches
158,Claire Lavogez,frFRA,"FW,MF",Current,28,1994,0.6,,2,,,,,,,,,,,1,,,,Matches
159,Clarisse Le Bihan,frFRA,"FW,MF",Angel City FC,28,1994,7.6,,12,,,,,,,,,,,6,,,,Matches
160,Adriana Leon,caCAN,"FW,MF",Portland Thorns,30,1992,0.9,,2,,,,,,,,,,,0,,,,Matches
161,Sydney Leroux,usUSA,FW,Angel City FC,32,1990,5.8,,1,,,,,,,,,,,1,,,,Matches
162,Julia Lester,usUSA,DF,Racing Louisville,25,1998,12.4,,6,,,,,,,,,,,23,,,,Matches
163,Katie Lind,usUSA,DF,Houston Dash,28,1994,15.8,,12,,,,,,,,,,,19,,,,Matches
164,Jordyn Listro,caCAN,MF,Orlando Pride,27,1995,6.2,,10,,,,,,,,,,,3,,,,Matches
165,Alex Loera,usUSA,MF,Current,23,1999,8.8,,12,,,,,,,,,,,12,,,,Matches
166,Allie Long,usUSA,MF,Gotham FC,35,1987,14.0,,11,,,,,,,,,,,16,,,,Matches
167,Maitane López Millán,esESP,"DF,MF",Gotham FC,27,1995,7.1,,13,,,,,,,,,,,16,,,,Matches
