ranker,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
24,Malia Berkely,usUSA,DF,NC Courage,24,1998,16.8,0,1,0,7,5,0,8,16,10,,,0,Matches
25,Hannah Betfort,usUSA,FW,Portland Thorns,24,1999,5.3,0,0,0,5,7,0,4,1,1,,,0,Matches
26,Camryn Biegalski,usUSA,MF,Washington Spirit,24,1998,3.1,0,0,0,5,2,1,4,2,2,,,0,Matches
27,Jenna Bike,usUSA,MF,Red Stars,24,1998,4.8,2,0,0,6,10,4,15,7,7,,,0,Matches
28,Bella Bixby,usUSA,GK,Portland Thorns,27,1995,21.0,2,0,0,2,3,0,0,0,0,,,0,Matches
29,Lynn Biyendolo,usUSA,"FW,MF",Gotham FC,29,1993,18.4,1,0,0,18,1,2,16,20,26,,,0,Matches
30,Tess Boade,usUSA,FW,NC Courage,23,1999,8.0,0,0,0,5,6,4,5,1,6,,,0,Matches
31,Bethany Bos,usUSA,"MF,FW",Reign,25,1997,15.6,1,0,0,22,26,5,13,11,23,,,0,Matches
32,Emily Boyd,usUSA,GK,Red Stars,26,1996,2.0,0,0,0,0,0,0,0,1,0,,,0,Matches
33,Isabella Briede,usUSA,MF,SD Wave,24,1998,2.8,0,0,0,2,5,0,0,3,2,,,0,Matches
34,Messiah Bright,usUSA,FW,Orlando Pride,23,2000,15.2,2,0,0,18,6,9,24,2,12,,,0,Matches
35,Amber Brooks,usUSA,"DF,MF",Washington Spirit,32,1991,6.8,1,0,0,8,4,0,7,3,2,,,0,Matches
36,Ryanne Brown,usUSA,DF,Reign,24,1999,3.7,0,0,0,3,5,0,11,7,8,,,0,Matches
37,Bruninha,brBRA,DF,Gotham FC,20,2002,15.4,2,0,0,13,13,0,43,23,24,,,0,Matches
38,Haley Bugeja,mtMLT,FW,Orlando Pride,18,2004,0.3,0,0,0,0,0,0,0,0,2,,,0,Matches
39,Anaïg Butel,frFRA,DF,Washington Spirit,30,1992,5.1,3,0,0,8,2,0,5,7,6,,,0,Matches
40,Scarlett Camberos,mxMEX,MF,Angel City FC,22,2000,10.1,0,0,0,10,10,4,32,7,13,,,0,Matches
41,Jane Campbell,usUSA,GK,Houston Dash,27,1995,22.0,0,0,0,0,3,0,0,0,0,,,0,Matches
42,Marley Canales,usUSA,MF,Reign,25,1997,0.0,0,0,0,0,1,0,0,0,0,,,0,Matches
43,Gabrielle Carle,caCAN,DF,Washington Spirit,24,1998,21.1,2,0,0,16,9,2,40,42,29,,,0,Matches
44,Kyra Carusa,ieIRL,"FW,MF",SD Wave,27,1995,3.8,0,0,0,9,4,3,3,2,3,,,0,Matches
45,Allysha Chapman,caCAN,DF,Houston Dash,34,1989,11.4,1,0,0,12,9,0,7,25,23,,,0,Matches
46,Simone Charley,usUSA,FW,Angel City FC,27,1995,0.6,0,0,0,0,2,0,1,0,1,,,0,Matches
47,Alex Chidiac,auAUS,MF,Racing Louisville,24,1999,1.6,0,0,0,0,2,0,3,1,1,,,0,Matches
48,Rylan Childers,,MF,Current,,,0.2,1,0,0,3,1,0,0,1,1,,,0,Matches
49,Mikayla Cluff,usUSA,MF,Orlando Pride,23,1999,16.8,2,0,0,35,19,0,8,24,41,,,0,Matches
50,Sam Coffey,usUSA,MF,Portland Thorns,24,1998,21.8,1,0,0,25,9,1,86,33,48,,,0,Matches
51,Danielle Colaprico,usUSA,MF,SD Wave,29,1993,19.2,3,0,0,18,41,0,31,41,22,,,0,Matches
52,Kaylie Collins,usUSA,GK,Orlando Pride,24,1998,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
53,Sydney Collins,caCAN,DF,NC Courage,23,1999,2.2,0,0,0,2,1,0,1,5,9,,,0,Matches
54,Shea Connors,usUSA,FW,SD Wave,26,1996,0.0,0,0,0,1,0,0,1,0,0,,,0,Matches
55,Alana Cook,usUSA,DF,Reign,25,1997,17.5,3,1,0,10,6,0,9,40,17,,,0,Matches
56,Ava Cook,usUSA,"MF,FW",Red Stars,22,2000,10.7,2,0,0,15,29,0,3,10,14,,,0,Matches
57,Michelle Cooper,usUSA,"MF,FW",Current,20,2002,18.1,5,0,0,27,30,7,44,11,24,,,0,Matches
58,Chai Cortez,usUSA,DF,SD Wave,24,1998,0.7,0,0,0,0,0,0,0,0,1,,,0,Matches
59,Caitlin Cosme,prPUR,DF,Orlando Pride,24,1999,4.0,1,0,0,8,1,0,0,3,2,,,0,Matches
60,Chardonnay Curran,usUSA,MF,Current,23,1999,3.4,0,0,0,7,6,0,1,5,1,,,0,Matches
61,Izzy D'Aquila,usUSA,FW,Portland Thorns,21,2001,3.8,0,0,0,4,3,4,8,1,2,,,0,Matches
62,Abby Dahlkemper,usUSA,DF,SD Wave,29,1993,5.0,1,0,0,1,2,0,1,5,2,,,0,Matches
63,Tierna Davidson,usUSA,DF,Red Stars,24,1998,17.9,1,0,0,8,8,0,2,19,19,,,0,Matches
64,Kirsten Davis,usUSA,FW,Racing Louisville,24,1998,13.4,1,0,0,12,4,14,24,5,4,,,0,Matches
65,Debinha,brBRA,"MF,FW",Current,31,1991,16.9,1,0,0,13,12,5,48,6,14,,,0,Matches
66,Kate Del Fava,usUSA,"DF,MF",Current,24,1998,20.3,3,0,0,24,16,1,24,30,21,,,0,Matches
67,Cece Delzer,usUSA,"MF,FW",Current,25,1997,16.2,0,0,0,2,23,3,5,9,20,,,0,Matches
68,Savannah Demelo,usUSA,"MF,FW",Racing Louisville,24,1998,17.6,7,1,1,28,67,1,43,12,19,,,0,Matches
69,Madelyn Desiano,usUSA,DF,Houston Dash,22,2000,0.3,0,0,0,1,1,0,0,0,1,,,0,Matches
70,Vanessa DiBernardo,usUSA,MF,Current,30,1992,10.7,1,0,0,15,15,1,7,21,12,,,0,Matches
71,Claudia Dickey,usUSA,GK,Reign,23,2000,6.0,0,0,0,0,2,0,0,0,0,,,0,Matches
72,Marisa DiGrande,usUSA,MF,Houston Dash,25,1997,15.0,2,0,0,9,15,1,18,16,15,,,0,Matches
73,Makenzy Doniak,usUSA,"MF,FW",SD Wave,28,1994,12.5,1,0,0,10,14,3,38,9,12,,,0,Matches
74,Meggie Dougherty Howard,usUSA,MF,SD Wave,27,1995,6.4,0,0,0,9,11,3,8,6,7,,,0,Matches
75,Nicole Douglas,engENG,MF,Washington Spirit,22,2000,1.8,0,0,0,7,3,0,2,0,4,,,0,Matches
76,Julie Doyle,usUSA,"MF,FW",Orlando Pride,24,1998,9.2,2,0,0,12,11,4,30,1,6,,,0,Matches
77,Crystal Dunn,usUSA,MF,Portland Thorns,30,1992,14.5,0,0,0,13,20,6,24,19,23,,,0,Matches
78,Caprice Dydasco,usUSA,"DF,MF",Houston Dash,29,1993,21.9,3,0,0,24,16,0,71,48,39,,,0,Matches
79,Elizabeth Eddy,usUSA,MF,Angel City FC,31,1991,0.6,0,0,0,1,0,0,2,1,0,,,0,Matches
80,Kristen Edmonds,usUSA,DF,Gotham FC,35,1987,11.5,1,0,0,4,14,0,6,13,10,,,0,Matches
81,Emily van Egmond,auAUS,MF,SD Wave,29,1993,8.5,2,0,0,6,2,1,14,8,11,,,0,Matches
82,Emina Ekic,usUSA,MF,Racing Louisville,23,1999,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
83,Madison Elwell,usUSA,MF,Washington Spirit,23,1999,1.5,0,0,0,3,1,0,4,2,5,,,0,Matches
84,Claire Emslie,sctSCO,"MF,FW",Angel City FC,28,1994,14.1,0,0,0,12,13,5,140,3,15,,,0,Matches
85,Jun Endō,jpJPN,"MF,FW",Angel City FC,22,2000,10.1,0,0,0,4,15,3,32,9,12,,,0,Matches
86,Sierra Enge,usUSA,"MF,DF",SD Wave,22,2000,7.8,1,0,0,8,1,0,1,7,6,,,0,Matches
87,Abby Erceg,nzNZL,DF,Racing Louisville,33,1989,22.0,1,0,0,4,5,0,1,35,11,,,0,Matches
88,Julie Ertz,usUSA,MF,Angel City FC,30,1992,6.3,1,0,0,15,4,0,3,9,5,,,0,Matches
89,Sinead Farrelly,ieIRL,MF,Gotham FC,33,1989,9.1,4,0,0,16,7,4,10,8,19,,,0,Matches
90,Millie Farrow,engENG,FW,NC Courage,26,1996,0.5,0,0,0,0,0,0,0,0,1,,,0,Matches
91,Bayley Feist,usUSA,"MF,FW",Washington Spirit,25,1997,2.0,0,0,0,2,2,0,5,0,7,,,0,Matches
92,Sami Feller,,MF,Red Stars,22,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
93,Kayla Fischer,usUSA,MF,Racing Louisville,23,2000,5.1,1,0,0,19,13,1,6,5,12,,,0,Matches
94,Samantha Fisher,svSLV,MF,Red Stars,23,1999,1.7,0,0,0,1,1,0,9,4,2,,,0,Matches
95,Jess Fishlock,wlsWAL,MF,Reign,36,1987,14.4,2,0,0,6,11,3,6,7,10,,,0,Matches
96,Taylor Flint,usUSA,"MF,FW",SD Wave,24,1998,7.6,4,0,0,22,11,5,2,14,14,,,0,Matches
97,Sabrina Flores,usUSA,DF,Gotham FC,27,1996,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
98,Emily Fox,usUSA,DF,NC Courage,24,1998,17.2,0,1,0,10,17,1,17,25,13,,,0,Matches
99,Adrianna Franch,usUSA,GK,Current,32,1990,12.0,1,0,0,0,4,0,0,0,1,,,2,Matches
100,Mandy Freeman,usUSA,DF,Gotham FC,27,1995,5.7,1,0,0,7,2,0,1,8,4,,,0,Matches
101,Ryan Gareis,usUSA,FW,Houston Dash,24,1998,4.0,0,0,0,1,2,4,21,1,2,,,0,Matches
102,Morgan Gautrat,usUSA,MF,Current,29,1993,2.6,1,0,0,2,2,0,1,5,3,,,0,Matches
103,Mille Gejl,dkDEN,"MF,FW",NC Courage,23,1999,5.5,2,0,0,6,6,1,12,7,6,,,0,Matches
104,Naomi Girma,usUSA,DF,SD Wave,22,2000,19.0,0,0,0,4,5,0,2,22,16,,,0,Matches
105,Parker Goins,usUSA,MF,Racing Louisville,24,1998,1.5,0,0,0,2,0,2,4,0,1,,,0,Matches
106,Esther González,esESP,"FW,MF",Gotham FC,30,1992,3.8,1,0,0,2,9,1,2,0,4,,,0,Matches
107,Sarah Gorden,usUSA,DF,Angel City FC,30,1992,22.0,1,0,0,7,17,0,6,24,13,,,0,Matches
108,Sarah Griffith,usUSA,MF,Red Stars,23,1999,2.9,0,0,0,2,1,1,6,1,4,,,0,Matches
109,Shea Groom,usUSA,"FW,MF",Houston Dash,29,1993,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
110,Mia Gyau,usUSA,DF,SD Wave,24,1998,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
111,Kristen Hamilton,usUSA,FW,Current,30,1992,9.5,1,0,0,6,12,2,4,1,1,,,0,Matches
112,Madison Hammond,usUSA,"MF,DF",Angel City FC,25,1997,13.3,3,0,0,18,4,0,1,14,19,,,0,Matches
113,DiDi Haracic,baBIH,GK,Angel City FC,30,1992,18.0,3,0,0,1,1,0,0,0,0,,,0,Matches
114,Jyllissa Harris,usUSA,DF,Houston Dash,22,2000,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
115,Ashley Hatch,usUSA,"FW,MF",Washington Spirit,27,1995,20.3,3,0,0,34,28,8,42,2,7,,,0,Matches
116,Kelcie Hedge,usUSA,MF,Houston Dash,25,1997,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
117,Amandine Henry,frFRA,MF,Angel City FC,33,1989,3.5,0,0,0,7,6,1,3,8,7,,,0,Matches
118,Samantha Hiatt,usUSA,DF,Reign,25,1998,15.4,2,0,0,9,0,0,0,15,16,,,0,Matches
119,Rachel Hill,usUSA,"MF,FW",SD Wave,27,1995,11.9,3,0,0,16,17,11,39,10,22,,,0,Matches
120,Sophie Hirst,usUSA,MF,Houston Dash,22,2000,7.0,0,0,0,3,9,0,2,11,9,,,0,Matches
121,Penelope Hocking,usUSA,MF,Red Stars,23,1999,13.1,3,0,0,15,20,1,15,2,10,,,0,Matches
122,Shelby Hogan,usUSA,GK,Portland Thorns,24,1998,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
123,Rebecca Holloway,nirNIR,DF,Racing Louisville,27,1995,6.4,2,0,0,7,2,0,6,8,7,,,0,Matches
124,Shae Holmes,usUSA,DF,Reign,22,2000,2.5,0,0,0,0,0,0,3,2,2,,,0,Matches
125,Haley Hopkins,usUSA,"MF,FW",NC Courage,24,1998,4.8,0,0,0,3,6,2,6,1,4,,,0,Matches
126,Jaelin Howell,usUSA,MF,Racing Louisville,23,1999,14.5,4,0,0,33,25,1,4,34,40,,,0,Matches
127,Kelli Hubly,usUSA,DF,Portland Thorns,28,1994,17.3,4,1,0,11,7,0,0,17,24,,,0,Matches
128,Sofia Huerta,usUSA,DF,Reign,30,1992,16.2,2,0,0,13,10,1,81,17,18,,,0,Matches
129,Jordyn Huitema,caCAN,"FW,MF",Reign,21,2001,15.7,1,0,0,17,22,6,5,4,7,,,0,Matches
130,Tori Huster,usUSA,"DF,MF",Washington Spirit,33,1989,0.2,0,0,0,0,1,0,1,2,0,,,0,Matches
131,Natalie Jacobs,usUSA,DF,Houston Dash,25,1997,19.2,4,1,0,15,11,0,5,25,6,,,1,Matches
132,Sofia Jakobsson,seSWE,MF,SD Wave,32,1990,9.4,2,0,0,17,4,13,41,8,10,,,0,Matches
133,Inès Jaurena,frFRA,MF,Washington Spirit,31,1991,10.1,1,0,0,11,8,0,6,13,13,,,0,Matches
134,Ellie Jean,usUSA,DF,Gotham FC,26,1997,10.6,1,0,0,5,0,0,0,8,9,,,0,Matches
135,Lindsi Jennings,,DF,Houston Dash,,,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
136,Celia Jiménez,esESP,DF,Orlando Pride,27,1995,2.2,0,0,0,4,1,0,5,4,3,,,0,Matches
137,Katie Johnson,mxMEX,FW,Angel City FC,28,1994,8.0,3,0,0,18,10,6,4,1,7,,,0,Matches
138,Júlia,brBRA,MF,Red Stars,25,1997,14.8,3,0,0,17,21,0,81,21,28,,,0,Matches
139,Uchenna Kanu,ngNGA,FW,Racing Louisville,25,1997,5.5,1,0,0,11,10,3,4,4,7,,,0,Matches
140,Nahomi Kawasumi,jpJPN,"FW,MF",Gotham FC,37,1985,0.3,0,0,0,0,0,0,4,0,0,,,0,Matches
141,Kerolin,brBRA,"MF,FW",NC Courage,23,1999,18.4,3,0,0,19,26,10,29,8,10,,,0,Matches
142,Thembi Kgatlana,zaRSA,"FW,MF",Racing Louisville,26,1996,8.2,3,0,0,18,8,11,14,6,7,,,0,Matches
143,Tziarra King,usUSA,"MF,FW",Reign,24,1998,7.3,1,0,0,6,9,7,24,10,12,,,0,Matches
144,Aubrey Kingsbury,usUSA,GK,Washington Spirit,31,1991,20.0,0,0,0,0,3,0,0,0,1,,,0,Matches
145,Meghan Klingenberg,usUSA,DF,Portland Thorns,34,1988,18.3,2,0,0,12,18,0,79,19,15,,,0,Matches
146,Amanda Kowalski,usUSA,DF,Red Stars,24,1998,0.6,0,0,0,1,1,0,1,1,5,,,0,Matches
147,Ali Krieger,usUSA,DF,Gotham FC,38,1984,14.8,1,0,0,5,5,0,3,28,11,,,0,Matches
148,Casey Krueger,usUSA,DF,Red Stars,32,1990,19.0,0,0,0,11,21,2,18,13,20,,,0,Matches
149,Civana Kuhlmann,usUSA,FW,Washington Spirit,23,1999,0.8,0,0,0,3,1,0,3,0,4,,,0,Matches
150,Natalia Kuikka,fiFIN,DF,Portland Thorns,27,1995,19.9,3,0,0,10,20,1,24,28,36,,,1,Matches
151,Kaleigh Kurtz,usUSA,DF,NC Courage,25,1997,22.0,2,0,0,11,11,0,3,11,23,,,1,Matches
152,Lo'eau LaBonta,usUSA,MF,Current,29,1993,16.1,1,0,0,12,40,2,22,15,21,,,0,Matches
153,Mariana Larroquette,arARG,FW,Orlando Pride,30,1992,1.0,0,0,0,3,6,0,0,0,1,,,0,Matches
154,Mimmi Larsson,seSWE,"FW,MF",Current,28,1994,6.6,0,0,0,16,6,6,10,1,3,,,0,Matches
155,Veronica Latsko,usUSA,MF,Reign,27,1995,11.7,3,0,0,19,22,6,48,12,17,,,0,Matches
156,Lauren,brBRA,DF,Current,20,2002,1.0,0,0,0,1,0,0,0,0,0,,,0,Matches
157,Rose Lavelle,usUSA,MF,Reign,27,1995,3.9,0,0,0,4,3,0,19,6,2,,,0,Matches
158,Claire Lavogez,frFRA,"FW,MF",Current,28,1994,0.6,0,0,0,3,0,1,1,1,2,,,0,Matches
159,Clarisse Le Bihan,frFRA,"FW,MF",Angel City FC,28,1994,7.6,2,0,0,14,5,3,78,6,12,,,0,Matches
160,Adriana Leon,caCAN,"FW,MF",Portland Thorns,30,1992,0.9,0,0,0,2,2,1,2,0,2,,,0,Matches
161,Sydney Leroux,usUSA,FW,Angel City FC,32,1990,5.8,0,0,0,3,7,2,1,1,1,,,0,Matches
162,Julia Lester,usUSA,DF,Racing Louisville,25,1998,12.4,1,0,0,8,6,0,5,23,6,,,0,Matches
163,Katie Lind,usUSA,DF,Houston Dash,28,1994,15.8,0,1,0,12,11,0,1,19,12,,,0,Matches
164,Jordyn Listro,caCAN,MF,Orlando Pride,27,1995,6.2,0,0,0,8,6,0,5,3,10,,,0,Matches
165,Alex Loera,usUSA,MF,Current,23,1999,8.8,1,0,0,12,3,0,20,12,12,,,0,Matches
166,Allie Long,usUSA,MF,Gotham FC,35,1987,14.0,3,0,0,19,10,0,0,16,11,,,0,Matches
167,Maitane López Millán,esESP,"DF,MF",Gotham FC,27,1995,7.1,0,0,0,2,1,0,0,16,13,,,0,Matches
168,Katie Lund,usUSA,GK,Racing Louisville,26,1996,22.0,0,0,0,1,1,0,0,0,0,,,0,Matches
169,Tyler Lussi,usUSA,"MF,FW",NC Courage,28,1995,12.9,3,0,0,15,11,12,41,15,10,,,0,Matches
170,Hailie Mace,usUSA,"DF,MF",Current,25,1997,15.9,3,0,0,31,12,2,73,31,21,,,0,Matches
171,Rikke Madsen,dkDEN,FW,NC Courage,25,1997,7.5,0,0,0,13,4,5,9,3,6,,,0,Matches
172,Taylor Malham,usUSA,DF,Red Stars,23,1999,2.4,0,0,0,0,0,0,2,0,1,,,0,Matches
173,Alyssa Malonson,usUSA,DF,Reign,23,1999,0.6,0,0,0,0,0,0,2,3,0,,,0,Matches
174,Marta,brBRA,"MF,FW",Orlando Pride,36,1986,16.0,1,0,0,18,21,2,72,15,15,,,0,Matches
175,Nealy Martin,usUSA,MF,Gotham FC,24,1998,11.8,1,0,0,12,14,1,4,20,17,,,0,Matches
176,Brianna Martinez,usUSA,DF,Orlando Pride,22,2000,0.6,0,0,0,2,1,0,5,4,2,,,0,Matches
177,Manaka Matsukubo,jpJPN,MF,NC Courage,18,2004,5.3,1,0,0,4,7,1,3,1,6,,,0,Matches
178,Cheyna Matthews,jmJAM,"MF,FW",Red Stars,29,1993,4.4,1,0,0,13,8,4,6,4,8,,,0,Matches
179,Addie McCain,usUSA,MF,Red Stars,23,1999,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
180,Savannah McCaskill,usUSA,"MF,FW",Angel City FC,26,1996,20.7,4,0,0,16,39,14,85,4,18,,,0,Matches
181,Phoebe McClernon,usUSA,DF,Reign,25,1997,7.8,2,0,0,7,4,0,6,19,18,,,0,Matches
182,Haley McCutcheon,usUSA,DF,Orlando Pride,26,1996,21.7,4,0,0,19,9,0,39,25,34,,,1,Matches
183,Jessica McDonald,usUSA,"FW,MF",Racing Louisville,34,1988,2.8,0,0,0,1,1,1,6,0,1,,,0,Matches
184,Amanda McGlynn,usUSA,GK,Gotham FC,24,1998,7.0,1,0,0,0,1,0,0,0,0,,,0,Matches
185,Tara McKeown,usUSA,DF,Washington Spirit,23,1999,20.3,4,0,0,18,10,0,2,36,15,,,1,Matches
186,Kristen McNabb,usUSA,DF,SD Wave,28,1994,12.9,4,0,0,11,6,1,23,16,14,,,0,Matches
187,Emily Menges,usUSA,DF,Portland Thorns,30,1992,15.5,0,0,0,5,1,0,0,20,16,,,1,Matches
188,Addisyn Merrick,usUSA,DF,Current,24,1998,7.9,0,0,0,3,8,0,2,12,10,,,0,Matches
189,Paige Metayer,usUSA,MF,Washington Spirit,22,2000,20.5,2,1,1,12,7,0,17,19,25,,,0,Matches
190,Kristie Mewis,usUSA,MF,Gotham FC,31,1991,11.7,0,0,0,7,13,0,36,9,10,,,0,Matches
191,Tatumn Milazzo,usUSA,DF,Red Stars,24,1998,19.8,3,0,0,20,9,0,10,29,32,,,0,Matches
192,Cassie Miller,usUSA,GK,Current,27,1995,10.0,1,0,0,0,2,0,0,0,0,,,0,Matches
193,Lauren Milliet,usUSA,DF,Racing Louisville,26,1996,22.0,2,0,0,13,49,2,61,41,34,,,0,Matches
194,Narumi Miura,jpJPN,MF,NC Courage,25,1997,21.4,0,0,0,23,18,3,82,22,37,,,0,Matches
195,Paige Monaghan,usUSA,"FW,MF",Racing Louisville,26,1996,12.8,1,0,0,10,8,5,28,13,11,,,0,Matches
196,Anna Moorhouse,engENG,GK,Orlando Pride,27,1995,18.0,0,1,0,1,2,0,0,0,0,,,1,Matches
197,Alex Morgan,usUSA,FW,SD Wave,33,1989,17.1,1,0,0,25,24,19,13,12,11,,,0,Matches
198,Olivia Moultrie,usUSA,MF,Portland Thorns,17,2005,12.1,1,0,0,8,6,3,11,6,18,,,0,Matches
199,Casey Murphy,usUSA,GK,NC Courage,26,1996,20.0,0,0,0,0,2,0,0,1,0,,,0,Matches
200,Lily Nabet,usUSA,MF,Angel City FC,23,1999,4.6,1,0,0,5,2,0,1,5,5,,,0,Matches
201,Nadia Nadim,dkDEN,FW,Racing Louisville,35,1988,3.9,0,0,0,10,3,4,5,0,0,,,0,Matches
202,Alyssa Naeher,usUSA,GK,Red Stars,34,1988,20.0,0,0,0,0,5,0,0,0,1,,,1,Matches
203,Yūki Nagasato,jpJPN,"MF,FW",Red Stars,35,1987,17.4,2,0,0,18,20,5,8,15,12,,,1,Matches
204,Meaghan Nally,usUSA,DF,Portland Thorns,24,1998,4.7,1,0,0,3,3,0,0,10,4,,,0,Matches
205,Carly Nelson,usUSA,GK,Orlando Pride,24,1998,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches
206,Paige Nielsen,usUSA,DF,Angel City FC,29,1993,19.7,3,0,0,16,7,0,11,34,24,,,0,Matches
207,Jenna Nighswonger,usUSA,DF,Gotham FC,22,2000,16.9,5,0,0,13,15,0,104,17,34,,,1,Matches
208,Kelley O'Hara,usUSA,"DF,MF",Gotham FC,34,1988,7.1,2,0,0,11,6,3,10,10,7,,,0,Matches
209,Denise O'Sullivan,ieIRL,MF,NC Courage,28,1994,19.9,3,0,0,29,29,0,5,28,31,,,0,Matches
210,Bárbara Olivieri,veVEN,FW,Houston Dash,20,2002,1.9,2,0,0,12,4,0,2,1,4,,,0,Matches
211,Ifeoma Onumonu,ngNGA,FW,Gotham FC,28,1994,4.1,3,0,0,10,9,0,5,3,4,,,0,Matches
212,Diana Ordoñez,mxMEX,FW,Houston Dash,21,2001,15.2,0,0,0,15,10,4,4,2,9,,,0,Matches
213,Megan Oyster,usUSA,DF,Orlando Pride,30,1992,12.3,3,0,0,6,4,0,1,16,11,,,0,Matches
214,Courtney Petersen,usUSA,"DF,MF",Houston Dash,25,1997,6.7,1,0,0,6,2,2,19,5,8,,,0,Matches
215,Carson Pickett,usUSA,DF,Racing Louisville,29,1993,18.8,3,0,0,6,6,1,138,38,17,,,0,Matches
216,Kiki Pickett,usUSA,DF,NC Courage,23,1999,7.7,2,0,0,5,10,0,3,13,8,,,0,Matches
217,Victoria Pickett,caCAN,MF,NC Courage,26,1996,2.9,0,0,0,4,11,0,0,2,5,,,0,Matches
218,Victoria Pickett,caCAN,MF,Gotham FC,26,1996,1.2,0,0,0,0,1,0,0,0,0,,,0,Matches
219,Elli Pikkujämsä,fiFIN,"MF,DF",Racing Louisville,23,1999,13.8,1,1,0,14,10,0,2,10,11,,,0,Matches
220,Brianna Pinto,usUSA,MF,NC Courage,22,2000,4.2,2,0,0,7,5,0,5,2,5,,,0,Matches
221,Mackenzie Pluck,usUSA,MF,Angel City FC,22,2000,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
222,Madison Pogarch,usUSA,DF,SD Wave,25,1997,8.7,4,0,0,17,21,0,29,5,16,,,0,Matches
223,Maddie Pokorny,usUSA,DF,Racing Louisville,26,1996,2.8,0,0,0,5,6,0,6,2,7,,,0,Matches
224,Taylor Porter,usUSA,MF,Portland Thorns,25,1997,2.2,0,0,0,1,0,1,1,7,4,,,0,Matches
225,Nichelle Prince,caCAN,"FW,MF",Houston Dash,27,1995,4.4,0,0,0,8,0,4,10,1,3,,,0,Matches
